YouTube Search interest: drake
United States; Jan 2008 - Jul 2015

Interest over time
Week,drake
2008-01-06 - 2008-01-12,2
2008-01-13 - 2008-01-19,2
2008-01-20 - 2008-01-26,2
2008-01-27 - 2008-02-02,2
2008-02-03 - 2008-02-09,2
2008-02-10 - 2008-02-16,1
2008-02-17 - 2008-02-23,1
2008-02-24 - 2008-03-01,1
2008-03-02 - 2008-03-08,1
2008-03-09 - 2008-03-15,2
2008-03-16 - 2008-03-22,2
2008-03-23 - 2008-03-29,2
2008-03-30 - 2008-04-05,2
2008-04-06 - 2008-04-12,2
2008-04-13 - 2008-04-19,1
2008-04-20 - 2008-04-26,1
2008-04-27 - 2008-05-03,2
2008-05-04 - 2008-05-10,1
2008-05-11 - 2008-05-17,1
2008-05-18 - 2008-05-24,1
2008-05-25 - 2008-05-31,1
2008-06-01 - 2008-06-07,2
2008-06-08 - 2008-06-14,2
2008-06-15 - 2008-06-21,2
2008-06-22 - 2008-06-28,2
2008-06-29 - 2008-07-05,2
2008-07-06 - 2008-07-12,2
2008-07-13 - 2008-07-19,2
2008-07-20 - 2008-07-26,2
2008-07-27 - 2008-08-02,2
2008-08-03 - 2008-08-09,2
2008-08-10 - 2008-08-16,2
2008-08-17 - 2008-08-23,2
2008-08-24 - 2008-08-30,2
2008-08-31 - 2008-09-06,2
2008-09-07 - 2008-09-13,2
2008-09-14 - 2008-09-20,2
2008-09-21 - 2008-09-27,2
2008-09-28 - 2008-10-04,2
2008-10-05 - 2008-10-11,2
2008-10-12 - 2008-10-18,2
2008-10-19 - 2008-10-25,2
2008-10-26 - 2008-11-01,2
2008-11-02 - 2008-11-08,3
2008-11-09 - 2008-11-15,2
2008-11-16 - 2008-11-22,3
2008-11-23 - 2008-11-29,3
2008-11-30 - 2008-12-06,3
2008-12-07 - 2008-12-13,4
2008-12-14 - 2008-12-20,4
2008-12-21 - 2008-12-27,4
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,3
2009-01-11 - 2009-01-17,3
2009-01-18 - 2009-01-24,3
2009-01-25 - 2009-01-31,3
2009-02-01 - 2009-02-07,3
2009-02-08 - 2009-02-14,3
2009-02-15 - 2009-02-21,4
2009-02-22 - 2009-02-28,5
2009-03-01 - 2009-03-07,5
2009-03-08 - 2009-03-14,6
2009-03-15 - 2009-03-21,7
2009-03-22 - 2009-03-28,7
2009-03-29 - 2009-04-04,8
2009-04-05 - 2009-04-11,8
2009-04-12 - 2009-04-18,9
2009-04-19 - 2009-04-25,10
2009-04-26 - 2009-05-02,13
2009-05-03 - 2009-05-09,15
2009-05-10 - 2009-05-16,17
2009-05-17 - 2009-05-23,19
2009-05-24 - 2009-05-30,20
2009-05-31 - 2009-06-06,20
2009-06-07 - 2009-06-13,22
2009-06-14 - 2009-06-20,24
2009-06-21 - 2009-06-27,24
2009-06-28 - 2009-07-04,32
2009-07-05 - 2009-07-11,27
2009-07-12 - 2009-07-18,27
2009-07-19 - 2009-07-25,26
2009-07-26 - 2009-08-01,26
2009-08-02 - 2009-08-08,30
2009-08-09 - 2009-08-15,25
2009-08-16 - 2009-08-22,24
2009-08-23 - 2009-08-29,29
2009-08-30 - 2009-09-05,32
2009-09-06 - 2009-09-12,29
2009-09-13 - 2009-09-19,28
2009-09-20 - 2009-09-26,33
2009-09-27 - 2009-10-03,36
2009-10-04 - 2009-10-10,34
2009-10-11 - 2009-10-17,33
2009-10-18 - 2009-10-24,33
2009-10-25 - 2009-10-31,32
2009-11-01 - 2009-11-07,34
2009-11-08 - 2009-11-14,32
2009-11-15 - 2009-11-21,31
2009-11-22 - 2009-11-28,32
2009-11-29 - 2009-12-05,30
2009-12-06 - 2009-12-12,32
2009-12-13 - 2009-12-19,32
2009-12-20 - 2009-12-26,32
2009-12-27 - 2010-01-02,32
2010-01-03 - 2010-01-09,31
2010-01-10 - 2010-01-16,31
2010-01-17 - 2010-01-23,28
2010-01-24 - 2010-01-30,30
2010-01-31 - 2010-02-06,33
2010-02-07 - 2010-02-13,28
2010-02-14 - 2010-02-20,28
2010-02-21 - 2010-02-27,28
2010-02-28 - 2010-03-06,29
2010-03-07 - 2010-03-13,34
2010-03-14 - 2010-03-20,36
2010-03-21 - 2010-03-27,40
2010-03-28 - 2010-04-03,37
2010-04-04 - 2010-04-10,36
2010-04-11 - 2010-04-17,40
2010-04-18 - 2010-04-24,38
2010-04-25 - 2010-05-01,38
2010-05-02 - 2010-05-08,40
2010-05-09 - 2010-05-15,44
2010-05-16 - 2010-05-22,46
2010-05-23 - 2010-05-29,50
2010-05-30 - 2010-06-05,50
2010-06-06 - 2010-06-12,53
2010-06-13 - 2010-06-19,53
2010-06-20 - 2010-06-26,55
2010-06-27 - 2010-07-03,55
2010-07-04 - 2010-07-10,51
2010-07-11 - 2010-07-17,48
2010-07-18 - 2010-07-24,46
2010-07-25 - 2010-07-31,42
2010-08-01 - 2010-08-07,42
2010-08-08 - 2010-08-14,42
2010-08-15 - 2010-08-21,44
2010-08-22 - 2010-08-28,46
2010-08-29 - 2010-09-04,44
2010-09-05 - 2010-09-11,42
2010-09-12 - 2010-09-18,43
2010-09-19 - 2010-09-25,42
2010-09-26 - 2010-10-02,41
2010-10-03 - 2010-10-09,42
2010-10-10 - 2010-10-16,40
2010-10-17 - 2010-10-23,40
2010-10-24 - 2010-10-30,40
2010-10-31 - 2010-11-06,40
2010-11-07 - 2010-11-13,40
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,38
2010-12-05 - 2010-12-11,40
2010-12-12 - 2010-12-18,40
2010-12-19 - 2010-12-25,39
2010-12-26 - 2011-01-01,39
2011-01-02 - 2011-01-08,43
2011-01-09 - 2011-01-15,40
2011-01-16 - 2011-01-22,38
2011-01-23 - 2011-01-29,37
2011-01-30 - 2011-02-05,38
2011-02-06 - 2011-02-12,35
2011-02-13 - 2011-02-19,36
2011-02-20 - 2011-02-26,33
2011-02-27 - 2011-03-05,30
2011-03-06 - 2011-03-12,30
2011-03-13 - 2011-03-19,28
2011-03-20 - 2011-03-26,27
2011-03-27 - 2011-04-02,26
2011-04-03 - 2011-04-09,25
2011-04-10 - 2011-04-16,25
2011-04-17 - 2011-04-23,24
2011-04-24 - 2011-04-30,23
2011-05-01 - 2011-05-07,23
2011-05-08 - 2011-05-14,23
2011-05-15 - 2011-05-21,28
2011-05-22 - 2011-05-28,32
2011-05-29 - 2011-06-04,30
2011-06-05 - 2011-06-11,36
2011-06-12 - 2011-06-18,42
2011-06-19 - 2011-06-25,48
2011-06-26 - 2011-07-02,47
2011-07-03 - 2011-07-09,43
2011-07-10 - 2011-07-16,40
2011-07-17 - 2011-07-23,37
2011-07-24 - 2011-07-30,38
2011-07-31 - 2011-08-06,49
2011-08-07 - 2011-08-13,48
2011-08-14 - 2011-08-20,55
2011-08-21 - 2011-08-27,55
2011-08-28 - 2011-09-03,53
2011-09-04 - 2011-09-10,49
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,52
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,58
2011-10-09 - 2011-10-15,55
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,63
2011-10-30 - 2011-11-05,65
2011-11-06 - 2011-11-12,90
2011-11-13 - 2011-11-19,100
2011-11-20 - 2011-11-26,92
2011-11-27 - 2011-12-03,86
2011-12-04 - 2011-12-10,81
2011-12-11 - 2011-12-17,78
2011-12-18 - 2011-12-24,83
2011-12-25 - 2011-12-31,83
2012-01-01 - 2012-01-07,74
2012-01-08 - 2012-01-14,77
2012-01-15 - 2012-01-21,71
2012-01-22 - 2012-01-28,76
2012-01-29 - 2012-02-04,74
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,64
2012-02-19 - 2012-02-25,63
2012-02-26 - 2012-03-03,58
2012-03-04 - 2012-03-10,56
2012-03-11 - 2012-03-17,56
2012-03-18 - 2012-03-24,54
2012-03-25 - 2012-03-31,51
2012-04-01 - 2012-04-07,52
2012-04-08 - 2012-04-14,55
2012-04-15 - 2012-04-21,48
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,49
2012-05-13 - 2012-05-19,48
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,45
2012-06-03 - 2012-06-09,44
2012-06-10 - 2012-06-16,48
2012-06-17 - 2012-06-23,45
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,43
