YouTube Search interest: david guetta
United States; Jan 2008 - Jul 2015

Interest over time
Week,david guetta
2008-01-06 - 2008-01-12,3
2008-01-13 - 2008-01-19,3
2008-01-20 - 2008-01-26,3
2008-01-27 - 2008-02-02,2
2008-02-03 - 2008-02-09,3
2008-02-10 - 2008-02-16,4
2008-02-17 - 2008-02-23,3
2008-02-24 - 2008-03-01,3
2008-03-02 - 2008-03-08,3
2008-03-09 - 2008-03-15,3
2008-03-16 - 2008-03-22,4
2008-03-23 - 2008-03-29,4
2008-03-30 - 2008-04-05,4
2008-04-06 - 2008-04-12,3
2008-04-13 - 2008-04-19,3
2008-04-20 - 2008-04-26,4
2008-04-27 - 2008-05-03,4
2008-05-04 - 2008-05-10,5
2008-05-11 - 2008-05-17,5
2008-05-18 - 2008-05-24,4
2008-05-25 - 2008-05-31,4
2008-06-01 - 2008-06-07,4
2008-06-08 - 2008-06-14,5
2008-06-15 - 2008-06-21,5
2008-06-22 - 2008-06-28,5
2008-06-29 - 2008-07-05,4
2008-07-06 - 2008-07-12,5
2008-07-13 - 2008-07-19,4
2008-07-20 - 2008-07-26,5
2008-07-27 - 2008-08-02,5
2008-08-03 - 2008-08-09,3
2008-08-10 - 2008-08-16,2
2008-08-17 - 2008-08-23,5
2008-08-24 - 2008-08-30,5
2008-08-31 - 2008-09-06,3
2008-09-07 - 2008-09-13,3
2008-09-14 - 2008-09-20,4
2008-09-21 - 2008-09-27,4
2008-09-28 - 2008-10-04,4
2008-10-05 - 2008-10-11,4
2008-10-12 - 2008-10-18,4
2008-10-19 - 2008-10-25,4
2008-10-26 - 2008-11-01,4
2008-11-02 - 2008-11-08,4
2008-11-09 - 2008-11-15,6
2008-11-16 - 2008-11-22,5
2008-11-23 - 2008-11-29,5
2008-11-30 - 2008-12-06,5
2008-12-07 - 2008-12-13,4
2008-12-14 - 2008-12-20,5
2008-12-21 - 2008-12-27,4
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,5
2009-01-11 - 2009-01-17,5
2009-01-18 - 2009-01-24,4
2009-01-25 - 2009-01-31,4
2009-02-01 - 2009-02-07,5
2009-02-08 - 2009-02-14,6
2009-02-15 - 2009-02-21,5
2009-02-22 - 2009-02-28,4
2009-03-01 - 2009-03-07,5
2009-03-08 - 2009-03-14,4
2009-03-15 - 2009-03-21,5
2009-03-22 - 2009-03-28,6
2009-03-29 - 2009-04-04,6
2009-04-05 - 2009-04-11,4
2009-04-12 - 2009-04-18,4
2009-04-19 - 2009-04-25,5
2009-04-26 - 2009-05-02,4
2009-05-03 - 2009-05-09,5
2009-05-10 - 2009-05-16,5
2009-05-17 - 2009-05-23,6
2009-05-24 - 2009-05-30,7
2009-05-31 - 2009-06-06,5
2009-06-07 - 2009-06-13,7
2009-06-14 - 2009-06-20,6
2009-06-21 - 2009-06-27,7
2009-06-28 - 2009-07-04,10
2009-07-05 - 2009-07-11,9
2009-07-12 - 2009-07-18,9
2009-07-19 - 2009-07-25,10
2009-07-26 - 2009-08-01,13
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,13
2009-08-16 - 2009-08-22,15
2009-08-23 - 2009-08-29,22
2009-08-30 - 2009-09-05,22
2009-09-06 - 2009-09-12,23
2009-09-13 - 2009-09-19,20
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,24
2009-10-04 - 2009-10-10,26
2009-10-11 - 2009-10-17,23
2009-10-18 - 2009-10-24,27
2009-10-25 - 2009-10-31,30
2009-11-01 - 2009-11-07,34
2009-11-08 - 2009-11-14,34
2009-11-15 - 2009-11-21,34
2009-11-22 - 2009-11-28,36
2009-11-29 - 2009-12-05,38
2009-12-06 - 2009-12-12,36
2009-12-13 - 2009-12-19,36
2009-12-20 - 2009-12-26,35
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,39
2010-01-10 - 2010-01-16,39
2010-01-17 - 2010-01-23,34
2010-01-24 - 2010-01-30,37
2010-01-31 - 2010-02-06,35
2010-02-07 - 2010-02-13,37
2010-02-14 - 2010-02-20,36
2010-02-21 - 2010-02-27,42
