YouTube Search interest: christina aguilera
United States; Jan 2008 - Jul 2015

Interest over time
Week,christina aguilera
2009-05-31 - 2009-06-06,11
2009-06-07 - 2009-06-13,11
2009-06-14 - 2009-06-20,9
2009-06-21 - 2009-06-27,10
2009-06-28 - 2009-07-04,10
2009-07-05 - 2009-07-11,9
2009-07-12 - 2009-07-18,10
2009-07-19 - 2009-07-25,10
2009-07-26 - 2009-08-01,11
2009-08-02 - 2009-08-08,10
2009-08-09 - 2009-08-15,10
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,10
2009-08-30 - 2009-09-05,11
2009-09-06 - 2009-09-12,13
2009-09-13 - 2009-09-19,12
2009-09-20 - 2009-09-26,13
2009-09-27 - 2009-10-03,12
2009-10-04 - 2009-10-10,13
2009-10-11 - 2009-10-17,12
2009-10-18 - 2009-10-24,11
2009-10-25 - 2009-10-31,11
2009-11-01 - 2009-11-07,12
2009-11-08 - 2009-11-14,11
2009-11-15 - 2009-11-21,11
2009-11-22 - 2009-11-28,11
2009-11-29 - 2009-12-05,13
2009-12-06 - 2009-12-12,14
2009-12-13 - 2009-12-19,14
2009-12-20 - 2009-12-26,12
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,10
2010-01-10 - 2010-01-16,10
2010-01-17 - 2010-01-23,12
2010-01-24 - 2010-01-30,12
2010-01-31 - 2010-02-06,11
2010-02-07 - 2010-02-13,11
2010-02-14 - 2010-02-20,10
2010-02-21 - 2010-02-27,11
2010-02-28 - 2010-03-06,10
2010-03-07 - 2010-03-13,11
2010-03-14 - 2010-03-20,10
2010-03-21 - 2010-03-27,12
2010-03-28 - 2010-04-03,15
2010-04-04 - 2010-04-10,12
2010-04-11 - 2010-04-17,14
2010-04-18 - 2010-04-24,14
2010-04-25 - 2010-05-01,23
2010-05-02 - 2010-05-08,41
2010-05-09 - 2010-05-15,31
2010-05-16 - 2010-05-22,29
2010-05-23 - 2010-05-29,30
2010-05-30 - 2010-06-05,24
2010-06-06 - 2010-06-12,34
2010-06-13 - 2010-06-19,35
2010-06-20 - 2010-06-26,24
2010-06-27 - 2010-07-03,19
2010-07-04 - 2010-07-10,19
2010-07-11 - 2010-07-17,18
2010-07-18 - 2010-07-24,20
2010-07-25 - 2010-07-31,20
2010-08-01 - 2010-08-07,17
2010-08-08 - 2010-08-14,15
2010-08-15 - 2010-08-21,14
2010-08-22 - 2010-08-28,14
2010-08-29 - 2010-09-04,14
2010-09-05 - 2010-09-11,14
2010-09-12 - 2010-09-18,14
2010-09-19 - 2010-09-25,15
2010-09-26 - 2010-10-02,15
2010-10-03 - 2010-10-09,15
2010-10-10 - 2010-10-16,17
2010-10-17 - 2010-10-23,17
2010-10-24 - 2010-10-30,16
2010-10-31 - 2010-11-06,18
2010-11-07 - 2010-11-13,19
2010-11-14 - 2010-11-20,24
2010-11-21 - 2010-11-27,27
2010-11-28 - 2010-12-04,25
2010-12-05 - 2010-12-11,22
2010-12-12 - 2010-12-18,21
2010-12-19 - 2010-12-25,18
2010-12-26 - 2011-01-01,15
2011-01-02 - 2011-01-08,15
2011-01-09 - 2011-01-15,16
2011-01-16 - 2011-01-22,17
2011-01-23 - 2011-01-29,17
2011-01-30 - 2011-02-05,16
2011-02-06 - 2011-02-12,100
2011-02-13 - 2011-02-19,33
2011-02-20 - 2011-02-26,19
2011-02-27 - 2011-03-05,20
2011-03-06 - 2011-03-12,21
2011-03-13 - 2011-03-19,19
2011-03-20 - 2011-03-26,17
2011-03-27 - 2011-04-02,17
2011-04-03 - 2011-04-09,18
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,21
2011-05-01 - 2011-05-07,21
2011-05-08 - 2011-05-14,18
2011-05-15 - 2011-05-21,17
2011-05-22 - 2011-05-28,16
2011-05-29 - 2011-06-04,16
2011-06-05 - 2011-06-11,19
2011-06-12 - 2011-06-18,19
2011-06-19 - 2011-06-25,18
2011-06-26 - 2011-07-02,19
2011-07-03 - 2011-07-09,19
2011-07-10 - 2011-07-16,20
2011-07-17 - 2011-07-23,19
2011-07-24 - 2011-07-30,19
2011-07-31 - 2011-08-06,20
2011-08-07 - 2011-08-13,20
2011-08-14 - 2011-08-20,22
2011-08-21 - 2011-08-27,23
2011-08-28 - 2011-09-03,20
2011-09-04 - 2011-09-10,21
2011-09-11 - 2011-09-17,22
2011-09-18 - 2011-09-24,20
2011-09-25 - 2011-10-01,18
2011-10-02 - 2011-10-08,18
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,20
2011-10-23 - 2011-10-29,19
2011-10-30 - 2011-11-05,18
2011-11-06 - 2011-11-12,19
2011-11-13 - 2011-11-19,19
2011-11-20 - 2011-11-26,25
2011-11-27 - 2011-12-03,25
2011-12-04 - 2011-12-10,21
2011-12-11 - 2011-12-17,21
2011-12-18 - 2011-12-24,21
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,19
2012-01-22 - 2012-01-28,19
2012-01-29 - 2012-02-04,27
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,23
2012-02-19 - 2012-02-25,20
2012-02-26 - 2012-03-03,21
2012-03-04 - 2012-03-10,20
2012-03-11 - 2012-03-17,17
2012-03-18 - 2012-03-24,17
2012-03-25 - 2012-03-31,15
2012-04-01 - 2012-04-07,16
2012-04-08 - 2012-04-14,17
2012-04-15 - 2012-04-21,19
2012-04-22 - 2012-04-28,18
2012-04-29 - 2012-05-05,16
2012-05-06 - 2012-05-12,18
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,14
2012-06-10 - 2012-06-16,14
2012-06-17 - 2012-06-23,13
2012-06-24 - 2012-06-30,13
2012-07-01 - 2012-07-07,13
2012-07-08 - 2012-07-14,13
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,12
2012-07-29 - 2012-08-04,12
2012-08-05 - 2012-08-11,12
2012-08-12 - 2012-08-18,12
2012-08-19 - 2012-08-25,12
2012-08-26 - 2012-09-01,13
2012-09-02 - 2012-09-08,12
2012-09-09 - 2012-09-15,17
2012-09-16 - 2012-09-22,24
2012-09-23 - 2012-09-29,25
2012-09-30 - 2012-10-06,29
2012-10-07 - 2012-10-13,24
2012-10-14 - 2012-10-20,26
2012-10-21 - 2012-10-27,24
2012-10-28 - 2012-11-03,25
2012-11-04 - 2012-11-10,28
2012-11-11 - 2012-11-17,27
2012-11-18 - 2012-11-24,28
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,20
2012-12-09 - 2012-12-15,18
2012-12-16 - 2012-12-22,18
2012-12-23 - 2012-12-29,16
2012-12-30 - 2013-01-05,17
2013-01-06 - 2013-01-12,16
2013-01-13 - 2013-01-19,17
2013-01-20 - 2013-01-26,16
2013-01-27 - 2013-02-02,17
2013-02-03 - 2013-02-09,19
2013-02-10 - 2013-02-16,16
2013-02-17 - 2013-02-23,17
2013-02-24 - 2013-03-02,18
2013-03-03 - 2013-03-09,19
2013-03-10 - 2013-03-16,20
2013-03-17 - 2013-03-23,21
2013-03-24 - 2013-03-30,22
2013-03-31 - 2013-04-06,18
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,18
2013-04-21 - 2013-04-27,18
2013-04-28 - 2013-05-04,17
2013-05-05 - 2013-05-11,17
2013-05-12 - 2013-05-18,17
2013-05-19 - 2013-05-25,18
2013-05-26 - 2013-06-01,16
2013-06-02 - 2013-06-08,15
2013-06-09 - 2013-06-15,13
2013-06-16 - 2013-06-22,15
2013-06-23 - 2013-06-29,14
2013-06-30 - 2013-07-06,13
2013-07-07 - 2013-07-13,13
2013-07-14 - 2013-07-20,13
2013-07-21 - 2013-07-27,12
2013-07-28 - 2013-08-03,13
2013-08-04 - 2013-08-10,11
2013-08-11 - 2013-08-17,11
2013-08-18 - 2013-08-24,11
2013-08-25 - 2013-08-31,12
2013-09-01 - 2013-09-07,12
2013-09-08 - 2013-09-14,12
2013-09-15 - 2013-09-21,13
2013-09-22 - 2013-09-28,13
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,14
2013-10-13 - 2013-10-19,14
2013-10-20 - 2013-10-26,14
2013-10-27 - 2013-11-02,13
2013-11-03 - 2013-11-09,19
2013-11-10 - 2013-11-16,18
2013-11-17 - 2013-11-23,18
2013-11-24 - 2013-11-30,26
2013-12-01 - 2013-12-07,26
2013-12-08 - 2013-12-14,26
2013-12-15 - 2013-12-21,30
2013-12-22 - 2013-12-28,25
2013-12-29 - 2014-01-04,21
2014-01-05 - 2014-01-11,21
2014-01-12 - 2014-01-18,20
2014-01-19 - 2014-01-25,21
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,18
2014-02-09 - 2014-02-15,16
2014-02-16 - 2014-02-22,14
2014-02-23 - 2014-03-01,15
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,12
2014-03-16 - 2014-03-22,11
2014-03-23 - 2014-03-29,11
2014-03-30 - 2014-04-05,10
2014-04-06 - 2014-04-12,11
2014-04-13 - 2014-04-19,9
2014-04-20 - 2014-04-26,10
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,9
2014-05-11 - 2014-05-17,9
2014-05-18 - 2014-05-24,9
2014-05-25 - 2014-05-31,8
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,8
2014-06-22 - 2014-06-28,9
2014-06-29 - 2014-07-05,8
2014-07-06 - 2014-07-12,8
2014-07-13 - 2014-07-19,8
2014-07-20 - 2014-07-26,8
2014-07-27 - 2014-08-02,8
2014-08-03 - 2014-08-09,8
2014-08-10 - 2014-08-16,7
2014-08-17 - 2014-08-23,8
2014-08-24 - 2014-08-30,7
2014-08-31 - 2014-09-06,7
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,8
2014-09-21 - 2014-09-27,8
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,7
2014-10-12 - 2014-10-18,7
2014-10-19 - 2014-10-25,8
2014-10-26 - 2014-11-01,7
2014-11-02 - 2014-11-08,8
2014-11-09 - 2014-11-15,7
2014-11-16 - 2014-11-22,7
2014-11-23 - 2014-11-29,7
2014-11-30 - 2014-12-06,7
2014-12-07 - 2014-12-13,7
2014-12-14 - 2014-12-20,6
2014-12-21 - 2014-12-27,6
2014-12-28 - 2015-01-03,6
2015-01-04 - 2015-01-10,6
2015-01-11 - 2015-01-17,6
2015-01-18 - 2015-01-24,6
2015-01-25 - 2015-01-31,6
2015-02-01 - 2015-02-07,7
2015-02-08 - 2015-02-14,7
2015-02-15 - 2015-02-21,6
2015-02-22 - 2015-02-28,20
2015-03-01 - 2015-03-07,11
2015-03-08 - 2015-03-14,10
2015-03-15 - 2015-03-21,9
2015-03-22 - 2015-03-28,9
2015-03-29 - 2015-04-04,8
2015-04-05 - 2015-04-11,8
2015-04-12 - 2015-04-18,8
2015-04-19 - 2015-04-25,8
2015-04-26 - 2015-05-02,7
2015-05-03 - 2015-05-09,7
2015-05-10 - 2015-05-16,7
2015-05-17 - 2015-05-23,8
2015-05-24 - 2015-05-30,7
2015-05-31 - 2015-06-06,6
2015-06-07 - 2015-06-13,6
2015-06-14 - 2015-06-20,6
2015-06-21 - 2015-06-27,5
2015-06-28 - 2015-07-04,6
2015-07-05 - 2015-07-11,5
2015-07-12 - 2015-07-18,5
2015-07-19 - 2015-07-25,5
2015-07-26 - 2015-08-01,4


Top sub-regions for christina aguilera
Sub-region,christina aguilera
Florida,100
New York,99
Pennsylvania,97
California,96
Rhode Island,96
Texas,96
New Mexico,95
Massachusetts,93
West Virginia,92
Arizona,92
Michigan,92
Ohio,91
Connecticut,91
New Jersey,91
Maine,90
North Dakota,90
Iowa,90
Missouri,89
Hawaii,88
Oklahoma,87
Nevada,87
Kentucky,87
Louisiana,87
Indiana,87
South Dakota,87
New Hampshire,86
Idaho,85
Wisconsin,85
Nebraska,84
Utah,84
North Carolina,83
South Carolina,83
Georgia,83
Colorado,83
Tennessee,82
Washington,82
Delaware,82
Illinois,82
Wyoming,82
Kansas,82
Montana,82
Arkansas,81
Minnesota,81
Mississippi,81
Maryland,80
Virginia,79
Alabama,78
District of Columbia,76
Alaska,75
Vermont,72
Oregon,69


Top metros for christina aguilera
Metro,christina aguilera
Los Angeles CA,100
Corpus Christi TX,98
Youngstown OH,96
Dayton OH,95
Albuquerque-Santa Fe NM,93
Portland-Auburn ME,91
Palm Springs CA,91
New York NY,90
Tampa-St. Petersburg (Sarasota) FL,90
Shreveport LA,88
Miami-Ft. Lauderdale FL,88
Springfield MO,87
Phoenix AZ,87
Kansas City MO,87
Wilkes Barre-Scranton PA,87
Boston MA-Manchester NH,87
Colorado Springs-Pueblo CO,86
Honolulu HI,86
Las Vegas NV,86
El Paso TX,85
Tyler-Longview(Lufkin & Nacogdoches) TX,85
San Antonio TX,85
Philadelphia PA,85
Sioux Falls(Mitchell) SD,85
Charleston-Huntington WV,84
Houston TX,84
Sacramento-Stockton-Modesto CA,84
Orlando-Daytona Beach-Melbourne FL,84
Bakersfield CA,83
Albany-Schenectady-Troy NY,83
Lafayette LA,83
Cleveland-Akron (Canton) OH,82
Louisville KY,82
Harrisburg-Lancaster-Lebanon-York PA,82
Greenville-Spartanburg SC-Asheville NC-Anderson SC,81
Waco-Temple-Bryan TX,81
Fresno-Visalia CA,81
Syracuse NY,81
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,80
Detroit MI,80
Fargo-Valley City ND,80
West Palm Beach-Ft. Pierce FL,80
Flint-Saginaw-Bay City MI,80
Charlotte NC,80
Harlingen-Weslaco-Brownsville-McAllen TX,79
Davenport IA-Rock Island-Moline IL,79
Minneapolis-St. Paul MN,79
Hartford & New Haven CT,79
Santa Barbara-Santa Maria-San Luis Obispo CA,78
Springfield-Holyoke MA,78
Greenville-New Bern-Washington NC,78
Lexington KY,78
Ft. Wayne IN,78
Macon GA,78
Omaha NE,77
Gainesville FL,77
Mobile AL-Pensacola (Ft. Walton Beach) FL,77
Seattle-Tacoma WA,77
Huntsville-Decatur (Florence) AL,77
Atlanta GA,77
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,77
Lansing MI,77
Denver CO,76
Chattanooga TN,76
Florence-Myrtle Beach SC,76
Buffalo NY,76
Dallas-Ft. Worth TX,76
Pittsburgh PA,76
Peoria-Bloomington IL,76
Cincinnati OH,75
Raleigh-Durham (Fayetteville) NC,75
Des Moines-Ames IA,75
Ft. Smith-Fayetteville-Springdale-Rogers AR,75
San Diego CA,75
Wichita-Hutchinson KS,75
New Orleans LA,75
Savannah GA,75
Knoxville TN,75
Tucson (Sierra Vista) AZ,74
Toledo OH,74
Austin TX,74
Ft. Myers-Naples FL,74
Burlington VT-Plattsburgh NY,74
St. Louis MO,74
Jacksonville FL,74
Green Bay-Appleton WI,74
Chicago IL,74
Indianapolis IN,74
Monterey-Salinas CA,74
Grand Rapids-Kalamazoo-Battle Creek MI,73
Providence RI-New Bedford MA,72
Milwaukee WI,72
Spokane WA,72
Washington DC (Hagerstown MD),72
Salt Lake City UT,72
La Crosse-Eau Claire WI,71
South Bend-Elkhart IN,71
Birmingham AL,71
Greensboro-High Point-Winston Salem NC,71
Oklahoma City OK,71
Tri-Cities TN-VA,70
San Francisco-Oakland-San Jose CA,70
Roanoke-Lynchburg VA,70
Baltimore MD,70
Johnstown-Altoona PA,70
Tallahassee FL-Thomasville GA,69
Columbia SC,69
Nashville TN,69
Richmond-Petersburg VA,69
Baton Rouge LA,68
Champaign & Springfield-Decatur IL,68
Jackson MS,67
Tulsa OK,67
Columbus OH,67
Lincoln & Hastings-Kearney NE,66
Charleston SC,66
Rochester NY,65
Reno NV,65
Madison WI,65
Norfolk-Portsmouth-Newport News VA,65
Portland OR,63
Eugene OR,62
Boise ID,62
Memphis TN,62
Little Rock-Pine Bluff AR,61
Binghamton NY,0
Erie PA,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Columbus-Tupelo-West Point MS,0
Duluth MN-Superior WI,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Wausau-Rhinelander WI,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Medford-Klamath Falls OR,0
Bend OR,0
Chico-Redding CA,0


Top cities for christina aguilera
Town/City,christina aguilera
Los Angeles,100
Miami,98
New York,98
San Antonio,93
Las Vegas,92
Phoenix,91
Orlando,87
Philadelphia,87
Houston,84
Tampa,84
San Diego,82
Boston,80
Irvine,79
Columbus,77
Denver,77



Top searches for christina aguilera
christina aguilera lyrics,100
beautiful,45
beautiful christina aguilera,45
hurt,40
hurt christina aguilera,40
burlesque,20
burlesque christina aguilera,20
britney spears,20
christina aguilera live,20
christina aguilera fighter,15
fighter,15
pitbull,15
your body,15
candyman christina aguilera,15
christina aguilera karaoke,15
you lost me,15
karaoke,15
maroon 5,15
candyman,15
say something,15
moves like jagger,10
the voice,10
not myself tonight,10
mariah carey,10
national anthem,10
christina aguilera reflection,10
reflection,10
just a fool,5
christina aguilera dirrty,5
kelly clarkson,5
christina aguilera express,5
lady marmalade,5
christina aguilera 2012,5
bionic christina aguilera,5



Rising searches for christina aguilera
burlesque,Breakout
burlesque christina aguilera,Breakout
pitbull,Breakout
your body,Breakout
christina aguilera lyrics,+1,550%
beautiful christina aguilera,+200%
christina aguilera karaoke,+200%
beautiful,+190%
hurt christina aguilera,+170%
christina aguilera fighter,+160%



