YouTube Search interest: christina aguilera
United States; Jan 2008 - Jul 2015

Interest over time
Week,christina aguilera
2008-01-06 - 2008-01-12,11
2008-01-13 - 2008-01-19,12
2008-01-20 - 2008-01-26,13
2008-01-27 - 2008-02-02,12
2008-02-03 - 2008-02-09,12
2008-02-10 - 2008-02-16,12
2008-02-17 - 2008-02-23,13
2008-02-24 - 2008-03-01,11
2008-03-02 - 2008-03-08,9
2008-03-09 - 2008-03-15,9
2008-03-16 - 2008-03-22,8
2008-03-23 - 2008-03-29,9
2008-03-30 - 2008-04-05,8
2008-04-06 - 2008-04-12,8
2008-04-13 - 2008-04-19,9
2008-04-20 - 2008-04-26,8
2008-04-27 - 2008-05-03,8
2008-05-04 - 2008-05-10,9
2008-05-11 - 2008-05-17,8
2008-05-18 - 2008-05-24,8
2008-05-25 - 2008-05-31,7
2008-06-01 - 2008-06-07,9
2008-06-08 - 2008-06-14,12
2008-06-15 - 2008-06-21,13
2008-06-22 - 2008-06-28,12
2008-06-29 - 2008-07-05,12
2008-07-06 - 2008-07-12,12
2008-07-13 - 2008-07-19,14
2008-07-20 - 2008-07-26,13
2008-07-27 - 2008-08-02,13
2008-08-03 - 2008-08-09,15
2008-08-10 - 2008-08-16,13
2008-08-17 - 2008-08-23,13
2008-08-24 - 2008-08-30,13
2008-08-31 - 2008-09-06,13
2008-09-07 - 2008-09-13,32
2008-09-14 - 2008-09-20,23
2008-09-21 - 2008-09-27,21
2008-09-28 - 2008-10-04,18
2008-10-05 - 2008-10-11,20
2008-10-12 - 2008-10-18,20
2008-10-19 - 2008-10-25,22
2008-10-26 - 2008-11-01,24
2008-11-02 - 2008-11-08,23
2008-11-09 - 2008-11-15,29
2008-11-16 - 2008-11-22,25
2008-11-23 - 2008-11-29,26
2008-11-30 - 2008-12-06,24
2008-12-07 - 2008-12-13,21
2008-12-14 - 2008-12-20,19
2008-12-21 - 2008-12-27,19
2008-12-28 - 2009-01-03,16
2009-01-04 - 2009-01-10,16
2009-01-11 - 2009-01-17,15
2009-01-18 - 2009-01-24,17
2009-01-25 - 2009-01-31,14
2009-02-01 - 2009-02-07,14
2009-02-08 - 2009-02-14,13
2009-02-15 - 2009-02-21,14
2009-02-22 - 2009-02-28,13
2009-03-01 - 2009-03-07,13
2009-03-08 - 2009-03-14,13
2009-03-15 - 2009-03-21,13
2009-03-22 - 2009-03-28,11
2009-03-29 - 2009-04-04,11
2009-04-05 - 2009-04-11,13
2009-04-12 - 2009-04-18,11
2009-04-19 - 2009-04-25,12
2009-04-26 - 2009-05-02,11
2009-05-03 - 2009-05-09,11
2009-05-10 - 2009-05-16,11
2009-05-17 - 2009-05-23,12
2009-05-24 - 2009-05-30,11
