YouTube Search interest: wisin
United States; Jan 2008 - Jul 2015

Interest over time
Week,wisin
2008-01-06 - 2008-01-12,26
2008-01-13 - 2008-01-19,24
2008-01-20 - 2008-01-26,25
2008-01-27 - 2008-02-02,25
2008-02-03 - 2008-02-09,23
2008-02-10 - 2008-02-16,22
2008-02-17 - 2008-02-23,26
2008-02-24 - 2008-03-01,29
2008-03-02 - 2008-03-08,25
2008-03-09 - 2008-03-15,33
2008-03-16 - 2008-03-22,27
2008-03-23 - 2008-03-29,27
2008-03-30 - 2008-04-05,27
2008-04-06 - 2008-04-12,27
2008-04-13 - 2008-04-19,29
2008-04-20 - 2008-04-26,29
2008-04-27 - 2008-05-03,30
2008-05-04 - 2008-05-10,29
2008-05-11 - 2008-05-17,33
2008-05-18 - 2008-05-24,33
2008-05-25 - 2008-05-31,31
2008-06-01 - 2008-06-07,37
2008-06-08 - 2008-06-14,41
2008-06-15 - 2008-06-21,42
2008-06-22 - 2008-06-28,41
2008-06-29 - 2008-07-05,43
2008-07-06 - 2008-07-12,50
2008-07-13 - 2008-07-19,46
2008-07-20 - 2008-07-26,52
2008-07-27 - 2008-08-02,49
2008-08-03 - 2008-08-09,51
2008-08-10 - 2008-08-16,48
2008-08-17 - 2008-08-23,50
2008-08-24 - 2008-08-30,49
2008-08-31 - 2008-09-06,50
2008-09-07 - 2008-09-13,52
2008-09-14 - 2008-09-20,53
2008-09-21 - 2008-09-27,52
2008-09-28 - 2008-10-04,54
2008-10-05 - 2008-10-11,55
2008-10-12 - 2008-10-18,53
2008-10-19 - 2008-10-25,55
2008-10-26 - 2008-11-01,55
2008-11-02 - 2008-11-08,54
2008-11-09 - 2008-11-15,60
2008-11-16 - 2008-11-22,63
2008-11-23 - 2008-11-29,62
2008-11-30 - 2008-12-06,59
2008-12-07 - 2008-12-13,55
2008-12-14 - 2008-12-20,55
2008-12-21 - 2008-12-27,58
2008-12-28 - 2009-01-03,56
2009-01-04 - 2009-01-10,56
2009-01-11 - 2009-01-17,57
2009-01-18 - 2009-01-24,54
2009-01-25 - 2009-01-31,52
2009-02-01 - 2009-02-07,58
2009-02-08 - 2009-02-14,54
2009-02-15 - 2009-02-21,53
2009-02-22 - 2009-02-28,56
2009-03-01 - 2009-03-07,56
2009-03-08 - 2009-03-14,57
2009-03-15 - 2009-03-21,61
2009-03-22 - 2009-03-28,64
2009-03-29 - 2009-04-04,59
2009-04-05 - 2009-04-11,60
2009-04-12 - 2009-04-18,67
2009-04-19 - 2009-04-25,71
2009-04-26 - 2009-05-02,72
2009-05-03 - 2009-05-09,76
2009-05-10 - 2009-05-16,74
2009-05-17 - 2009-05-23,80
2009-05-24 - 2009-05-30,85
2009-05-31 - 2009-06-06,87
2009-06-07 - 2009-06-13,83
2009-06-14 - 2009-06-20,77
2009-06-21 - 2009-06-27,75
2009-06-28 - 2009-07-04,75
2009-07-05 - 2009-07-11,69
2009-07-12 - 2009-07-18,74
