YouTube Search interest: maroon 5
United States; Jan 2008 - Jul 2015

Interest over time
Week,maroon 5
2010-09-26 - 2010-10-02,30
2010-10-03 - 2010-10-09,24
2010-10-10 - 2010-10-16,18
2010-10-17 - 2010-10-23,17
2010-10-24 - 2010-10-30,16
2010-10-31 - 2010-11-06,15
2010-11-07 - 2010-11-13,18
2010-11-14 - 2010-11-20,16
2010-11-21 - 2010-11-27,15
2010-11-28 - 2010-12-04,14
2010-12-05 - 2010-12-11,15
2010-12-12 - 2010-12-18,14
2010-12-19 - 2010-12-25,14
2010-12-26 - 2011-01-01,13
2011-01-02 - 2011-01-08,14
2011-01-09 - 2011-01-15,15
2011-01-16 - 2011-01-22,14
2011-01-23 - 2011-01-29,12
2011-01-30 - 2011-02-05,13
2011-02-06 - 2011-02-12,18
2011-02-13 - 2011-02-19,19
2011-02-20 - 2011-02-26,15
2011-02-27 - 2011-03-05,14
2011-03-06 - 2011-03-12,14
2011-03-13 - 2011-03-19,15
2011-03-20 - 2011-03-26,14
2011-03-27 - 2011-04-02,14
2011-04-03 - 2011-04-09,14
2011-04-10 - 2011-04-16,15
2011-04-17 - 2011-04-23,17
2011-04-24 - 2011-04-30,22
2011-05-01 - 2011-05-07,23
2011-05-08 - 2011-05-14,22
2011-05-15 - 2011-05-21,20
2011-05-22 - 2011-05-28,18
2011-05-29 - 2011-06-04,17
2011-06-05 - 2011-06-11,22
2011-06-12 - 2011-06-18,21
2011-06-19 - 2011-06-25,26
2011-06-26 - 2011-07-02,31
2011-07-03 - 2011-07-09,30
2011-07-10 - 2011-07-16,25
2011-07-17 - 2011-07-23,24
2011-07-24 - 2011-07-30,32
2011-07-31 - 2011-08-06,38
2011-08-07 - 2011-08-13,49
2011-08-14 - 2011-08-20,48
2011-08-21 - 2011-08-27,50
2011-08-28 - 2011-09-03,50
2011-09-04 - 2011-09-10,62
2011-09-11 - 2011-09-17,57
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,57
2011-10-02 - 2011-10-08,59
2011-10-09 - 2011-10-15,51
2011-10-16 - 2011-10-22,44
2011-10-23 - 2011-10-29,44
2011-10-30 - 2011-11-05,41
2011-11-06 - 2011-11-12,39
2011-11-13 - 2011-11-19,40
2011-11-20 - 2011-11-26,43
2011-11-27 - 2011-12-03,41
2011-12-04 - 2011-12-10,34
2011-12-11 - 2011-12-17,31
2011-12-18 - 2011-12-24,29
2011-12-25 - 2011-12-31,30
2012-01-01 - 2012-01-07,27
2012-01-08 - 2012-01-14,28
2012-01-15 - 2012-01-21,26
2012-01-22 - 2012-01-28,25
2012-01-29 - 2012-02-04,25
2012-02-05 - 2012-02-11,28
2012-02-12 - 2012-02-18,27
2012-02-19 - 2012-02-25,25
2012-02-26 - 2012-03-03,23
2012-03-04 - 2012-03-10,21
2012-03-11 - 2012-03-17,21
2012-03-18 - 2012-03-24,22
2012-03-25 - 2012-03-31,20
2012-04-01 - 2012-04-07,21
2012-04-08 - 2012-04-14,20
2012-04-15 - 2012-04-21,54
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,70
2012-05-06 - 2012-05-12,88
2012-05-13 - 2012-05-19,90
2012-05-20 - 2012-05-26,86
2012-05-27 - 2012-06-02,88
2012-06-03 - 2012-06-09,82
2012-06-10 - 2012-06-16,82
2012-06-17 - 2012-06-23,87
2012-06-24 - 2012-06-30,100
2012-07-01 - 2012-07-07,89
2012-07-08 - 2012-07-14,74
2012-07-15 - 2012-07-21,68
2012-07-22 - 2012-07-28,70
2012-07-29 - 2012-08-04,74
2012-08-05 - 2012-08-11,83
2012-08-12 - 2012-08-18,82
2012-08-19 - 2012-08-25,81
2012-08-26 - 2012-09-01,81
2012-09-02 - 2012-09-08,83
2012-09-09 - 2012-09-15,85
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,82
2012-09-30 - 2012-10-06,80
2012-10-07 - 2012-10-13,77
2012-10-14 - 2012-10-20,70
2012-10-21 - 2012-10-27,67
2012-10-28 - 2012-11-03,67
2012-11-04 - 2012-11-10,68
2012-11-11 - 2012-11-17,65
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,51
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,48
2012-12-16 - 2012-12-22,51
2012-12-23 - 2012-12-29,51
2012-12-30 - 2013-01-05,46
2013-01-06 - 2013-01-12,44
2013-01-13 - 2013-01-19,45
2013-01-20 - 2013-01-26,48
2013-01-27 - 2013-02-02,46
2013-02-03 - 2013-02-09,43
2013-02-10 - 2013-02-16,47
2013-02-17 - 2013-02-23,41
2013-02-24 - 2013-03-02,39
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,35
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,36
2013-03-31 - 2013-04-06,34
2013-04-07 - 2013-04-13,32
2013-04-14 - 2013-04-20,31
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,30
2013-05-05 - 2013-05-11,27
2013-05-12 - 2013-05-18,28
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,32
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,31
2013-06-23 - 2013-06-29,29
2013-06-30 - 2013-07-06,30
2013-07-07 - 2013-07-13,30
2013-07-14 - 2013-07-20,28
2013-07-21 - 2013-07-27,26
2013-07-28 - 2013-08-03,27
2013-08-04 - 2013-08-10,27
2013-08-11 - 2013-08-17,27
2013-08-18 - 2013-08-24,27
2013-08-25 - 2013-08-31,24
2013-09-01 - 2013-09-07,24
2013-09-08 - 2013-09-14,22
2013-09-15 - 2013-09-21,22
2013-09-22 - 2013-09-28,21
2013-09-29 - 2013-10-05,21
2013-10-06 - 2013-10-12,19
2013-10-13 - 2013-10-19,18
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,18
2013-11-03 - 2013-11-09,17
2013-11-10 - 2013-11-16,15
2013-11-17 - 2013-11-23,16
2013-11-24 - 2013-11-30,15
2013-12-01 - 2013-12-07,15
2013-12-08 - 2013-12-14,15
2013-12-15 - 2013-12-21,16
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,15
2014-01-05 - 2014-01-11,13
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,13
2014-01-26 - 2014-02-01,12
2014-02-02 - 2014-02-08,12
2014-02-09 - 2014-02-15,13
2014-02-16 - 2014-02-22,12
2014-02-23 - 2014-03-01,12
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,12
2014-03-23 - 2014-03-29,12
2014-03-30 - 2014-04-05,11
2014-04-06 - 2014-04-12,12
2014-04-13 - 2014-04-19,12
2014-04-20 - 2014-04-26,12
2014-04-27 - 2014-05-03,10
2014-05-04 - 2014-05-10,11
2014-05-11 - 2014-05-17,10
2014-05-18 - 2014-05-24,10
2014-05-25 - 2014-05-31,10
2014-06-01 - 2014-06-07,9
2014-06-08 - 2014-06-14,9
2014-06-15 - 2014-06-21,23
2014-06-22 - 2014-06-28,21
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,26
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,23
2014-07-27 - 2014-08-02,25
2014-08-03 - 2014-08-09,24
2014-08-10 - 2014-08-16,23
2014-08-17 - 2014-08-23,22
2014-08-24 - 2014-08-30,31
2014-08-31 - 2014-09-06,38
2014-09-07 - 2014-09-13,36
2014-09-14 - 2014-09-20,33
2014-09-21 - 2014-09-27,34
2014-09-28 - 2014-10-04,52
2014-10-05 - 2014-10-11,53
2014-10-12 - 2014-10-18,45
2014-10-19 - 2014-10-25,45
2014-10-26 - 2014-11-01,43
2014-11-02 - 2014-11-08,46
2014-11-09 - 2014-11-15,43
2014-11-16 - 2014-11-22,41
2014-11-23 - 2014-11-29,37
2014-11-30 - 2014-12-06,34
2014-12-07 - 2014-12-13,33
2014-12-14 - 2014-12-20,30
2014-12-21 - 2014-12-27,28
2014-12-28 - 2015-01-03,25
2015-01-04 - 2015-01-10,24
2015-01-11 - 2015-01-17,52
2015-01-18 - 2015-01-24,57
2015-01-25 - 2015-01-31,48
2015-02-01 - 2015-02-07,49
2015-02-08 - 2015-02-14,54
2015-02-15 - 2015-02-21,49
2015-02-22 - 2015-02-28,50
2015-03-01 - 2015-03-07,53
2015-03-08 - 2015-03-14,51
2015-03-15 - 2015-03-21,52
2015-03-22 - 2015-03-28,52
2015-03-29 - 2015-04-04,47
2015-04-05 - 2015-04-11,44
2015-04-12 - 2015-04-18,42
2015-04-19 - 2015-04-25,41
2015-04-26 - 2015-05-02,38
2015-05-03 - 2015-05-09,37
2015-05-10 - 2015-05-16,35
2015-05-17 - 2015-05-23,35
2015-05-24 - 2015-05-30,36
2015-05-31 - 2015-06-06,35
2015-06-07 - 2015-06-13,30
2015-06-14 - 2015-06-20,28
2015-06-21 - 2015-06-27,26
2015-06-28 - 2015-07-04,24
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,22
2015-07-19 - 2015-07-25,21
2015-07-26 - 2015-08-01,20


Top sub-regions for maroon 5
Sub-region,maroon 5
Iowa,100
Idaho,94
Utah,94
South Dakota,89
North Dakota,89
Hawaii,89
Indiana,89
West Virginia,88
Wisconsin,88
Pennsylvania,85
Wyoming,85
Montana,84
Minnesota,84
Nebraska,83
Maine,83
Michigan,82
New York,82
Ohio,81
Kentucky,81
Arizona,80
Colorado,79
Illinois,79
California,78
New Hampshire,77
New Jersey,76
Florida,76
New Mexico,76
Washington,75
Texas,75
Missouri,74
Massachusetts,74
Rhode Island,73
Kansas,73
Nevada,73
Oklahoma,73
North Carolina,72
Connecticut,72
Tennessee,72
Delaware,71
Maryland,69
South Carolina,69
Vermont,69
Arkansas,67
Oregon,66
Georgia,66
Alabama,65
Louisiana,60
Alaska,59
Mississippi,53
Virginia,53
District of Columbia,44


Top metros for maroon 5
Metro,maroon 5
Lafayette IN,100
Minot-Bismarck-Dickinson(Williston) ND,93
Rapid City SD,88
Utica NY,86
Sioux City IA,86
Idaho Falls-Pocatello ID,86
Bangor ME,86
Davenport IA-Rock Island-Moline IL,84
Boise ID,84
Des Moines-Ames IA,83
Honolulu HI,81
Erie PA,81
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,81
Traverse City-Cadillac MI,81
Johnstown-Altoona PA,81
Rockford IL,80
Springfield MO,80
Wichita Falls TX & Lawton OK,78
Peoria-Bloomington IL,78
Evansville IN,78
El Paso TX,77
Lincoln & Hastings-Kearney NE,76
Salt Lake City UT,76
Panama City FL,75
Grand Rapids-Kalamazoo-Battle Creek MI,74
Chattanooga TN,74
Champaign & Springfield-Decatur IL,74
Harlingen-Weslaco-Brownsville-McAllen TX,73
Odessa-Midland TX,73
Columbia-Jefferson City MO,73
Amarillo TX,73
Youngstown OH,72
Ft. Wayne IN,72
Wausau-Rhinelander WI,72
Toledo OH,72
Chico-Redding CA,72
Bowling Green KY,72
Binghamton NY,72
Sioux Falls(Mitchell) SD,71
Rochester MN-Mason City IA-Austin MN,71
South Bend-Elkhart IN,71
Lansing MI,71
Duluth MN-Superior WI,71
Cincinnati OH,70
Dayton OH,70
Wichita-Hutchinson KS,70
Bakersfield CA,70
Tri-Cities TN-VA,70
La Crosse-Eau Claire WI,70
Minneapolis-St. Paul MN,70
Green Bay-Appleton WI,70
Wilkes Barre-Scranton PA,69
Phoenix AZ,69
Los Angeles CA,69
Lexington KY,69
Pittsburgh PA,69
Colorado Springs-Pueblo CO,68
Charleston-Huntington WV,68
New York NY,68
Burlington VT-Plattsburgh NY,67
Providence RI-New Bedford MA,67
Reno NV,67
Monterey-Salinas CA,67
Albany-Schenectady-Troy NY,67
Indianapolis IN,67
Spokane WA,67
Lubbock TX,66
Flint-Saginaw-Bay City MI,66
Detroit MI,66
Milwaukee WI,66
Topeka KS,66
Syracuse NY,66
Knoxville TN,66
Harrisburg-Lancaster-Lebanon-York PA,66
Wilmington NC,66
Fargo-Valley City ND,66
Omaha NE,66
Medford-Klamath Falls OR,65
Greenville-New Bern-Washington NC,65
Cleveland-Akron (Canton) OH,65
Buffalo NY,64
Tulsa OK,64
Chicago IL,64
Denver CO,64
Columbus OH,64
Ft. Myers-Naples FL,64
Hartford & New Haven CT,64
Philadelphia PA,64
Boston MA-Manchester NH,64
Fresno-Visalia CA,63
Portland-Auburn ME,63
Houston TX,63
Tucson (Sierra Vista) AZ,63
Sacramento-Stockton-Modesto CA,62
Abilene-Sweetwater TX,62
Louisville KY,61
Greenville-Spartanburg SC-Asheville NC-Anderson SC,61
Charlotte NC,61
Miami-Ft. Lauderdale FL,61
Eugene OR,61
San Diego CA,61
Nashville TN,61
St. Louis MO,61
Jacksonville FL,61
Albuquerque-Santa Fe NM,61
Seattle-Tacoma WA,61
Columbus GA,60
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,59
Oklahoma City OK,59
Waco-Temple-Bryan TX,59
Charleston SC,59
Yakima-Pasco-Richland-Kennewick WA,59
Huntsville-Decatur (Florence) AL,59
Florence-Myrtle Beach SC,59
San Antonio TX,59
Santa Barbara-Santa Maria-San Luis Obispo CA,59
Rochester NY,59
West Palm Beach-Ft. Pierce FL,58
Las Vegas NV,58
Ft. Smith-Fayetteville-Springdale-Rogers AR,58
Augusta GA,58
Palm Springs CA,57
Orlando-Daytona Beach-Melbourne FL,57
Tampa-St. Petersburg (Sarasota) FL,57
Baltimore MD,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Richmond-Petersburg VA,56
Portland OR,56
Madison WI,56
Raleigh-Durham (Fayetteville) NC,56
Memphis TN,55
Kansas City MO,55
Springfield-Holyoke MA,55
Anchorage AK,54
Macon GA,54
Dallas-Ft. Worth TX,54
Greensboro-High Point-Winston Salem NC,54
Gainesville FL,53
Norfolk-Portsmouth-Newport News VA,53
Little Rock-Pine Bluff AR,52
Corpus Christi TX,52
Roanoke-Lynchburg VA,51
Tallahassee FL-Thomasville GA,51
Charlottesville VA,50
Atlanta GA,50
Austin TX,50
Savannah GA,49
Birmingham AL,49
Columbia SC,48
San Francisco-Oakland-San Jose CA,48
Lafayette LA,47
Tyler-Longview(Lufkin & Nacogdoches) TX,44
Shreveport LA,43
New Orleans LA,43
Baton Rouge LA,41
Washington DC (Hagerstown MD),40
Jackson MS,29
Albany GA,0
Watertown NY,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Salisbury MD,0
Terre Haute IN,0
Alpena MI,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Joplin MO-Pittsburg KS,0
Dothan AL,0
Victoria TX,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Sherman TX-Ada OK,0
San Angelo TX,0
Columbus-Tupelo-West Point MS,0
Beaumont-Port Arthur TX,0
Montgomery (Selma) AL,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jonesboro AR,0
Mankato MN,0
North Platte NE,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Eureka CA,0
Bend OR,0


Top cities for maroon 5
Town/City,maroon 5
San Jose,100
New York,90
San Antonio,89
San Diego,86
Las Vegas,85
Houston,84
Denver,84
Los Angeles,82
Phoenix,80
Portland,75
San Francisco,74
Minneapolis,72
Philadelphia,72
Chicago,70
Seattle,68



Top searches for maroon 5
maroon 5 lyrics,100
payphone maroon 5,70
payphone,70
jagger maroon 5,55
moves like jagger,50
one more night,45
maroon 5 misery,25
misery,25
maroon 5 sugar,15
animals maroon 5,15
sugar,15
this love,15
sunday morning,15
maroon 5 daylight,15
maroon 5 rihanna,15
daylight,15
rihanna,15
bruno mars,10
maps,10
maroon 5 maps,10
maroon 5 how,10
one direction,10
christina aguilera,10
maroon 5 live,10
adele,5
call me maybe,5
stereo hearts,5
harder to breathe,5
adam levine,5
maroon 5 acoustic,5
move like jagger,5
maroon 5 album,5
maroon 5 secret,5
pay phone,5
boyfriend justin bieber,5



Rising searches for maroon 5
animals maroon 5,Breakout
jagger maroon 5,Breakout
maroon 5 daylight,Breakout
maroon 5 misery,Breakout
maroon 5 sugar,Breakout
misery,Breakout
moves like jagger,Breakout
one more night,Breakout
payphone,Breakout
payphone maroon 5,Breakout



