YouTube Search interest: lady antebellum
United States; Jan 2008 - Jul 2015

Interest over time
Week,lady antebellum
2008-01-06 - 2008-01-12,0
2008-01-13 - 2008-01-19,1
2008-01-20 - 2008-01-26,1
2008-01-27 - 2008-02-02,1
2008-02-03 - 2008-02-09,1
2008-02-10 - 2008-02-16,1
2008-02-17 - 2008-02-23,2
2008-02-24 - 2008-03-01,2
2008-03-02 - 2008-03-08,1
2008-03-09 - 2008-03-15,1
2008-03-16 - 2008-03-22,2
2008-03-23 - 2008-03-29,2
2008-03-30 - 2008-04-05,2
2008-04-06 - 2008-04-12,1
2008-04-13 - 2008-04-19,3
2008-04-20 - 2008-04-26,3
2008-04-27 - 2008-05-03,2
2008-05-04 - 2008-05-10,2
2008-05-11 - 2008-05-17,2
2008-05-18 - 2008-05-24,3
2008-05-25 - 2008-05-31,3
2008-06-01 - 2008-06-07,3
2008-06-08 - 2008-06-14,2
2008-06-15 - 2008-06-21,3
2008-06-22 - 2008-06-28,2
2008-06-29 - 2008-07-05,3
2008-07-06 - 2008-07-12,2
2008-07-13 - 2008-07-19,2
2008-07-20 - 2008-07-26,3
2008-07-27 - 2008-08-02,3
2008-08-03 - 2008-08-09,3
2008-08-10 - 2008-08-16,3
2008-08-17 - 2008-08-23,4
2008-08-24 - 2008-08-30,4
2008-08-31 - 2008-09-06,4
2008-09-07 - 2008-09-13,4
2008-09-14 - 2008-09-20,4
2008-09-21 - 2008-09-27,6
2008-09-28 - 2008-10-04,5
2008-10-05 - 2008-10-11,5
2008-10-12 - 2008-10-18,6
2008-10-19 - 2008-10-25,6
2008-10-26 - 2008-11-01,4
2008-11-02 - 2008-11-08,5
2008-11-09 - 2008-11-15,9
2008-11-16 - 2008-11-22,7
2008-11-23 - 2008-11-29,5
2008-11-30 - 2008-12-06,6
2008-12-07 - 2008-12-13,5
2008-12-14 - 2008-12-20,5
2008-12-21 - 2008-12-27,5
2008-12-28 - 2009-01-03,3
2009-01-04 - 2009-01-10,5
2009-01-11 - 2009-01-17,5
2009-01-18 - 2009-01-24,4
2009-01-25 - 2009-01-31,4
2009-02-01 - 2009-02-07,4
2009-02-08 - 2009-02-14,7
2009-02-15 - 2009-02-21,5
2009-02-22 - 2009-02-28,6
2009-03-01 - 2009-03-07,5
2009-03-08 - 2009-03-14,5
2009-03-15 - 2009-03-21,7
2009-03-22 - 2009-03-28,9
2009-03-29 - 2009-04-04,7
2009-04-05 - 2009-04-11,12
2009-04-12 - 2009-04-18,11
2009-04-19 - 2009-04-25,11
2009-04-26 - 2009-05-02,14
2009-05-03 - 2009-05-09,13
2009-05-10 - 2009-05-16,13
2009-05-17 - 2009-05-23,16
2009-05-24 - 2009-05-30,14
2009-05-31 - 2009-06-06,15
2009-06-07 - 2009-06-13,13
2009-06-14 - 2009-06-20,13
2009-06-21 - 2009-06-27,14
2009-06-28 - 2009-07-04,12
2009-07-05 - 2009-07-11,12
2009-07-12 - 2009-07-18,13
2009-07-19 - 2009-07-25,13
2009-07-26 - 2009-08-01,14
2009-08-02 - 2009-08-08,11
2009-08-09 - 2009-08-15,14
2009-08-16 - 2009-08-22,13
2009-08-23 - 2009-08-29,13
2009-08-30 - 2009-09-05,16
2009-09-06 - 2009-09-12,17
2009-09-13 - 2009-09-19,17
2009-09-20 - 2009-09-26,24
2009-09-27 - 2009-10-03,27
2009-10-04 - 2009-10-10,27
2009-10-11 - 2009-10-17,28
2009-10-18 - 2009-10-24,31
2009-10-25 - 2009-10-31,33
2009-11-01 - 2009-11-07,44
2009-11-08 - 2009-11-14,58
2009-11-15 - 2009-11-21,62
2009-11-22 - 2009-11-28,48
2009-11-29 - 2009-12-05,51
2009-12-06 - 2009-12-12,45
2009-12-13 - 2009-12-19,44
2009-12-20 - 2009-12-26,39
2009-12-27 - 2010-01-02,38
2010-01-03 - 2010-01-09,40
2010-01-10 - 2010-01-16,40
2010-01-17 - 2010-01-23,42
2010-01-24 - 2010-01-30,62
2010-01-31 - 2010-02-06,93
2010-02-07 - 2010-02-13,83
2010-02-14 - 2010-02-20,79
2010-02-21 - 2010-02-27,90
2010-02-28 - 2010-03-06,99
2010-03-07 - 2010-03-13,98
2010-03-14 - 2010-03-20,100
2010-03-21 - 2010-03-27,99
2010-03-28 - 2010-04-03,92
2010-04-04 - 2010-04-10,90
2010-04-11 - 2010-04-17,83
2010-04-18 - 2010-04-24,95
2010-04-25 - 2010-05-01,91
2010-05-02 - 2010-05-08,81
2010-05-09 - 2010-05-15,70
2010-05-16 - 2010-05-22,63
2010-05-23 - 2010-05-29,60
2010-05-30 - 2010-06-05,53
2010-06-06 - 2010-06-12,54
2010-06-13 - 2010-06-19,52
2010-06-20 - 2010-06-26,46
2010-06-27 - 2010-07-03,44
2010-07-04 - 2010-07-10,41
2010-07-11 - 2010-07-17,43
2010-07-18 - 2010-07-24,41
2010-07-25 - 2010-07-31,40
2010-08-01 - 2010-08-07,40
2010-08-08 - 2010-08-14,38
2010-08-15 - 2010-08-21,39
2010-08-22 - 2010-08-28,38
2010-08-29 - 2010-09-04,40
2010-09-05 - 2010-09-11,36
2010-09-12 - 2010-09-18,33
2010-09-19 - 2010-09-25,33
2010-09-26 - 2010-10-02,35
2010-10-03 - 2010-10-09,33
2010-10-10 - 2010-10-16,34
2010-10-17 - 2010-10-23,34
2010-10-24 - 2010-10-30,30
2010-10-31 - 2010-11-06,35
2010-11-07 - 2010-11-13,48
2010-11-14 - 2010-11-20,44
2010-11-21 - 2010-11-27,42
2010-11-28 - 2010-12-04,42
2010-12-05 - 2010-12-11,34
2010-12-12 - 2010-12-18,33
2010-12-19 - 2010-12-25,31
2010-12-26 - 2011-01-01,32
2011-01-02 - 2011-01-08,34
2011-01-09 - 2011-01-15,33
2011-01-16 - 2011-01-22,33
2011-01-23 - 2011-01-29,36
2011-01-30 - 2011-02-05,36
2011-02-06 - 2011-02-12,45
2011-02-13 - 2011-02-19,96
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,45
2011-03-06 - 2011-03-12,41
2011-03-13 - 2011-03-19,38
2011-03-20 - 2011-03-26,32
2011-03-27 - 2011-04-02,31
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,33
2011-04-17 - 2011-04-23,32
2011-04-24 - 2011-04-30,29
2011-05-01 - 2011-05-07,57
2011-05-08 - 2011-05-14,60
2011-05-15 - 2011-05-21,63
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,63
2011-06-05 - 2011-06-11,68
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,57
2011-06-26 - 2011-07-02,70
2011-07-03 - 2011-07-09,69
2011-07-10 - 2011-07-16,76
2011-07-17 - 2011-07-23,66
2011-07-24 - 2011-07-30,62
2011-07-31 - 2011-08-06,60
2011-08-07 - 2011-08-13,57
2011-08-14 - 2011-08-20,61
2011-08-21 - 2011-08-27,58
2011-08-28 - 2011-09-03,61
2011-09-04 - 2011-09-10,69
2011-09-11 - 2011-09-17,81
2011-09-18 - 2011-09-24,74
2011-09-25 - 2011-10-01,67
2011-10-02 - 2011-10-08,68
2011-10-09 - 2011-10-15,67
2011-10-16 - 2011-10-22,62
2011-10-23 - 2011-10-29,58
2011-10-30 - 2011-11-05,64
2011-11-06 - 2011-11-12,72
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,63
2011-11-27 - 2011-12-03,62
2011-12-04 - 2011-12-10,57
2011-12-11 - 2011-12-17,58
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,45
2012-01-08 - 2012-01-14,50
2012-01-15 - 2012-01-21,47
2012-01-22 - 2012-01-28,48
2012-01-29 - 2012-02-04,47
2012-02-05 - 2012-02-11,45
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,46
2012-02-26 - 2012-03-03,48
2012-03-04 - 2012-03-10,47
2012-03-11 - 2012-03-17,44
2012-03-18 - 2012-03-24,47
2012-03-25 - 2012-03-31,44
2012-04-01 - 2012-04-07,46
2012-04-08 - 2012-04-14,45
2012-04-15 - 2012-04-21,39
2012-04-22 - 2012-04-28,38
2012-04-29 - 2012-05-05,38
2012-05-06 - 2012-05-12,41
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,36
2012-05-27 - 2012-06-02,39
2012-06-03 - 2012-06-09,39
2012-06-10 - 2012-06-16,39
2012-06-17 - 2012-06-23,34
2012-06-24 - 2012-06-30,38
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,37
2012-07-15 - 2012-07-21,33
2012-07-22 - 2012-07-28,31
2012-07-29 - 2012-08-04,30
2012-08-05 - 2012-08-11,30
2012-08-12 - 2012-08-18,29
2012-08-19 - 2012-08-25,28
2012-08-26 - 2012-09-01,26
2012-09-02 - 2012-09-08,28
2012-09-09 - 2012-09-15,26
2012-09-16 - 2012-09-22,27
2012-09-23 - 2012-09-29,24
2012-09-30 - 2012-10-06,21
2012-10-07 - 2012-10-13,22
2012-10-14 - 2012-10-20,21
2012-10-21 - 2012-10-27,22
2012-10-28 - 2012-11-03,20
2012-11-04 - 2012-11-10,21
2012-11-11 - 2012-11-17,24
2012-11-18 - 2012-11-24,22
2012-11-25 - 2012-12-01,22
2012-12-02 - 2012-12-08,21
2012-12-09 - 2012-12-15,21
2012-12-16 - 2012-12-22,20
2012-12-23 - 2012-12-29,19
2012-12-30 - 2013-01-05,16
2013-01-06 - 2013-01-12,16
2013-01-13 - 2013-01-19,16
2013-01-20 - 2013-01-26,17
2013-01-27 - 2013-02-02,19
2013-02-03 - 2013-02-09,22
2013-02-10 - 2013-02-16,24
2013-02-17 - 2013-02-23,21
2013-02-24 - 2013-03-02,21
