YouTube Search interest: colbie caillat
United States; Jan 2008 - Jul 2015

Interest over time
Week,colbie caillat
2011-05-15 - 2011-05-21,68
2011-05-22 - 2011-05-28,66
2011-05-29 - 2011-06-04,67
2011-06-05 - 2011-06-11,68
2011-06-12 - 2011-06-18,61
2011-06-19 - 2011-06-25,56
2011-06-26 - 2011-07-02,61
2011-07-03 - 2011-07-09,53
2011-07-10 - 2011-07-16,100
2011-07-17 - 2011-07-23,81
2011-07-24 - 2011-07-30,72
2011-07-31 - 2011-08-06,72
2011-08-07 - 2011-08-13,75
2011-08-14 - 2011-08-20,84
2011-08-21 - 2011-08-27,83
2011-08-28 - 2011-09-03,74
2011-09-04 - 2011-09-10,74
2011-09-11 - 2011-09-17,74
2011-09-18 - 2011-09-24,69
2011-09-25 - 2011-10-01,71
2011-10-02 - 2011-10-08,74
2011-10-09 - 2011-10-15,68
2011-10-16 - 2011-10-22,64
2011-10-23 - 2011-10-29,66
2011-10-30 - 2011-11-05,63
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,66
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,57
2011-12-18 - 2011-12-24,57
2011-12-25 - 2011-12-31,55
2012-01-01 - 2012-01-07,52
2012-01-08 - 2012-01-14,59
2012-01-15 - 2012-01-21,60
2012-01-22 - 2012-01-28,77
2012-01-29 - 2012-02-04,65
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,60
2012-02-19 - 2012-02-25,54
2012-02-26 - 2012-03-03,53
2012-03-04 - 2012-03-10,49
2012-03-11 - 2012-03-17,51
2012-03-18 - 2012-03-24,50
2012-03-25 - 2012-03-31,49
2012-04-01 - 2012-04-07,48
2012-04-08 - 2012-04-14,44
2012-04-15 - 2012-04-21,46
2012-04-22 - 2012-04-28,48
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,47
2012-05-20 - 2012-05-26,46
2012-05-27 - 2012-06-02,46
2012-06-03 - 2012-06-09,47
2012-06-10 - 2012-06-16,44
2012-06-17 - 2012-06-23,44
2012-06-24 - 2012-06-30,44
2012-07-01 - 2012-07-07,39
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,37
2012-07-22 - 2012-07-28,38
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,37
2012-08-12 - 2012-08-18,36
2012-08-19 - 2012-08-25,38
2012-08-26 - 2012-09-01,40
2012-09-02 - 2012-09-08,37
2012-09-09 - 2012-09-15,36
2012-09-16 - 2012-09-22,36
2012-09-23 - 2012-09-29,39
2012-09-30 - 2012-10-06,39
2012-10-07 - 2012-10-13,37
2012-10-14 - 2012-10-20,36
2012-10-21 - 2012-10-27,33
2012-10-28 - 2012-11-03,33
2012-11-04 - 2012-11-10,35
2012-11-11 - 2012-11-17,32
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,31
2012-12-02 - 2012-12-08,32
2012-12-09 - 2012-12-15,33
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,30
2012-12-30 - 2013-01-05,27
2013-01-06 - 2013-01-12,27
2013-01-13 - 2013-01-19,32
2013-01-20 - 2013-01-26,36
2013-01-27 - 2013-02-02,30
2013-02-03 - 2013-02-09,31
2013-02-10 - 2013-02-16,32
2013-02-17 - 2013-02-23,31
2013-02-24 - 2013-03-02,29
2013-03-03 - 2013-03-09,29
2013-03-10 - 2013-03-16,28
2013-03-17 - 2013-03-23,28
2013-03-24 - 2013-03-30,28
2013-03-31 - 2013-04-06,25
2013-04-07 - 2013-04-13,26
2013-04-14 - 2013-04-20,25
2013-04-21 - 2013-04-27,27
2013-04-28 - 2013-05-04,28
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,27
2013-05-19 - 2013-05-25,26
2013-05-26 - 2013-06-01,25
2013-06-02 - 2013-06-08,27
2013-06-09 - 2013-06-15,22
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,22
2013-06-30 - 2013-07-06,21
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,22
2013-07-21 - 2013-07-27,21
2013-07-28 - 2013-08-03,23
2013-08-04 - 2013-08-10,21
2013-08-11 - 2013-08-17,23
2013-08-18 - 2013-08-24,22
2013-08-25 - 2013-08-31,19
2013-09-01 - 2013-09-07,25
2013-09-08 - 2013-09-14,25
2013-09-15 - 2013-09-21,24
2013-09-22 - 2013-09-28,22
2013-09-29 - 2013-10-05,22
2013-10-06 - 2013-10-12,21
2013-10-13 - 2013-10-19,22
2013-10-20 - 2013-10-26,21
