YouTube Search interest: jack johnson
United States; Jan 2008 - Jul 2015

Interest over time
Week,jack johnson
2012-04-22 - 2012-04-28,57
2012-04-29 - 2012-05-05,51
2012-05-06 - 2012-05-12,52
2012-05-13 - 2012-05-19,49
2012-05-20 - 2012-05-26,51
2012-05-27 - 2012-06-02,51
2012-06-03 - 2012-06-09,44
2012-06-10 - 2012-06-16,42
2012-06-17 - 2012-06-23,42
2012-06-24 - 2012-06-30,43
2012-07-01 - 2012-07-07,42
2012-07-08 - 2012-07-14,41
2012-07-15 - 2012-07-21,42
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,37
2012-08-05 - 2012-08-11,40
2012-08-12 - 2012-08-18,39
2012-08-19 - 2012-08-25,42
2012-08-26 - 2012-09-01,44
2012-09-02 - 2012-09-08,44
2012-09-09 - 2012-09-15,46
2012-09-16 - 2012-09-22,42
2012-09-23 - 2012-09-29,44
2012-09-30 - 2012-10-06,45
2012-10-07 - 2012-10-13,41
2012-10-14 - 2012-10-20,38
2012-10-21 - 2012-10-27,36
2012-10-28 - 2012-11-03,37
2012-11-04 - 2012-11-10,38
2012-11-11 - 2012-11-17,36
2012-11-18 - 2012-11-24,35
2012-11-25 - 2012-12-01,36
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,34
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,29
2013-01-06 - 2013-01-12,35
2013-01-13 - 2013-01-19,38
2013-01-20 - 2013-01-26,34
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,36
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,32
2013-02-24 - 2013-03-02,36
2013-03-03 - 2013-03-09,38
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,32
2013-03-24 - 2013-03-30,33
2013-03-31 - 2013-04-06,31
2013-04-07 - 2013-04-13,33
2013-04-14 - 2013-04-20,35
2013-04-21 - 2013-04-27,37
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,35
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,33
2013-06-02 - 2013-06-08,34
2013-06-09 - 2013-06-15,41
2013-06-16 - 2013-06-22,42
2013-06-23 - 2013-06-29,39
2013-06-30 - 2013-07-06,39
2013-07-07 - 2013-07-13,38
2013-07-14 - 2013-07-20,37
2013-07-21 - 2013-07-27,33
2013-07-28 - 2013-08-03,36
2013-08-04 - 2013-08-10,31
2013-08-11 - 2013-08-17,34
2013-08-18 - 2013-08-24,35
2013-08-25 - 2013-08-31,35
2013-09-01 - 2013-09-07,34
2013-09-08 - 2013-09-14,40
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,48
2013-09-29 - 2013-10-05,43
2013-10-06 - 2013-10-12,43
2013-10-13 - 2013-10-19,37
2013-10-20 - 2013-10-26,39
2013-10-27 - 2013-11-02,32
2013-11-03 - 2013-11-09,35
2013-11-10 - 2013-11-16,32
2013-11-17 - 2013-11-23,37
2013-11-24 - 2013-11-30,28
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,28
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,30
2014-01-12 - 2014-01-18,35
2014-01-19 - 2014-01-25,34
2014-01-26 - 2014-02-01,36
2014-02-02 - 2014-02-08,36
2014-02-09 - 2014-02-15,34
2014-02-16 - 2014-02-22,34
2014-02-23 - 2014-03-01,36
2014-03-02 - 2014-03-08,37
2014-03-09 - 2014-03-15,34
2014-03-16 - 2014-03-22,34
2014-03-23 - 2014-03-29,36
2014-03-30 - 2014-04-05,38
2014-04-06 - 2014-04-12,36
2014-04-13 - 2014-04-19,37
2014-04-20 - 2014-04-26,34
2014-04-27 - 2014-05-03,33
2014-05-04 - 2014-05-10,32
2014-05-11 - 2014-05-17,33
2014-05-18 - 2014-05-24,36
2014-05-25 - 2014-05-31,34
2014-06-01 - 2014-06-07,38
2014-06-08 - 2014-06-14,37
2014-06-15 - 2014-06-21,32
2014-06-22 - 2014-06-28,33
2014-06-29 - 2014-07-05,30
2014-07-06 - 2014-07-12,32
2014-07-13 - 2014-07-19,32
2014-07-20 - 2014-07-26,29
2014-07-27 - 2014-08-02,32
2014-08-03 - 2014-08-09,31
2014-08-10 - 2014-08-16,29
2014-08-17 - 2014-08-23,31
2014-08-24 - 2014-08-30,36
2014-08-31 - 2014-09-06,36
2014-09-07 - 2014-09-13,30
2014-09-14 - 2014-09-20,36
2014-09-21 - 2014-09-27,35
2014-09-28 - 2014-10-04,33
2014-10-05 - 2014-10-11,32
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,30
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,28
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,29
2014-11-23 - 2014-11-29,22
2014-11-30 - 2014-12-06,26
2014-12-07 - 2014-12-13,26
2014-12-14 - 2014-12-20,26
2014-12-21 - 2014-12-27,26
2014-12-28 - 2015-01-03,22
2015-01-04 - 2015-01-10,30
2015-01-11 - 2015-01-17,26
2015-01-18 - 2015-01-24,27
2015-01-25 - 2015-01-31,31
2015-02-01 - 2015-02-07,28
2015-02-08 - 2015-02-14,31
2015-02-15 - 2015-02-21,29
2015-02-22 - 2015-02-28,31
2015-03-01 - 2015-03-07,29
2015-03-08 - 2015-03-14,28
2015-03-15 - 2015-03-21,33
2015-03-22 - 2015-03-28,32
2015-03-29 - 2015-04-04,30
2015-04-05 - 2015-04-11,29
2015-04-12 - 2015-04-18,32
2015-04-19 - 2015-04-25,32
2015-04-26 - 2015-05-02,30
2015-05-03 - 2015-05-09,31
2015-05-10 - 2015-05-16,32
2015-05-17 - 2015-05-23,30
2015-05-24 - 2015-05-30,29
2015-05-31 - 2015-06-06,28
2015-06-07 - 2015-06-13,29
2015-06-14 - 2015-06-20,26
2015-06-21 - 2015-06-27,30
2015-06-28 - 2015-07-04,26
2015-07-05 - 2015-07-11,23
2015-07-12 - 2015-07-18,24
2015-07-19 - 2015-07-25,26
2015-07-26 - 2015-08-01,25


Top sub-regions for jack johnson
Sub-region,jack johnson
Hawaii,100
Utah,89
Idaho,85
New Hampshire,78
Colorado,75
Vermont,74
Maine,73
Montana,72
Wisconsin,71
North Dakota,68
South Dakota,68
Massachusetts,66
Wyoming,65
Rhode Island,64
Washington,64
California,63
Connecticut,61
Missouri,61
Minnesota,60
Pennsylvania,60
South Carolina,59
Oregon,59
Indiana,59
Alaska,58
North Carolina,56
Ohio,56
Florida,55
Iowa,54
Michigan,52
Arizona,52
New Jersey,52
Nebraska,52
Delaware,51
Virginia,51
Kansas,50
Arkansas,49
Tennessee,49
Kentucky,49
Maryland,48
District of Columbia,48
West Virginia,47
New Mexico,47
Oklahoma,46
Alabama,46
New York,45
Illinois,45
Georgia,44
Nevada,44
Texas,43
Louisiana,36
Mississippi,35


Top metros for jack johnson
Metro,jack johnson
Santa Barbara-Santa Maria-San Luis Obispo CA,100
Honolulu HI,83
Boise ID,79
San Diego CA,72
Salt Lake City UT,71
Burlington VT-Plattsburgh NY,70
Syracuse NY,65
Spokane WA,65
Denver CO,64
Rochester NY,62
Boston MA-Manchester NH,61
Albany-Schenectady-Troy NY,60
Kansas City MO,59
Milwaukee WI,59
Portland-Auburn ME,57
Madison WI,57
Wilkes Barre-Scranton PA,56
Philadelphia PA,56
Seattle-Tacoma WA,55
Los Angeles CA,55
Pittsburgh PA,54
Cincinnati OH,54
Grand Rapids-Kalamazoo-Battle Creek MI,54
Jacksonville FL,53
Hartford & New Haven CT,53
Indianapolis IN,52
Austin TX,51
Providence RI-New Bedford MA,51
Richmond-Petersburg VA,51
Charlotte NC,50
Tucson (Sierra Vista) AZ,50
Cleveland-Akron (Canton) OH,50
Minneapolis-St. Paul MN,50
Orlando-Daytona Beach-Melbourne FL,50
Phoenix AZ,49
Louisville KY,49
St. Louis MO,48
Greenville-Spartanburg SC-Asheville NC-Anderson SC,46
Tampa-St. Petersburg (Sarasota) FL,46
Sacramento-Stockton-Modesto CA,46
Nashville TN,45
San Antonio TX,45
Baltimore MD,44
Buffalo NY,43
Norfolk-Portsmouth-Newport News VA,43
Portland OR,43
Birmingham AL,43
Columbus OH,43
Albuquerque-Santa Fe NM,43
Washington DC (Hagerstown MD),43
San Francisco-Oakland-San Jose CA,42
Harrisburg-Lancaster-Lebanon-York PA,41
West Palm Beach-Ft. Pierce FL,41
Detroit MI,41
Atlanta GA,41
Raleigh-Durham (Fayetteville) NC,40
Miami-Ft. Lauderdale FL,39
Greensboro-High Point-Winston Salem NC,38
Chicago IL,38
Oklahoma City OK,37
New York NY,37
Dallas-Ft. Worth TX,36
Houston TX,32
Las Vegas NV,26
Binghamton NY,0
Macon GA,0
Savannah GA,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Albany GA,0
Utica NY,0
Tallahassee FL-Thomasville GA,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Columbia SC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
New Orleans LA,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Memphis TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Mobile AL-Pensacola (Ft. Walton Beach) FL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
Little Rock-Pine Bluff AR,0
Montgomery (Selma) AL,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Baton Rouge LA,0
Quincy IL-Hannibal MO-Keokuk IA,0
Jackson MS,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0


Top cities for jack johnson
Town/City,jack johnson
Honolulu,100
Salt Lake City,96
San Diego,80
Denver,72
Los Angeles,68
Irvine,68
Portland,65
Seattle,65
St. Louis,62
Boston,60
Minneapolis,59
Tampa,58
San Francisco,58
Richardson,56
Phoenix,54



Top searches for jack johnson
better together,100
banana pancakes,80
jack johnson lyrics,70
upside down,45
sitting waiting wishing,35
jack johnson angel,30
taylor jack johnson,30
flake,30
jack johnson flake,30
jack johnson live,20
john mayer,20
jack johnson cover,20
jack johnson acoustic,20
jack johnson eyes,20
jack johnson breakdown,20
breakdown,20
bubble toes,15
ben harper,15
do you remember,15
good people,15
home jack johnson,10
gone jack johnson,10
jack johnson album,10
jack johnson playlist,10
jack white,10
jack johnson hope,5
jack johnson imagine,5
jack johnson friends,5
curious george,5
broken jack johnson,5
badfish jack johnson,5
constellations jack johnson,5
rodeo clowns,5
times like these,5
g love,5



Rising searches for jack johnson
jack johnson angel,Breakout
jack johnson lyrics,Breakout
sitting waiting wishing,+500%
better together,+300%
upside down,+300%
banana pancakes,+250%
jack johnson flake,+80%
flake,+70%
taylor jack johnson,+70%
john mayer,+60%



