YouTube Search interest: rick ross
United States; Jan 2008 - Jul 2015

Interest over time
Week,rick ross
2008-01-06 - 2008-01-12,13
2008-01-13 - 2008-01-19,14
2008-01-20 - 2008-01-26,14
2008-01-27 - 2008-02-02,16
2008-02-03 - 2008-02-09,16
2008-02-10 - 2008-02-16,16
2008-02-17 - 2008-02-23,17
2008-02-24 - 2008-03-01,24
2008-03-02 - 2008-03-08,25
2008-03-09 - 2008-03-15,34
2008-03-16 - 2008-03-22,33
2008-03-23 - 2008-03-29,30
2008-03-30 - 2008-04-05,30
2008-04-06 - 2008-04-12,25
2008-04-13 - 2008-04-19,23
2008-04-20 - 2008-04-26,24
2008-04-27 - 2008-05-03,22
2008-05-04 - 2008-05-10,22
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,27
2008-05-25 - 2008-05-31,25
2008-06-01 - 2008-06-07,25
2008-06-08 - 2008-06-14,24
2008-06-15 - 2008-06-21,25
2008-06-22 - 2008-06-28,24
2008-06-29 - 2008-07-05,23
2008-07-06 - 2008-07-12,25
2008-07-13 - 2008-07-19,26
2008-07-20 - 2008-07-26,32
2008-07-27 - 2008-08-02,36
2008-08-03 - 2008-08-09,29
2008-08-10 - 2008-08-16,27
2008-08-17 - 2008-08-23,27
2008-08-24 - 2008-08-30,23
2008-08-31 - 2008-09-06,21
2008-09-07 - 2008-09-13,20
2008-09-14 - 2008-09-20,19
2008-09-21 - 2008-09-27,19
2008-09-28 - 2008-10-04,17
2008-10-05 - 2008-10-11,16
2008-10-12 - 2008-10-18,17
2008-10-19 - 2008-10-25,17
2008-10-26 - 2008-11-01,15
2008-11-02 - 2008-11-08,13
2008-11-09 - 2008-11-15,14
2008-11-16 - 2008-11-22,13
2008-11-23 - 2008-11-29,12
2008-11-30 - 2008-12-06,13
2008-12-07 - 2008-12-13,13
2008-12-14 - 2008-12-20,12
2008-12-21 - 2008-12-27,12
2008-12-28 - 2009-01-03,13
2009-01-04 - 2009-01-10,12
2009-01-11 - 2009-01-17,12
2009-01-18 - 2009-01-24,11
2009-01-25 - 2009-01-31,19
2009-02-01 - 2009-02-07,48
2009-02-08 - 2009-02-14,42
2009-02-15 - 2009-02-21,34
2009-02-22 - 2009-02-28,30
2009-03-01 - 2009-03-07,29
2009-03-08 - 2009-03-14,33
2009-03-15 - 2009-03-21,36
2009-03-22 - 2009-03-28,32
2009-03-29 - 2009-04-04,28
2009-04-05 - 2009-04-11,30
2009-04-12 - 2009-04-18,32
2009-04-19 - 2009-04-25,38
2009-04-26 - 2009-05-02,39
2009-05-03 - 2009-05-09,32
2009-05-10 - 2009-05-16,36
2009-05-17 - 2009-05-23,31
2009-05-24 - 2009-05-30,29
2009-05-31 - 2009-06-06,25
2009-06-07 - 2009-06-13,23
2009-06-14 - 2009-06-20,23
2009-06-21 - 2009-06-27,22
2009-06-28 - 2009-07-04,19
2009-07-05 - 2009-07-11,19
2009-07-12 - 2009-07-18,19
2009-07-19 - 2009-07-25,19
2009-07-26 - 2009-08-01,19
2009-08-02 - 2009-08-08,19
2009-08-09 - 2009-08-15,17
2009-08-16 - 2009-08-22,16
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,15
2009-09-06 - 2009-09-12,15
2009-09-13 - 2009-09-19,14
2009-09-20 - 2009-09-26,16
2009-09-27 - 2009-10-03,15
2009-10-04 - 2009-10-10,18
2009-10-11 - 2009-10-17,18
2009-10-18 - 2009-10-24,17
2009-10-25 - 2009-10-31,16
2009-11-01 - 2009-11-07,16
2009-11-08 - 2009-11-14,14
2009-11-15 - 2009-11-21,15
2009-11-22 - 2009-11-28,13
2009-11-29 - 2009-12-05,13
2009-12-06 - 2009-12-12,13
2009-12-13 - 2009-12-19,13
2009-12-20 - 2009-12-26,13
2009-12-27 - 2010-01-02,12
2010-01-03 - 2010-01-09,13
2010-01-10 - 2010-01-16,13
2010-01-17 - 2010-01-23,14
2010-01-24 - 2010-01-30,14
2010-01-31 - 2010-02-06,16
2010-02-07 - 2010-02-13,16
2010-02-14 - 2010-02-20,15
2010-02-21 - 2010-02-27,18
2010-02-28 - 2010-03-06,17
2010-03-07 - 2010-03-13,17
2010-03-14 - 2010-03-20,18
2010-03-21 - 2010-03-27,16
2010-03-28 - 2010-04-03,16
2010-04-04 - 2010-04-10,18
2010-04-11 - 2010-04-17,18
2010-04-18 - 2010-04-24,19
2010-04-25 - 2010-05-01,18
2010-05-02 - 2010-05-08,20
2010-05-09 - 2010-05-15,18
2010-05-16 - 2010-05-22,20
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,21
2010-06-06 - 2010-06-12,21
2010-06-13 - 2010-06-19,22
2010-06-20 - 2010-06-26,25
2010-06-27 - 2010-07-03,32
2010-07-04 - 2010-07-10,40
2010-07-11 - 2010-07-17,59
2010-07-18 - 2010-07-24,70
2010-07-25 - 2010-07-31,69
2010-08-01 - 2010-08-07,60
2010-08-08 - 2010-08-14,65
2010-08-15 - 2010-08-21,60
2010-08-22 - 2010-08-28,57
2010-08-29 - 2010-09-04,58
2010-09-05 - 2010-09-11,53
2010-09-12 - 2010-09-18,52
2010-09-19 - 2010-09-25,51
2010-09-26 - 2010-10-02,51
2010-10-03 - 2010-10-09,47
2010-10-10 - 2010-10-16,54
2010-10-17 - 2010-10-23,60
2010-10-24 - 2010-10-30,58
2010-10-31 - 2010-11-06,60
2010-11-07 - 2010-11-13,59
2010-11-14 - 2010-11-20,55
2010-11-21 - 2010-11-27,50
2010-11-28 - 2010-12-04,50
2010-12-05 - 2010-12-11,45
2010-12-12 - 2010-12-18,44
2010-12-19 - 2010-12-25,46
2010-12-26 - 2011-01-01,51
2011-01-02 - 2011-01-08,58
2011-01-09 - 2011-01-15,57
2011-01-16 - 2011-01-22,53
2011-01-23 - 2011-01-29,54
2011-01-30 - 2011-02-05,52
2011-02-06 - 2011-02-12,52
2011-02-13 - 2011-02-19,50
2011-02-20 - 2011-02-26,50
2011-02-27 - 2011-03-05,50
2011-03-06 - 2011-03-12,50
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,53
2011-03-27 - 2011-04-02,57
2011-04-03 - 2011-04-09,56
2011-04-10 - 2011-04-16,66
2011-04-17 - 2011-04-23,63
2011-04-24 - 2011-04-30,64
2011-05-01 - 2011-05-07,64
2011-05-08 - 2011-05-14,71
2011-05-15 - 2011-05-21,85
2011-05-22 - 2011-05-28,86
2011-05-29 - 2011-06-04,80
2011-06-05 - 2011-06-11,78
2011-06-12 - 2011-06-18,74
2011-06-19 - 2011-06-25,75
2011-06-26 - 2011-07-02,89
2011-07-03 - 2011-07-09,84
2011-07-10 - 2011-07-16,76
2011-07-17 - 2011-07-23,68
2011-07-24 - 2011-07-30,67
2011-07-31 - 2011-08-06,65
2011-08-07 - 2011-08-13,65
2011-08-14 - 2011-08-20,60
2011-08-21 - 2011-08-27,61
2011-08-28 - 2011-09-03,67
2011-09-04 - 2011-09-10,60
2011-09-11 - 2011-09-17,63
2011-09-18 - 2011-09-24,60
2011-09-25 - 2011-10-01,59
2011-10-02 - 2011-10-08,65
2011-10-09 - 2011-10-15,72
2011-10-16 - 2011-10-22,70
2011-10-23 - 2011-10-29,70
2011-10-30 - 2011-11-05,70
2011-11-06 - 2011-11-12,68
2011-11-13 - 2011-11-19,64
2011-11-20 - 2011-11-26,62
2011-11-27 - 2011-12-03,60
2011-12-04 - 2011-12-10,59
2011-12-11 - 2011-12-17,56
2011-12-18 - 2011-12-24,53
2011-12-25 - 2011-12-31,57
2012-01-01 - 2012-01-07,63
2012-01-08 - 2012-01-14,86
2012-01-15 - 2012-01-21,72
2012-01-22 - 2012-01-28,68
2012-01-29 - 2012-02-04,71
2012-02-05 - 2012-02-11,68
2012-02-12 - 2012-02-18,59
2012-02-19 - 2012-02-25,61
2012-02-26 - 2012-03-03,62
2012-03-04 - 2012-03-10,62
2012-03-11 - 2012-03-17,65
2012-03-18 - 2012-03-24,66
2012-03-25 - 2012-03-31,62
2012-04-01 - 2012-04-07,62
2012-04-08 - 2012-04-14,60
2012-04-15 - 2012-04-21,61
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,61
2012-05-06 - 2012-05-12,60
2012-05-13 - 2012-05-19,63
2012-05-20 - 2012-05-26,63
2012-05-27 - 2012-06-02,63
2012-06-03 - 2012-06-09,61
2012-06-10 - 2012-06-16,64
2012-06-17 - 2012-06-23,65
2012-06-24 - 2012-06-30,77
2012-07-01 - 2012-07-07,81
2012-07-08 - 2012-07-14,74
2012-07-15 - 2012-07-21,76
2012-07-22 - 2012-07-28,81
2012-07-29 - 2012-08-04,100
2012-08-05 - 2012-08-11,88
2012-08-12 - 2012-08-18,84
2012-08-19 - 2012-08-25,80
2012-08-26 - 2012-09-01,78
2012-09-02 - 2012-09-08,70
2012-09-09 - 2012-09-15,64
2012-09-16 - 2012-09-22,63
2012-09-23 - 2012-09-29,58
2012-09-30 - 2012-10-06,67
2012-10-07 - 2012-10-13,80
2012-10-14 - 2012-10-20,71
2012-10-21 - 2012-10-27,64
2012-10-28 - 2012-11-03,60
2012-11-04 - 2012-11-10,59
2012-11-11 - 2012-11-17,58
2012-11-18 - 2012-11-24,53
2012-11-25 - 2012-12-01,50
2012-12-02 - 2012-12-08,48
2012-12-09 - 2012-12-15,54
2012-12-16 - 2012-12-22,47
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,42
2013-01-13 - 2013-01-19,44
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,55
2013-02-03 - 2013-02-09,45
2013-02-10 - 2013-02-16,41
2013-02-17 - 2013-02-23,38
2013-02-24 - 2013-03-02,35
2013-03-03 - 2013-03-09,35
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,33
2013-03-24 - 2013-03-30,33
2013-03-31 - 2013-04-06,35
