YouTube Search interest: josh turner
United States; Jan 2008 - Jul 2015

Interest over time
Week,josh turner
2008-01-06 - 2008-01-12,15
2008-01-13 - 2008-01-19,20
2008-01-20 - 2008-01-26,19
2008-01-27 - 2008-02-02,22
2008-02-03 - 2008-02-09,20
2008-02-10 - 2008-02-16,22
2008-02-17 - 2008-02-23,17
2008-02-24 - 2008-03-01,18
2008-03-02 - 2008-03-08,23
2008-03-09 - 2008-03-15,20
2008-03-16 - 2008-03-22,19
2008-03-23 - 2008-03-29,18
2008-03-30 - 2008-04-05,24
2008-04-06 - 2008-04-12,29
2008-04-13 - 2008-04-19,24
2008-04-20 - 2008-04-26,24
2008-04-27 - 2008-05-03,25
2008-05-04 - 2008-05-10,28
2008-05-11 - 2008-05-17,27
2008-05-18 - 2008-05-24,25
2008-05-25 - 2008-05-31,23
2008-06-01 - 2008-06-07,21
2008-06-08 - 2008-06-14,25
2008-06-15 - 2008-06-21,28
2008-06-22 - 2008-06-28,25
2008-06-29 - 2008-07-05,28
2008-07-06 - 2008-07-12,25
2008-07-13 - 2008-07-19,27
2008-07-20 - 2008-07-26,27
2008-07-27 - 2008-08-02,21
2008-08-03 - 2008-08-09,21
2008-08-10 - 2008-08-16,21
2008-08-17 - 2008-08-23,20
2008-08-24 - 2008-08-30,21
2008-08-31 - 2008-09-06,20
2008-09-07 - 2008-09-13,25
2008-09-14 - 2008-09-20,20
2008-09-21 - 2008-09-27,18
2008-09-28 - 2008-10-04,22
2008-10-05 - 2008-10-11,24
2008-10-12 - 2008-10-18,27
2008-10-19 - 2008-10-25,20
2008-10-26 - 2008-11-01,20
2008-11-02 - 2008-11-08,22
2008-11-09 - 2008-11-15,26
2008-11-16 - 2008-11-22,25
2008-11-23 - 2008-11-29,25
2008-11-30 - 2008-12-06,19
2008-12-07 - 2008-12-13,24
2008-12-14 - 2008-12-20,19
2008-12-21 - 2008-12-27,21
2008-12-28 - 2009-01-03,19
2009-01-04 - 2009-01-10,24
2009-01-11 - 2009-01-17,23
2009-01-18 - 2009-01-24,20
2009-01-25 - 2009-01-31,23
2009-02-01 - 2009-02-07,19
2009-02-08 - 2009-02-14,22
2009-02-15 - 2009-02-21,19
2009-02-22 - 2009-02-28,24
2009-03-01 - 2009-03-07,23
2009-03-08 - 2009-03-14,22
2009-03-15 - 2009-03-21,24
2009-03-22 - 2009-03-28,21
2009-03-29 - 2009-04-04,21
2009-04-05 - 2009-04-11,17
