YouTube Search interest: brandy
United States; Jan 2008 - Jul 2015

Interest over time
Week,brandy
2011-12-18 - 2011-12-24,20
2011-12-25 - 2011-12-31,18
2012-01-01 - 2012-01-07,19
2012-01-08 - 2012-01-14,23
2012-01-15 - 2012-01-21,23
2012-01-22 - 2012-01-28,21
2012-01-29 - 2012-02-04,22
2012-02-05 - 2012-02-11,27
2012-02-12 - 2012-02-18,36
2012-02-19 - 2012-02-25,28
2012-02-26 - 2012-03-03,26
2012-03-04 - 2012-03-10,52
2012-03-11 - 2012-03-17,47
2012-03-18 - 2012-03-24,40
2012-03-25 - 2012-03-31,36
2012-04-01 - 2012-04-07,34
2012-04-08 - 2012-04-14,37
2012-04-15 - 2012-04-21,30
2012-04-22 - 2012-04-28,52
2012-04-29 - 2012-05-05,50
2012-05-06 - 2012-05-12,40
2012-05-13 - 2012-05-19,33
2012-05-20 - 2012-05-26,32
2012-05-27 - 2012-06-02,31
2012-06-03 - 2012-06-09,30
2012-06-10 - 2012-06-16,32
2012-06-17 - 2012-06-23,31
2012-06-24 - 2012-06-30,32
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,37
2012-07-15 - 2012-07-21,38
2012-07-22 - 2012-07-28,40
2012-07-29 - 2012-08-04,41
2012-08-05 - 2012-08-11,43
2012-08-12 - 2012-08-18,100
2012-08-19 - 2012-08-25,95
2012-08-26 - 2012-09-01,77
2012-09-02 - 2012-09-08,74
2012-09-09 - 2012-09-15,60
2012-09-16 - 2012-09-22,67
2012-09-23 - 2012-09-29,64
2012-09-30 - 2012-10-06,62
2012-10-07 - 2012-10-13,64
2012-10-14 - 2012-10-20,77
2012-10-21 - 2012-10-27,69
2012-10-28 - 2012-11-03,58
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,55
2012-11-18 - 2012-11-24,47
2012-11-25 - 2012-12-01,44
2012-12-02 - 2012-12-08,37
2012-12-09 - 2012-12-15,34
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,35
2012-12-30 - 2013-01-05,36
2013-01-06 - 2013-01-12,31
2013-01-13 - 2013-01-19,28
2013-01-20 - 2013-01-26,29
2013-01-27 - 2013-02-02,27
2013-02-03 - 2013-02-09,26
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,22
2013-02-24 - 2013-03-02,24
2013-03-03 - 2013-03-09,25
2013-03-10 - 2013-03-16,24
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,20
2013-03-31 - 2013-04-06,22
2013-04-07 - 2013-04-13,19
2013-04-14 - 2013-04-20,20
2013-04-21 - 2013-04-27,20
2013-04-28 - 2013-05-04,20
2013-05-05 - 2013-05-11,20
2013-05-12 - 2013-05-18,21
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,18
2013-06-02 - 2013-06-08,19
2013-06-09 - 2013-06-15,20
2013-06-16 - 2013-06-22,18
2013-06-23 - 2013-06-29,18
2013-06-30 - 2013-07-06,20
2013-07-07 - 2013-07-13,20
2013-07-14 - 2013-07-20,17
2013-07-21 - 2013-07-27,17
2013-07-28 - 2013-08-03,19
2013-08-04 - 2013-08-10,17
2013-08-11 - 2013-08-17,17
2013-08-18 - 2013-08-24,20
2013-08-25 - 2013-08-31,17
2013-09-01 - 2013-09-07,17
2013-09-08 - 2013-09-14,15
2013-09-15 - 2013-09-21,16
2013-09-22 - 2013-09-28,17
2013-09-29 - 2013-10-05,14
2013-10-06 - 2013-10-12,16
2013-10-13 - 2013-10-19,19
2013-10-20 - 2013-10-26,17
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,17
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,19
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,16
2013-12-08 - 2013-12-14,16
2013-12-15 - 2013-12-21,15
2013-12-22 - 2013-12-28,14
2013-12-29 - 2014-01-04,14
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,14
2014-01-19 - 2014-01-25,15
2014-01-26 - 2014-02-01,14
2014-02-02 - 2014-02-08,15
2014-02-09 - 2014-02-15,14
2014-02-16 - 2014-02-22,16
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,15
2014-03-09 - 2014-03-15,15
2014-03-16 - 2014-03-22,15
2014-03-23 - 2014-03-29,14
2014-03-30 - 2014-04-05,13
2014-04-06 - 2014-04-12,16
2014-04-13 - 2014-04-19,15
2014-04-20 - 2014-04-26,14
2014-04-27 - 2014-05-03,15
2014-05-04 - 2014-05-10,15
2014-05-11 - 2014-05-17,13
2014-05-18 - 2014-05-24,14
2014-05-25 - 2014-05-31,13
2014-06-01 - 2014-06-07,14
2014-06-08 - 2014-06-14,13
2014-06-15 - 2014-06-21,12
2014-06-22 - 2014-06-28,13
2014-06-29 - 2014-07-05,13
2014-07-06 - 2014-07-12,13
2014-07-13 - 2014-07-19,16
2014-07-20 - 2014-07-26,14
2014-07-27 - 2014-08-02,14
2014-08-03 - 2014-08-09,17
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,14
2014-08-31 - 2014-09-06,12
2014-09-07 - 2014-09-13,12
2014-09-14 - 2014-09-20,12
2014-09-21 - 2014-09-27,14
2014-09-28 - 2014-10-04,13
2014-10-05 - 2014-10-11,12
2014-10-12 - 2014-10-18,20
2014-10-19 - 2014-10-25,16
2014-10-26 - 2014-11-01,15
2014-11-02 - 2014-11-08,14
2014-11-09 - 2014-11-15,14
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,13
2014-11-30 - 2014-12-06,13
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,12
2014-12-28 - 2015-01-03,13
2015-01-04 - 2015-01-10,13
2015-01-11 - 2015-01-17,14
2015-01-18 - 2015-01-24,13
2015-01-25 - 2015-01-31,11
2015-02-01 - 2015-02-07,12
2015-02-08 - 2015-02-14,18
2015-02-15 - 2015-02-21,12
2015-02-22 - 2015-02-28,12
2015-03-01 - 2015-03-07,13
2015-03-08 - 2015-03-14,11
2015-03-15 - 2015-03-21,11
2015-03-22 - 2015-03-28,12
2015-03-29 - 2015-04-04,12
2015-04-05 - 2015-04-11,13
2015-04-12 - 2015-04-18,12
2015-04-19 - 2015-04-25,12
2015-04-26 - 2015-05-02,13
2015-05-03 - 2015-05-09,11
2015-05-10 - 2015-05-16,12
2015-05-17 - 2015-05-23,14
2015-05-24 - 2015-05-30,12
2015-05-31 - 2015-06-06,10
2015-06-07 - 2015-06-13,11
2015-06-14 - 2015-06-20,13
2015-06-21 - 2015-06-27,12
2015-06-28 - 2015-07-04,11
2015-07-05 - 2015-07-11,12
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,13
2015-07-26 - 2015-08-01,12


Top sub-regions for brandy
Sub-region,brandy
Mississippi,100
Georgia,87
Louisiana,84
South Carolina,81
Alabama,79
District of Columbia,71
Maryland,71
North Carolina,70
Delaware,57
New York,57
Tennessee,54
Michigan,53
Arkansas,53
Florida,53
Pennsylvania,49
Ohio,48
New Jersey,48
Missouri,47
Illinois,45
Texas,44
Indiana,42
Virginia,42
Connecticut,41
Kentucky,41
Massachusetts,38
Rhode Island,36
Oklahoma,36
Hawaii,35
Wisconsin,35
California,34
Minnesota,33
Nevada,31
Kansas,29
Colorado,29
South Dakota,28
West Virginia,28
Washington,28
New Mexico,27
Arizona,27
Nebraska,26
Alaska,25
Vermont,24
Iowa,23
New Hampshire,22
North Dakota,22
Maine,22
Wyoming,21
Utah,20
Oregon,19
Montana,18
Idaho,16


Top metros for brandy
Metro,brandy
Macon GA,100
Montgomery (Selma) AL,91
Columbia SC,86
Jackson MS,86
Memphis TN,85
Baton Rouge LA,83
Tallahassee FL-Thomasville GA,79
Atlanta GA,73
New Orleans LA,72
Raleigh-Durham (Fayetteville) NC,72
Little Rock-Pine Bluff AR,70
Savannah GA,69
Richmond-Petersburg VA,61
Birmingham AL,61
Detroit MI,58
Norfolk-Portsmouth-Newport News VA,56
Baltimore MD,55
Charlotte NC,53
Philadelphia PA,51
Greensboro-High Point-Winston Salem NC,49
New York NY,47
Jacksonville FL,46
Miami-Ft. Lauderdale FL,45
St. Louis MO,45
Washington DC (Hagerstown MD),43
West Palm Beach-Ft. Pierce FL,43
Dallas-Ft. Worth TX,43
Mobile AL-Pensacola (Ft. Walton Beach) FL,42
Nashville TN,42
Louisville KY,42
Houston TX,42
Columbus OH,41
Greenville-Spartanburg SC-Asheville NC-Anderson SC,40
Milwaukee WI,39
Cleveland-Akron (Canton) OH,39
Rochester NY,38
Tampa-St. Petersburg (Sarasota) FL,38
Chicago IL,37
Indianapolis IN,37
Cincinnati OH,36
Orlando-Daytona Beach-Melbourne FL,36
Kansas City MO,36
Buffalo NY,34
Providence RI-New Bedford MA,34
Hartford & New Haven CT,32
Grand Rapids-Kalamazoo-Battle Creek MI,32
Honolulu HI,32
Minneapolis-St. Paul MN,32
Los Angeles CA,31
Harrisburg-Lancaster-Lebanon-York PA,30
Oklahoma City OK,30
Albany-Schenectady-Troy NY,30
Pittsburgh PA,30
Las Vegas NV,29
Boston MA-Manchester NH,29
Sacramento-Stockton-Modesto CA,28
San Antonio TX,26
Phoenix AZ,25
Seattle-Tacoma WA,25
Denver CO,25
Austin TX,24
San Diego CA,21
San Francisco-Oakland-San Jose CA,20
Salt Lake City UT,18
Portland OR,17
Portland-Auburn ME,0
Binghamton NY,0
Ft. Wayne IN,0
Flint-Saginaw-Bay City MI,0
Erie PA,0
Charleston SC,0
Augusta GA,0
Columbus GA,0
Burlington VT-Plattsburgh NY,0
Albany GA,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Lexington KY,0
Dayton OH,0
Springfield-Holyoke MA,0
Greenville-New Bern-Washington NC,0
Toledo OH,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Syracuse NY,0
Knoxville TN,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Charleston-Huntington WV,0
Elmira NY,0
Harrisonburg VA,0
Florence-Myrtle Beach SC,0
Ft. Myers-Naples FL,0
Roanoke-Lynchburg VA,0
Johnstown-Altoona PA,0
Chattanooga TN,0
Salisbury MD,0
Wilkes Barre-Scranton PA,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
South Bend-Elkhart IN,0
Gainesville FL,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Shreveport LA,0
Springfield MO,0
Sioux City IA,0
Waco-Temple-Bryan TX,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
Harlingen-Weslaco-Brownsville-McAllen TX,0
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,0
St. Joseph MO,0
Jackson TN,0
Lafayette LA,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Champaign & Springfield-Decatur IL,0
Evansville IN,0
Lubbock TX,0
Omaha NE,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Madison WI,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Tulsa OK,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Wichita-Hutchinson KS,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Huntsville-Decatur (Florence) AL,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Colorado Springs-Pueblo CO,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Tucson (Sierra Vista) AZ,0
Albuquerque-Santa Fe NM,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Fresno-Visalia CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for brandy
Town/City,brandy
Detroit,100
Baltimore,96
Jackson,88
Memphis,87
Atlanta,81
New Orleans,79
Philadelphia,78
Washington,66
Charlotte,65
Cleveland,63
Raleigh,62
New York,60
Jacksonville,57
Newark,56
St. Louis,54



Top searches for brandy
brandy lyrics,100
monica,85
put it down,80
have you ever,65
brandy and monica,55
right here brandy,40
right here,40
missing you brandy,30
missing you,30
long distance brandy,25
brandy live,25
brandy songs,25
baby brandy,20
full moon,15
full moon brandy,15
brandy looking glass,15
aaliyah,15
tamia,15
brandy taylor,10
brandy departed,10
brandy cinderella,10
brandy singing,10
brandy instrumental,10
brokenhearted brandy,10
brandy best friend,10
fall brandy,10
brandy melville,5
brandi,5
toni braxton,5
brandy without you,5
brandy clark,5
brandy nothing,5



Rising searches for brandy
long distance brandy,Breakout
put it down,Breakout
right here,Breakout
right here brandy,Breakout
brandy lyrics,+2,150%
brandy and monica,+400%
brandy songs,+200%
have you ever,+190%
monica,+90%
missing you,+70%



