YouTube Search interest: kanye west
United States; Jan 2008 - Jul 2015

Interest over time
Week,kanye west
2008-01-06 - 2008-01-12,4
2008-01-13 - 2008-01-19,4
2008-01-20 - 2008-01-26,4
2008-01-27 - 2008-02-02,4
2008-02-03 - 2008-02-09,4
2008-02-10 - 2008-02-16,12
2008-02-17 - 2008-02-23,6
2008-02-24 - 2008-03-01,5
2008-03-02 - 2008-03-08,4
2008-03-09 - 2008-03-15,4
2008-03-16 - 2008-03-22,3
2008-03-23 - 2008-03-29,3
2008-03-30 - 2008-04-05,4
2008-04-06 - 2008-04-12,4
2008-04-13 - 2008-04-19,4
2008-04-20 - 2008-04-26,4
2008-04-27 - 2008-05-03,4
2008-05-04 - 2008-05-10,4
2008-05-11 - 2008-05-17,4
2008-05-18 - 2008-05-24,5
2008-05-25 - 2008-05-31,5
2008-06-01 - 2008-06-07,5
2008-06-08 - 2008-06-14,6
2008-06-15 - 2008-06-21,7
2008-06-22 - 2008-06-28,7
2008-06-29 - 2008-07-05,6
2008-07-06 - 2008-07-12,6
2008-07-13 - 2008-07-19,6
2008-07-20 - 2008-07-26,6
2008-07-27 - 2008-08-02,6
2008-08-03 - 2008-08-09,6
2008-08-10 - 2008-08-16,6
2008-08-17 - 2008-08-23,6
2008-08-24 - 2008-08-30,7
2008-08-31 - 2008-09-06,7
2008-09-07 - 2008-09-13,11
2008-09-14 - 2008-09-20,10
2008-09-21 - 2008-09-27,9
2008-09-28 - 2008-10-04,8
2008-10-05 - 2008-10-11,8
2008-10-12 - 2008-10-18,9
2008-10-19 - 2008-10-25,10
2008-10-26 - 2008-11-01,10
2008-11-02 - 2008-11-08,11
2008-11-09 - 2008-11-15,14
2008-11-16 - 2008-11-22,14
2008-11-23 - 2008-11-29,18
2008-11-30 - 2008-12-06,17
2008-12-07 - 2008-12-13,17
2008-12-14 - 2008-12-20,17
2008-12-21 - 2008-12-27,18
2008-12-28 - 2009-01-03,14
2009-01-04 - 2009-01-10,12
2009-01-11 - 2009-01-17,12
2009-01-18 - 2009-01-24,11
2009-01-25 - 2009-01-31,11
2009-02-01 - 2009-02-07,10
2009-02-08 - 2009-02-14,10
2009-02-15 - 2009-02-21,10
2009-02-22 - 2009-02-28,10
2009-03-01 - 2009-03-07,10
2009-03-08 - 2009-03-14,11
2009-03-15 - 2009-03-21,10
2009-03-22 - 2009-03-28,10
2009-03-29 - 2009-04-04,7
2009-04-05 - 2009-04-11,11
2009-04-12 - 2009-04-18,11
2009-04-19 - 2009-04-25,10
2009-04-26 - 2009-05-02,10
2009-05-03 - 2009-05-09,10
2009-05-10 - 2009-05-16,11
2009-05-17 - 2009-05-23,10
2009-05-24 - 2009-05-30,10
2009-05-31 - 2009-06-06,10
2009-06-07 - 2009-06-13,9
2009-06-14 - 2009-06-20,9
2009-06-21 - 2009-06-27,8
2009-06-28 - 2009-07-04,8
2009-07-05 - 2009-07-11,7
2009-07-12 - 2009-07-18,8
2009-07-19 - 2009-07-25,7
2009-07-26 - 2009-08-01,8
2009-08-02 - 2009-08-08,8
2009-08-09 - 2009-08-15,7
2009-08-16 - 2009-08-22,7
2009-08-23 - 2009-08-29,8
2009-08-30 - 2009-09-05,8
2009-09-06 - 2009-09-12,7
