YouTube Search interest: daft punk
United States; Jan 2008 - Jul 2015

Interest over time
Week,daft punk
2008-01-06 - 2008-01-12,18
2008-01-13 - 2008-01-19,17
2008-01-20 - 2008-01-26,16
2008-01-27 - 2008-02-02,18
2008-02-03 - 2008-02-09,15
2008-02-10 - 2008-02-16,31
2008-02-17 - 2008-02-23,20
2008-02-24 - 2008-03-01,20
2008-03-02 - 2008-03-08,19
2008-03-09 - 2008-03-15,16
2008-03-16 - 2008-03-22,15
2008-03-23 - 2008-03-29,15
2008-03-30 - 2008-04-05,17
2008-04-06 - 2008-04-12,15
2008-04-13 - 2008-04-19,14
2008-04-20 - 2008-04-26,15
2008-04-27 - 2008-05-03,14
2008-05-04 - 2008-05-10,15
2008-05-11 - 2008-05-17,15
2008-05-18 - 2008-05-24,16
2008-05-25 - 2008-05-31,15
2008-06-01 - 2008-06-07,14
2008-06-08 - 2008-06-14,16
2008-06-15 - 2008-06-21,16
2008-06-22 - 2008-06-28,13
2008-06-29 - 2008-07-05,14
2008-07-06 - 2008-07-12,15
2008-07-13 - 2008-07-19,13
2008-07-20 - 2008-07-26,12
2008-07-27 - 2008-08-02,14
2008-08-03 - 2008-08-09,13
2008-08-10 - 2008-08-16,12
2008-08-17 - 2008-08-23,13
2008-08-24 - 2008-08-30,13
2008-08-31 - 2008-09-06,13
2008-09-07 - 2008-09-13,14
2008-09-14 - 2008-09-20,13
2008-09-21 - 2008-09-27,14
2008-09-28 - 2008-10-04,13
2008-10-05 - 2008-10-11,14
2008-10-12 - 2008-10-18,13
2008-10-19 - 2008-10-25,13
2008-10-26 - 2008-11-01,13
2008-11-02 - 2008-11-08,12
2008-11-09 - 2008-11-15,12
2008-11-16 - 2008-11-22,12
2008-11-23 - 2008-11-29,12
2008-11-30 - 2008-12-06,12
2008-12-07 - 2008-12-13,14
2008-12-14 - 2008-12-20,14
2008-12-21 - 2008-12-27,12
2008-12-28 - 2009-01-03,12
2009-01-04 - 2009-01-10,12
2009-01-11 - 2009-01-17,13
2009-01-18 - 2009-01-24,13
2009-01-25 - 2009-01-31,12
2009-02-01 - 2009-02-07,12
2009-02-08 - 2009-02-14,13
2009-02-15 - 2009-02-21,12
2009-02-22 - 2009-02-28,11
2009-03-01 - 2009-03-07,13
2009-03-08 - 2009-03-14,13
2009-03-15 - 2009-03-21,12
2009-03-22 - 2009-03-28,13
2009-03-29 - 2009-04-04,11
2009-04-05 - 2009-04-11,13
2009-04-12 - 2009-04-18,11
2009-04-19 - 2009-04-25,12
2009-04-26 - 2009-05-02,10
2009-05-03 - 2009-05-09,12
2009-05-10 - 2009-05-16,11
2009-05-17 - 2009-05-23,11
2009-05-24 - 2009-05-30,12
2009-05-31 - 2009-06-06,11
2009-06-07 - 2009-06-13,10
2009-06-14 - 2009-06-20,10
2009-06-21 - 2009-06-27,11
2009-06-28 - 2009-07-04,10
2009-07-05 - 2009-07-11,9
2009-07-12 - 2009-07-18,9
2009-07-19 - 2009-07-25,10
2009-07-26 - 2009-08-01,11
2009-08-02 - 2009-08-08,11
2009-08-09 - 2009-08-15,10
2009-08-16 - 2009-08-22,10
2009-08-23 - 2009-08-29,11
2009-08-30 - 2009-09-05,10
2009-09-06 - 2009-09-12,11
2009-09-13 - 2009-09-19,12
2009-09-20 - 2009-09-26,11
2009-09-27 - 2009-10-03,11
2009-10-04 - 2009-10-10,12
2009-10-11 - 2009-10-17,12
2009-10-18 - 2009-10-24,16
2009-10-25 - 2009-10-31,16
2009-11-01 - 2009-11-07,16
2009-11-08 - 2009-11-14,14
2009-11-15 - 2009-11-21,13
2009-11-22 - 2009-11-28,14
2009-11-29 - 2009-12-05,14
2009-12-06 - 2009-12-12,13
2009-12-13 - 2009-12-19,13
2009-12-20 - 2009-12-26,12
2009-12-27 - 2010-01-02,13
2010-01-03 - 2010-01-09,11
2010-01-10 - 2010-01-16,13
2010-01-17 - 2010-01-23,12
2010-01-24 - 2010-01-30,13
2010-01-31 - 2010-02-06,12
2010-02-07 - 2010-02-13,13
2010-02-14 - 2010-02-20,12
2010-02-21 - 2010-02-27,11
2010-02-28 - 2010-03-06,12
2010-03-07 - 2010-03-13,12
2010-03-14 - 2010-03-20,11
2010-03-21 - 2010-03-27,12
2010-03-28 - 2010-04-03,11
2010-04-04 - 2010-04-10,11
2010-04-11 - 2010-04-17,11
2010-04-18 - 2010-04-24,11
2010-04-25 - 2010-05-01,11
2010-05-02 - 2010-05-08,13
2010-05-09 - 2010-05-15,13
2010-05-16 - 2010-05-22,13
2010-05-23 - 2010-05-29,12
2010-05-30 - 2010-06-05,12
2010-06-06 - 2010-06-12,12
2010-06-13 - 2010-06-19,11
2010-06-20 - 2010-06-26,12
2010-06-27 - 2010-07-03,11
2010-07-04 - 2010-07-10,11
2010-07-11 - 2010-07-17,11
2010-07-18 - 2010-07-24,11
2010-07-25 - 2010-07-31,13
2010-08-01 - 2010-08-07,11
2010-08-08 - 2010-08-14,11
2010-08-15 - 2010-08-21,11
2010-08-22 - 2010-08-28,11
2010-08-29 - 2010-09-04,11
2010-09-05 - 2010-09-11,11
2010-09-12 - 2010-09-18,11
2010-09-19 - 2010-09-25,10
2010-09-26 - 2010-10-02,12
2010-10-03 - 2010-10-09,11
2010-10-10 - 2010-10-16,13
2010-10-17 - 2010-10-23,14
2010-10-24 - 2010-10-30,17
2010-10-31 - 2010-11-06,16
2010-11-07 - 2010-11-13,16
2010-11-14 - 2010-11-20,16
2010-11-21 - 2010-11-27,15
2010-11-28 - 2010-12-04,17
2010-12-05 - 2010-12-11,26
2010-12-12 - 2010-12-18,29
2010-12-19 - 2010-12-25,34
2010-12-26 - 2011-01-01,29
2011-01-02 - 2011-01-08,26
2011-01-09 - 2011-01-15,23
2011-01-16 - 2011-01-22,20
2011-01-23 - 2011-01-29,18
2011-01-30 - 2011-02-05,18
2011-02-06 - 2011-02-12,17
2011-02-13 - 2011-02-19,17
2011-02-20 - 2011-02-26,15
2011-02-27 - 2011-03-05,16
2011-03-06 - 2011-03-12,16
2011-03-13 - 2011-03-19,14
2011-03-20 - 2011-03-26,14
2011-03-27 - 2011-04-02,14
2011-04-03 - 2011-04-09,17
2011-04-10 - 2011-04-16,17
2011-04-17 - 2011-04-23,16
2011-04-24 - 2011-04-30,16
2011-05-01 - 2011-05-07,14
2011-05-08 - 2011-05-14,14
2011-05-15 - 2011-05-21,14
2011-05-22 - 2011-05-28,15
2011-05-29 - 2011-06-04,13
2011-06-05 - 2011-06-11,12
2011-06-12 - 2011-06-18,12
2011-06-19 - 2011-06-25,12
2011-06-26 - 2011-07-02,12
2011-07-03 - 2011-07-09,11
2011-07-10 - 2011-07-16,12
2011-07-17 - 2011-07-23,12
2011-07-24 - 2011-07-30,12
2011-07-31 - 2011-08-06,12
2011-08-07 - 2011-08-13,12
2011-08-14 - 2011-08-20,12
2011-08-21 - 2011-08-27,12
2011-08-28 - 2011-09-03,12
2011-09-04 - 2011-09-10,13
2011-09-11 - 2011-09-17,12
2011-09-18 - 2011-09-24,13
2011-09-25 - 2011-10-01,12
2011-10-02 - 2011-10-08,13
2011-10-09 - 2011-10-15,13
2011-10-16 - 2011-10-22,13
2011-10-23 - 2011-10-29,13
2011-10-30 - 2011-11-05,12
2011-11-06 - 2011-11-12,13
2011-11-13 - 2011-11-19,12
2011-11-20 - 2011-11-26,11
2011-11-27 - 2011-12-03,12
2011-12-04 - 2011-12-10,11
2011-12-11 - 2011-12-17,12
2011-12-18 - 2011-12-24,11
2011-12-25 - 2011-12-31,11
2012-01-01 - 2012-01-07,12
2012-01-08 - 2012-01-14,12
2012-01-15 - 2012-01-21,12
2012-01-22 - 2012-01-28,11
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,11
2012-02-12 - 2012-02-18,11
2012-02-19 - 2012-02-25,12
2012-02-26 - 2012-03-03,12
2012-03-04 - 2012-03-10,11
2012-03-11 - 2012-03-17,11
2012-03-18 - 2012-03-24,11
2012-03-25 - 2012-03-31,9
2012-04-01 - 2012-04-07,11
2012-04-08 - 2012-04-14,10
2012-04-15 - 2012-04-21,10
2012-04-22 - 2012-04-28,9
2012-04-29 - 2012-05-05,10
2012-05-06 - 2012-05-12,10
2012-05-13 - 2012-05-19,10
2012-05-20 - 2012-05-26,10
2012-05-27 - 2012-06-02,11
2012-06-03 - 2012-06-09,9
2012-06-10 - 2012-06-16,10
2012-06-17 - 2012-06-23,9
2012-06-24 - 2012-06-30,10
2012-07-01 - 2012-07-07,9
2012-07-08 - 2012-07-14,9
2012-07-15 - 2012-07-21,9
2012-07-22 - 2012-07-28,9
2012-07-29 - 2012-08-04,9
2012-08-05 - 2012-08-11,9
2012-08-12 - 2012-08-18,8
2012-08-19 - 2012-08-25,8
2012-08-26 - 2012-09-01,9
2012-09-02 - 2012-09-08,9
2012-09-09 - 2012-09-15,8
2012-09-16 - 2012-09-22,8
2012-09-23 - 2012-09-29,8
2012-09-30 - 2012-10-06,9
2012-10-07 - 2012-10-13,8
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,8
2012-10-28 - 2012-11-03,8
2012-11-04 - 2012-11-10,8
2012-11-11 - 2012-11-17,8
2012-11-18 - 2012-11-24,8
2012-11-25 - 2012-12-01,8
2012-12-02 - 2012-12-08,8
2012-12-09 - 2012-12-15,8
2012-12-16 - 2012-12-22,8
2012-12-23 - 2012-12-29,7
2012-12-30 - 2013-01-05,8
2013-01-06 - 2013-01-12,9
2013-01-13 - 2013-01-19,8
2013-01-20 - 2013-01-26,8
2013-01-27 - 2013-02-02,9
2013-02-03 - 2013-02-09,8
2013-02-10 - 2013-02-16,8
2013-02-17 - 2013-02-23,8
2013-02-24 - 2013-03-02,9
2013-03-03 - 2013-03-09,13
2013-03-10 - 2013-03-16,10
2013-03-17 - 2013-03-23,10
2013-03-24 - 2013-03-30,15
2013-03-31 - 2013-04-06,15
2013-04-07 - 2013-04-13,18
2013-04-14 - 2013-04-20,74
2013-04-21 - 2013-04-27,70
2013-04-28 - 2013-05-04,55
2013-05-05 - 2013-05-11,47
2013-05-12 - 2013-05-18,90
2013-05-19 - 2013-05-25,96
2013-05-26 - 2013-06-01,95
2013-06-02 - 2013-06-08,83
2013-06-09 - 2013-06-15,76
2013-06-16 - 2013-06-22,73
2013-06-23 - 2013-06-29,72
2013-06-30 - 2013-07-06,66
2013-07-07 - 2013-07-13,60
2013-07-14 - 2013-07-20,53
2013-07-21 - 2013-07-27,44
2013-07-28 - 2013-08-03,44
2013-08-04 - 2013-08-10,53
2013-08-11 - 2013-08-17,46
2013-08-18 - 2013-08-24,39
2013-08-25 - 2013-08-31,50
2013-09-01 - 2013-09-07,46
2013-09-08 - 2013-09-14,37
2013-09-15 - 2013-09-21,35
2013-09-22 - 2013-09-28,30
2013-09-29 - 2013-10-05,26
2013-10-06 - 2013-10-12,24
2013-10-13 - 2013-10-19,23
2013-10-20 - 2013-10-26,20
2013-10-27 - 2013-11-02,21
2013-11-03 - 2013-11-09,39
2013-11-10 - 2013-11-16,32
2013-11-17 - 2013-11-23,25
2013-11-24 - 2013-11-30,24
2013-12-01 - 2013-12-07,28
2013-12-08 - 2013-12-14,32
2013-12-15 - 2013-12-21,28
2013-12-22 - 2013-12-28,27
2013-12-29 - 2014-01-04,29
2014-01-05 - 2014-01-11,24
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,23
2014-01-26 - 2014-02-01,100
2014-02-02 - 2014-02-08,41
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,30
2014-02-23 - 2014-03-01,29
2014-03-02 - 2014-03-08,27
2014-03-09 - 2014-03-15,27
2014-03-16 - 2014-03-22,24
2014-03-23 - 2014-03-29,21
2014-03-30 - 2014-04-05,21
2014-04-06 - 2014-04-12,21
2014-04-13 - 2014-04-19,19
2014-04-20 - 2014-04-26,19
2014-04-27 - 2014-05-03,17
2014-05-04 - 2014-05-10,18
2014-05-11 - 2014-05-17,16
