YouTube Search interest: gwen stefani
United States; Jan 2008 - Jul 2015

Interest over time
Week,gwen stefani
2008-01-06 - 2008-01-12,83
2008-01-13 - 2008-01-19,93
2008-01-20 - 2008-01-26,93
2008-01-27 - 2008-02-02,92
2008-02-03 - 2008-02-09,91
2008-02-10 - 2008-02-16,100
2008-02-17 - 2008-02-23,92
2008-02-24 - 2008-03-01,79
2008-03-02 - 2008-03-08,83
2008-03-09 - 2008-03-15,77
2008-03-16 - 2008-03-22,73
2008-03-23 - 2008-03-29,68
2008-03-30 - 2008-04-05,74
2008-04-06 - 2008-04-12,60
2008-04-13 - 2008-04-19,94
2008-04-20 - 2008-04-26,72
2008-04-27 - 2008-05-03,62
2008-05-04 - 2008-05-10,62
2008-05-11 - 2008-05-17,74
2008-05-18 - 2008-05-24,56
2008-05-25 - 2008-05-31,58
2008-06-01 - 2008-06-07,70
2008-06-08 - 2008-06-14,78
2008-06-15 - 2008-06-21,78
2008-06-22 - 2008-06-28,88
2008-06-29 - 2008-07-05,77
2008-07-06 - 2008-07-12,79
2008-07-13 - 2008-07-19,74
2008-07-20 - 2008-07-26,75
2008-07-27 - 2008-08-02,87
2008-08-03 - 2008-08-09,79
2008-08-10 - 2008-08-16,84
2008-08-17 - 2008-08-23,90
2008-08-24 - 2008-08-30,87
2008-08-31 - 2008-09-06,85
2008-09-07 - 2008-09-13,74
2008-09-14 - 2008-09-20,84
2008-09-21 - 2008-09-27,88
2008-09-28 - 2008-10-04,80
2008-10-05 - 2008-10-11,89
2008-10-12 - 2008-10-18,95
2008-10-19 - 2008-10-25,88
2008-10-26 - 2008-11-01,83
2008-11-02 - 2008-11-08,83
2008-11-09 - 2008-11-15,73
2008-11-16 - 2008-11-22,85
2008-11-23 - 2008-11-29,88
2008-11-30 - 2008-12-06,73
2008-12-07 - 2008-12-13,79
2008-12-14 - 2008-12-20,76
2008-12-21 - 2008-12-27,74
2008-12-28 - 2009-01-03,80
2009-01-04 - 2009-01-10,74
2009-01-11 - 2009-01-17,83
2009-01-18 - 2009-01-24,81
2009-01-25 - 2009-01-31,78
2009-02-01 - 2009-02-07,72
2009-02-08 - 2009-02-14,69
2009-02-15 - 2009-02-21,79
2009-02-22 - 2009-02-28,78
2009-03-01 - 2009-03-07,77
2009-03-08 - 2009-03-14,82
2009-03-15 - 2009-03-21,70
2009-03-22 - 2009-03-28,75
2009-03-29 - 2009-04-04,76
2009-04-05 - 2009-04-11,83
2009-04-12 - 2009-04-18,62
2009-04-19 - 2009-04-25,70
2009-04-26 - 2009-05-02,67
2009-05-03 - 2009-05-09,82
