YouTube Search interest: kellie pickler
United States; Jan 2008 - Jul 2015

Interest over time
Week,kellie pickler
2008-01-06 - 2008-01-12,16
2008-01-13 - 2008-01-19,17
2008-01-20 - 2008-01-26,24
2008-01-27 - 2008-02-02,26
2008-02-03 - 2008-02-09,22
2008-02-10 - 2008-02-16,24
2008-02-17 - 2008-02-23,22
2008-02-24 - 2008-03-01,18
2008-03-02 - 2008-03-08,15
2008-03-09 - 2008-03-15,14
2008-03-16 - 2008-03-22,32
2008-03-23 - 2008-03-29,21
2008-03-30 - 2008-04-05,16
2008-04-06 - 2008-04-12,15
2008-04-13 - 2008-04-19,21
2008-04-20 - 2008-04-26,17
2008-04-27 - 2008-05-03,14
2008-05-04 - 2008-05-10,14
2008-05-11 - 2008-05-17,12
2008-05-18 - 2008-05-24,21
2008-05-25 - 2008-05-31,17
2008-06-01 - 2008-06-07,11
2008-06-08 - 2008-06-14,12
2008-06-15 - 2008-06-21,12
2008-06-22 - 2008-06-28,14
2008-06-29 - 2008-07-05,14
2008-07-06 - 2008-07-12,13
2008-07-13 - 2008-07-19,13
2008-07-20 - 2008-07-26,13
2008-07-27 - 2008-08-02,12
2008-08-03 - 2008-08-09,15
2008-08-10 - 2008-08-16,16
2008-08-17 - 2008-08-23,15
2008-08-24 - 2008-08-30,16
2008-08-31 - 2008-09-06,19
2008-09-07 - 2008-09-13,18
2008-09-14 - 2008-09-20,15
2008-09-21 - 2008-09-27,17
2008-09-28 - 2008-10-04,23
2008-10-05 - 2008-10-11,22
2008-10-12 - 2008-10-18,21
2008-10-19 - 2008-10-25,19
2008-10-26 - 2008-11-01,16
2008-11-02 - 2008-11-08,20
2008-11-09 - 2008-11-15,47
2008-11-16 - 2008-11-22,31
2008-11-23 - 2008-11-29,23
2008-11-30 - 2008-12-06,21
2008-12-07 - 2008-12-13,22
2008-12-14 - 2008-12-20,20
2008-12-21 - 2008-12-27,15
2008-12-28 - 2009-01-03,24
2009-01-04 - 2009-01-10,22
2009-01-11 - 2009-01-17,22
2009-01-18 - 2009-01-24,22
2009-01-25 - 2009-01-31,21
2009-02-01 - 2009-02-07,19
2009-02-08 - 2009-02-14,22
