YouTube Search interest: boys like girls
United States; Jan 2008 - Jul 2015

Interest over time
Week,boys like girls
2008-01-06 - 2008-01-12,100
2008-01-13 - 2008-01-19,93
2008-01-20 - 2008-01-26,89
2008-01-27 - 2008-02-02,79
2008-02-03 - 2008-02-09,83
2008-02-10 - 2008-02-16,80
2008-02-17 - 2008-02-23,76
2008-02-24 - 2008-03-01,62
2008-03-02 - 2008-03-08,68
2008-03-09 - 2008-03-15,70
2008-03-16 - 2008-03-22,73
2008-03-23 - 2008-03-29,65
2008-03-30 - 2008-04-05,73
2008-04-06 - 2008-04-12,63
2008-04-13 - 2008-04-19,57
2008-04-20 - 2008-04-26,55
2008-04-27 - 2008-05-03,57
2008-05-04 - 2008-05-10,52
2008-05-11 - 2008-05-17,56
2008-05-18 - 2008-05-24,54
2008-05-25 - 2008-05-31,48
2008-06-01 - 2008-06-07,51
2008-06-08 - 2008-06-14,52
2008-06-15 - 2008-06-21,67
2008-06-22 - 2008-06-28,79
2008-06-29 - 2008-07-05,77
2008-07-06 - 2008-07-12,78
2008-07-13 - 2008-07-19,72
2008-07-20 - 2008-07-26,64
2008-07-27 - 2008-08-02,70
2008-08-03 - 2008-08-09,56
2008-08-10 - 2008-08-16,65
2008-08-17 - 2008-08-23,69
2008-08-24 - 2008-08-30,62
2008-08-31 - 2008-09-06,60
2008-09-07 - 2008-09-13,61
2008-09-14 - 2008-09-20,59
2008-09-21 - 2008-09-27,53
2008-09-28 - 2008-10-04,47
2008-10-05 - 2008-10-11,52
2008-10-12 - 2008-10-18,50
2008-10-19 - 2008-10-25,43
2008-10-26 - 2008-11-01,38
2008-11-02 - 2008-11-08,44
2008-11-09 - 2008-11-15,37
2008-11-16 - 2008-11-22,39
2008-11-23 - 2008-11-29,39
2008-11-30 - 2008-12-06,38
2008-12-07 - 2008-12-13,41
2008-12-14 - 2008-12-20,39
2008-12-21 - 2008-12-27,35
2008-12-28 - 2009-01-03,35
2009-01-04 - 2009-01-10,36
2009-01-11 - 2009-01-17,38
2009-01-18 - 2009-01-24,32
2009-01-25 - 2009-01-31,34
2009-02-01 - 2009-02-07,30
2009-02-08 - 2009-02-14,31
2009-02-15 - 2009-02-21,29
2009-02-22 - 2009-02-28,31
2009-03-01 - 2009-03-07,27
2009-03-08 - 2009-03-14,30
2009-03-15 - 2009-03-21,26
2009-03-22 - 2009-03-28,33
2009-03-29 - 2009-04-04,30
2009-04-05 - 2009-04-11,26
2009-04-12 - 2009-04-18,31
2009-04-19 - 2009-04-25,31
2009-04-26 - 2009-05-02,26
2009-05-03 - 2009-05-09,29
2009-05-10 - 2009-05-16,26
2009-05-17 - 2009-05-23,25
2009-05-24 - 2009-05-30,28
2009-05-31 - 2009-06-06,26
2009-06-07 - 2009-06-13,25
2009-06-14 - 2009-06-20,23
2009-06-21 - 2009-06-27,33
2009-06-28 - 2009-07-04,51
2009-07-05 - 2009-07-11,48
2009-07-12 - 2009-07-18,55
2009-07-19 - 2009-07-25,56
2009-07-26 - 2009-08-01,65
2009-08-02 - 2009-08-08,71
2009-08-09 - 2009-08-15,67
2009-08-16 - 2009-08-22,76
2009-08-23 - 2009-08-29,70
2009-08-30 - 2009-09-05,81
2009-09-06 - 2009-09-12,90
2009-09-13 - 2009-09-19,80
2009-09-20 - 2009-09-26,75
2009-09-27 - 2009-10-03,60
2009-10-04 - 2009-10-10,63
2009-10-11 - 2009-10-17,61
2009-10-18 - 2009-10-24,61
2009-10-25 - 2009-10-31,61
2009-11-01 - 2009-11-07,63
2009-11-08 - 2009-11-14,63
2009-11-15 - 2009-11-21,66
2009-11-22 - 2009-11-28,77
2009-11-29 - 2009-12-05,71
2009-12-06 - 2009-12-12,76
2009-12-13 - 2009-12-19,73
2009-12-20 - 2009-12-26,62
2009-12-27 - 2010-01-02,58
