YouTube Search interest: whitney houston
United States; Jan 2008 - Jul 2015

Interest over time
Week,whitney houston
2012-07-08 - 2012-07-14,3
2012-07-15 - 2012-07-21,3
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,3
2012-08-05 - 2012-08-11,3
2012-08-12 - 2012-08-18,3
2012-08-19 - 2012-08-25,4
2012-08-26 - 2012-09-01,3
2012-09-02 - 2012-09-08,3
2012-09-09 - 2012-09-15,3
2012-09-16 - 2012-09-22,3
2012-09-23 - 2012-09-29,3
2012-09-30 - 2012-10-06,3
2012-10-07 - 2012-10-13,3
2012-10-14 - 2012-10-20,3
2012-10-21 - 2012-10-27,3
2012-10-28 - 2012-11-03,3
2012-11-04 - 2012-11-10,3
2012-11-11 - 2012-11-17,3
2012-11-18 - 2012-11-24,3
2012-11-25 - 2012-12-01,3
2012-12-02 - 2012-12-08,3
2012-12-09 - 2012-12-15,3
2012-12-16 - 2012-12-22,3
2012-12-23 - 2012-12-29,3
2012-12-30 - 2013-01-05,2
2013-01-06 - 2013-01-12,2
2013-01-13 - 2013-01-19,2
2013-01-20 - 2013-01-26,3
2013-01-27 - 2013-02-02,3
2013-02-03 - 2013-02-09,3
2013-02-10 - 2013-02-16,3
2013-02-17 - 2013-02-23,2
2013-02-24 - 2013-03-02,3
2013-03-03 - 2013-03-09,3
2013-03-10 - 2013-03-16,2
2013-03-17 - 2013-03-23,2
2013-03-24 - 2013-03-30,2
2013-03-31 - 2013-04-06,2
2013-04-07 - 2013-04-13,2
2013-04-14 - 2013-04-20,3
2013-04-21 - 2013-04-27,2
2013-04-28 - 2013-05-04,2
2013-05-05 - 2013-05-11,2
2013-05-12 - 2013-05-18,2
2013-05-19 - 2013-05-25,2
2013-05-26 - 2013-06-01,2
2013-06-02 - 2013-06-08,2
2013-06-09 - 2013-06-15,2
2013-06-16 - 2013-06-22,2
2013-06-23 - 2013-06-29,2
2013-06-30 - 2013-07-06,2
2013-07-07 - 2013-07-13,2
2013-07-14 - 2013-07-20,2
2013-07-21 - 2013-07-27,2
2013-07-28 - 2013-08-03,2
2013-08-04 - 2013-08-10,2
2013-08-11 - 2013-08-17,2
2013-08-18 - 2013-08-24,2
2013-08-25 - 2013-08-31,2
2013-09-01 - 2013-09-07,2
2013-09-08 - 2013-09-14,2
2013-09-15 - 2013-09-21,2
2013-09-22 - 2013-09-28,2
2013-09-29 - 2013-10-05,2
2013-10-06 - 2013-10-12,2
2013-10-13 - 2013-10-19,2
2013-10-20 - 2013-10-26,2
2013-10-27 - 2013-11-02,2
2013-11-03 - 2013-11-09,2
2013-11-10 - 2013-11-16,2
2013-11-17 - 2013-11-23,2
2013-11-24 - 2013-11-30,2
2013-12-01 - 2013-12-07,2
2013-12-08 - 2013-12-14,2
2013-12-15 - 2013-12-21,2
2013-12-22 - 2013-12-28,2
2013-12-29 - 2014-01-04,2
2014-01-05 - 2014-01-11,2
2014-01-12 - 2014-01-18,2
2014-01-19 - 2014-01-25,2
2014-01-26 - 2014-02-01,2
2014-02-02 - 2014-02-08,2
2014-02-09 - 2014-02-15,2
2014-02-16 - 2014-02-22,2
2014-02-23 - 2014-03-01,2
2014-03-02 - 2014-03-08,2
2014-03-09 - 2014-03-15,2
2014-03-16 - 2014-03-22,2
2014-03-23 - 2014-03-29,2
2014-03-30 - 2014-04-05,2
2014-04-06 - 2014-04-12,2
2014-04-13 - 2014-04-19,2
2014-04-20 - 2014-04-26,2
2014-04-27 - 2014-05-03,2
2014-05-04 - 2014-05-10,2
2014-05-11 - 2014-05-17,2
2014-05-18 - 2014-05-24,2
2014-05-25 - 2014-05-31,2
2014-06-01 - 2014-06-07,2
2014-06-08 - 2014-06-14,2
2014-06-15 - 2014-06-21,2
2014-06-22 - 2014-06-28,2
2014-06-29 - 2014-07-05,2
2014-07-06 - 2014-07-12,2
2014-07-13 - 2014-07-19,2
2014-07-20 - 2014-07-26,2
2014-07-27 - 2014-08-02,2
2014-08-03 - 2014-08-09,2
2014-08-10 - 2014-08-16,2
2014-08-17 - 2014-08-23,2
2014-08-24 - 2014-08-30,2
2014-08-31 - 2014-09-06,2
2014-09-07 - 2014-09-13,2
2014-09-14 - 2014-09-20,2
2014-09-21 - 2014-09-27,2
2014-09-28 - 2014-10-04,2
2014-10-05 - 2014-10-11,2
2014-10-12 - 2014-10-18,2
2014-10-19 - 2014-10-25,2
2014-10-26 - 2014-11-01,2
2014-11-02 - 2014-11-08,2
2014-11-09 - 2014-11-15,2
2014-11-16 - 2014-11-22,2
2014-11-23 - 2014-11-29,2
2014-11-30 - 2014-12-06,2
2014-12-07 - 2014-12-13,2
2014-12-14 - 2014-12-20,2
2014-12-21 - 2014-12-27,2
2014-12-28 - 2015-01-03,1
2015-01-04 - 2015-01-10,2
2015-01-11 - 2015-01-17,2
2015-01-18 - 2015-01-24,3
2015-01-25 - 2015-01-31,2
2015-02-01 - 2015-02-07,3
2015-02-08 - 2015-02-14,3
2015-02-15 - 2015-02-21,2
2015-02-22 - 2015-02-28,2
2015-03-01 - 2015-03-07,2
2015-03-08 - 2015-03-14,2
2015-03-15 - 2015-03-21,2
2015-03-22 - 2015-03-28,2
2015-03-29 - 2015-04-04,2
2015-04-05 - 2015-04-11,2
2015-04-12 - 2015-04-18,2
2015-04-19 - 2015-04-25,2
2015-04-26 - 2015-05-02,2
2015-05-03 - 2015-05-09,2
2015-05-10 - 2015-05-16,2
2015-05-17 - 2015-05-23,2
2015-05-24 - 2015-05-30,2
2015-05-31 - 2015-06-06,2
2015-06-07 - 2015-06-13,1
2015-06-14 - 2015-06-20,1
2015-06-21 - 2015-06-27,2
2015-06-28 - 2015-07-04,2
2015-07-05 - 2015-07-11,2
2015-07-12 - 2015-07-18,2
2015-07-19 - 2015-07-25,1
2015-07-26 - 2015-08-01,3


Top sub-regions for whitney houston
Sub-region,whitney houston
Mississippi,100
Georgia,93
Louisiana,90
South Carolina,86
Alabama,85
District of Columbia,78
Maryland,77
North Carolina,77
New York,75
Florida,73
Tennessee,67
Delaware,66
New Jersey,64
Hawaii,63
Arkansas,59
Pennsylvania,58
Michigan,57
Ohio,55
Missouri,55
Illinois,55
Massachusetts,55
Texas,54
Virginia,53
Kentucky,52
Connecticut,52
Rhode Island,50
Indiana,50
Oklahoma,49
West Virginia,49
California,49
Nevada,48
Wisconsin,44
Arizona,42
Minnesota,40
Iowa,40
Nebraska,39
Washington,39
Colorado,39
Kansas,39
New Mexico,39
New Hampshire,37
Maine,36
Alaska,36
North Dakota,35
Utah,34
South Dakota,34
Vermont,33
Idaho,32
Montana,30
Oregon,30
Wyoming,28


Top metros for whitney houston
Metro,whitney houston
Albany GA,100
Montgomery (Selma) AL,87
Jackson MS,80
Memphis TN,77
Augusta GA,75
Columbia SC,74
Florence-Myrtle Beach SC,74
Charleston SC,72
Atlanta GA,71
Columbus GA,70
Baton Rouge LA,69
Tallahassee FL-Thomasville GA,69
Shreveport LA,67
Macon GA,67
Norfolk-Portsmouth-Newport News VA,66
Birmingham AL,66
Savannah GA,63
Lafayette LA,63
Raleigh-Durham (Fayetteville) NC,62
New Orleans LA,62
Greensboro-High Point-Winston Salem NC,61
New York NY,60
Miami-Ft. Lauderdale FL,60
Baltimore MD,58
Charlotte NC,57
Mobile AL-Pensacola (Ft. Walton Beach) FL,57
Jacksonville FL,57
Richmond-Petersburg VA,56
Huntsville-Decatur (Florence) AL,55
Honolulu HI,55
Gainesville FL,53
Nashville TN,51
Greenville-New Bern-Washington NC,51
West Palm Beach-Ft. Pierce FL,51
Detroit MI,49
Philadelphia PA,49
Little Rock-Pine Bluff AR,48
Orlando-Daytona Beach-Melbourne FL,48
Houston TX,46
Dayton OH,45
St. Louis MO,45
Washington DC (Hagerstown MD),44
Cleveland-Akron (Canton) OH,44
Roanoke-Lynchburg VA,44
Indianapolis IN,43
Greenville-Spartanburg SC-Asheville NC-Anderson SC,43
Tampa-St. Petersburg (Sarasota) FL,43
Louisville KY,42
Hartford & New Haven CT,42
Waco-Temple-Bryan TX,42
Chattanooga TN,42
Cincinnati OH,41
Los Angeles CA,41
Toledo OH,41
Pittsburgh PA,41
Springfield-Holyoke MA,41
Milwaukee WI,41
Chicago IL,41
Knoxville TN,41
Dallas-Ft. Worth TX,40
Boston MA-Manchester NH,40
Las Vegas NV,40
Champaign & Springfield-Decatur IL,40
Charleston-Huntington WV,39
Providence RI-New Bedford MA,39
Rochester NY,39
South Bend-Elkhart IN,39
Buffalo NY,39
Ft. Myers-Naples FL,38
Albany-Schenectady-Troy NY,38
Flint-Saginaw-Bay City MI,37
Lexington KY,37
Columbus OH,36
Oklahoma City OK,36
San Diego CA,36
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,36
Kansas City MO,35
Grand Rapids-Kalamazoo-Battle Creek MI,35
Austin TX,34
Syracuse NY,34
Seattle-Tacoma WA,33
Albuquerque-Santa Fe NM,33
San Francisco-Oakland-San Jose CA,33
Tucson (Sierra Vista) AZ,33
Harrisburg-Lancaster-Lebanon-York PA,32
Omaha NE,32
Minneapolis-St. Paul MN,32
Tulsa OK,31
San Antonio TX,31
Madison WI,31
Sacramento-Stockton-Modesto CA,30
Wilkes Barre-Scranton PA,30
Phoenix AZ,30
Fresno-Visalia CA,30
Colorado Springs-Pueblo CO,29
Denver CO,29
Wichita-Hutchinson KS,29
Portland-Auburn ME,27
Salt Lake City UT,27
Harlingen-Weslaco-Brownsville-McAllen TX,25
Portland OR,24
Binghamton NY,0
Ft. Wayne IN,0
Erie PA,0
Burlington VT-Plattsburgh NY,0
Utica NY,0
Tri-Cities TN-VA,0
Youngstown OH,0
Bangor ME,0
Traverse City-Cadillac MI,0
Watertown NY,0
Wilmington NC,0
Lansing MI,0
Presque Isle ME,0
Marquette MI,0
Wheeling WV-Steubenville OH,0
Lima OH,0
Bluefield-Beckley-Oak Hill WV,0
Elmira NY,0
Harrisonburg VA,0
Johnstown-Altoona PA,0
Salisbury MD,0
Terre Haute IN,0
Lafayette IN,0
Alpena MI,0
Charlottesville VA,0
Zanesville OH,0
Parkersburg WV,0
Clarksburg-Weston WV,0
Corpus Christi TX,0
Joplin MO-Pittsburg KS,0
Columbia-Jefferson City MO,0
Topeka KS,0
Dothan AL,0
Rockford IL,0
Rochester MN-Mason City IA-Austin MN,0
Springfield MO,0
Sioux City IA,0
Victoria TX,0
Wichita Falls TX & Lawton OK,0
Monroe LA-El Dorado AR,0
Ottumwa IA-Kirksville MO,0
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,0
Odessa-Midland TX,0
Amarillo TX,0
St. Joseph MO,0
Jackson TN,0
Lake Charles LA,0
Alexandria LA,0
Greenwood-Greenville MS,0
Evansville IN,0
Lubbock TX,0
Panama City FL,0
Sherman TX-Ada OK,0
Green Bay-Appleton WI,0
San Angelo TX,0
Abilene-Sweetwater TX,0
Ft. Smith-Fayetteville-Springdale-Rogers AR,0
Columbus-Tupelo-West Point MS,0
Peoria-Bloomington IL,0
Duluth MN-Superior WI,0
Des Moines-Ames IA,0
Davenport IA-Rock Island-Moline IL,0
Minot-Bismarck-Dickinson(Williston) ND,0
Beaumont-Port Arthur TX,0
La Crosse-Eau Claire WI,0
Wausau-Rhinelander WI,0
Tyler-Longview(Lufkin & Nacogdoches) TX,0
Hattiesburg-Laurel MS,0
Meridian MS,0
Quincy IL-Hannibal MO-Keokuk IA,0
Lincoln & Hastings-Kearney NE,0
Fargo-Valley City ND,0
Sioux Falls(Mitchell) SD,0
Jonesboro AR,0
Bowling Green KY,0
Mankato MN,0
North Platte NE,0
Anchorage AK,0
Fairbanks AK,0
Biloxi-Gulfport MS,0
Juneau AK,0
Laredo TX,0
Butte-Bozeman MT,0
Great Falls MT,0
Billings MT,0
Boise ID,0
Idaho Falls-Pocatello ID,0
Cheyenne WY-Scottsbluff NE,0
Twin Falls ID,0
Missoula MT,0
Rapid City SD,0
El Paso TX,0
Helena MT,0
Casper-Riverton WY,0
Yuma AZ-El Centro CA,0
Grand Junction-Montrose CO,0
Glendive MT,0
Bakersfield CA,0
Eugene OR,0
Eureka CA,0
Palm Springs CA,0
Yakima-Pasco-Richland-Kennewick WA,0
Reno NV,0
Medford-Klamath Falls OR,0
Bend OR,0
Monterey-Salinas CA,0
Santa Barbara-Santa Maria-San Luis Obispo CA,0
Chico-Redding CA,0
Spokane WA,0


Top cities for whitney houston
Town/City,whitney houston
Baltimore,100
Atlanta,91
New York,91
Detroit,90
New Orleans,90
Philadelphia,85
Washington,83
Charlotte,82
Jacksonville,79
Miami,70
Newark,68
Chicago,65
Orlando,64
Houston,64
St. Louis,61



Top searches for whitney houston
love,100
i love you,70
i have nothing,15
mariah carey,15
dance with somebody,15
whitney houston live,15
whitney houston songs,10
national anthem,10
whitney houston funeral,5
celine dion,5
whitney houston karaoke,5
when you believe,5
whitney houston interview,5
jennifer hudson,5
whitney houston tribute,5
whitney houston oprah,5
star spangled banner,5
run to you,5
whitney houston 2009,5
bobby brown,5
glee whitney houston,5
whitney houston 2011,5
whitney houston 2010,5
brandy,5
count on me,5
whitney houston home,5
whitney houston gospel,5
heartbreak hotel,5
whitney houston bodyguard,0
exhale whitney houston,0
toni braxton,0
kim burrell,0
cece winans,0
whitney huston,0



Rising searches for whitney houston
whitney houston funeral,Breakout
i love you,+650%
dance with somebody,+550%
whitney houston karaoke,+400%
i have nothing,+350%
love,+250%
when you believe,+200%
whitney houston songs,+170%
jennifer hudson,+100%
whitney houston interview,+60%



