YouTube Search interest: t.i.
United States; Jan 2008 - Jul 2015

Interest over time
Week,t.i.
2008-01-06 - 2008-01-12,14
2008-01-13 - 2008-01-19,14
2008-01-20 - 2008-01-26,13
2008-01-27 - 2008-02-02,13
2008-02-03 - 2008-02-09,12
2008-02-10 - 2008-02-16,14
2008-02-17 - 2008-02-23,14
2008-02-24 - 2008-03-01,11
2008-03-02 - 2008-03-08,13
2008-03-09 - 2008-03-15,14
2008-03-16 - 2008-03-22,12
2008-03-23 - 2008-03-29,15
2008-03-30 - 2008-04-05,14
2008-04-06 - 2008-04-12,14
2008-04-13 - 2008-04-19,14
2008-04-20 - 2008-04-26,15
2008-04-27 - 2008-05-03,17
2008-05-04 - 2008-05-10,19
2008-05-11 - 2008-05-17,23
2008-05-18 - 2008-05-24,21
2008-05-25 - 2008-05-31,20
2008-06-01 - 2008-06-07,18
2008-06-08 - 2008-06-14,18
2008-06-15 - 2008-06-21,17
2008-06-22 - 2008-06-28,21
2008-06-29 - 2008-07-05,31
2008-07-06 - 2008-07-12,31
2008-07-13 - 2008-07-19,28
2008-07-20 - 2008-07-26,30
2008-07-27 - 2008-08-02,34
2008-08-03 - 2008-08-09,44
2008-08-10 - 2008-08-16,53
2008-08-17 - 2008-08-23,51
2008-08-24 - 2008-08-30,61
2008-08-31 - 2008-09-06,60
2008-09-07 - 2008-09-13,97
2008-09-14 - 2008-09-20,97
2008-09-21 - 2008-09-27,100
2008-09-28 - 2008-10-04,100
2008-10-05 - 2008-10-11,98
2008-10-12 - 2008-10-18,87
2008-10-19 - 2008-10-25,81
2008-10-26 - 2008-11-01,83
2008-11-02 - 2008-11-08,73
2008-11-09 - 2008-11-15,65
2008-11-16 - 2008-11-22,57
2008-11-23 - 2008-11-29,52
2008-11-30 - 2008-12-06,49
2008-12-07 - 2008-12-13,47
2008-12-14 - 2008-12-20,43
2008-12-21 - 2008-12-27,48
2008-12-28 - 2009-01-03,45
2009-01-04 - 2009-01-10,46
2009-01-11 - 2009-01-17,42
2009-01-18 - 2009-01-24,40
2009-01-25 - 2009-01-31,42
2009-02-01 - 2009-02-07,44
2009-02-08 - 2009-02-14,53
2009-02-15 - 2009-02-21,51
2009-02-22 - 2009-02-28,44
2009-03-01 - 2009-03-07,42
2009-03-08 - 2009-03-14,39
2009-03-15 - 2009-03-21,35
2009-03-22 - 2009-03-28,39
2009-03-29 - 2009-04-04,37
2009-04-05 - 2009-04-11,33
2009-04-12 - 2009-04-18,29
2009-04-19 - 2009-04-25,27
2009-04-26 - 2009-05-02,23
2009-05-03 - 2009-05-09,22
2009-05-10 - 2009-05-16,26
2009-05-17 - 2009-05-23,23
2009-05-24 - 2009-05-30,26
2009-05-31 - 2009-06-06,24
2009-06-07 - 2009-06-13,21
2009-06-14 - 2009-06-20,21
2009-06-21 - 2009-06-27,19
2009-06-28 - 2009-07-04,20
2009-07-05 - 2009-07-11,16
2009-07-12 - 2009-07-18,23
2009-07-19 - 2009-07-25,21
2009-07-26 - 2009-08-01,21
2009-08-02 - 2009-08-08,20
2009-08-09 - 2009-08-15,18
2009-08-16 - 2009-08-22,17
2009-08-23 - 2009-08-29,16
2009-08-30 - 2009-09-05,16
2009-09-06 - 2009-09-12,15
2009-09-13 - 2009-09-19,16
2009-09-20 - 2009-09-26,16
2009-09-27 - 2009-10-03,16
2009-10-04 - 2009-10-10,22
2009-10-11 - 2009-10-17,21
2009-10-18 - 2009-10-24,19
2009-10-25 - 2009-10-31,19
2009-11-01 - 2009-11-07,17
2009-11-08 - 2009-11-14,18
2009-11-15 - 2009-11-21,16
2009-11-22 - 2009-11-28,16
2009-11-29 - 2009-12-05,16
2009-12-06 - 2009-12-12,14
2009-12-13 - 2009-12-19,15
2009-12-20 - 2009-12-26,15
2009-12-27 - 2010-01-02,16
2010-01-03 - 2010-01-09,16
2010-01-10 - 2010-01-16,14
2010-01-17 - 2010-01-23,14
2010-01-24 - 2010-01-30,14
2010-01-31 - 2010-02-06,15
2010-02-07 - 2010-02-13,15
