YouTube Search interest: jamie foxx
United States; Jan 2008 - Jul 2015

Interest over time
Week,jamie foxx
2008-01-06 - 2008-01-12,15
2008-01-13 - 2008-01-19,15
2008-01-20 - 2008-01-26,16
2008-01-27 - 2008-02-02,14
2008-02-03 - 2008-02-09,14
2008-02-10 - 2008-02-16,14
2008-02-17 - 2008-02-23,12
2008-02-24 - 2008-03-01,12
2008-03-02 - 2008-03-08,14
2008-03-09 - 2008-03-15,12
2008-03-16 - 2008-03-22,12
2008-03-23 - 2008-03-29,11
2008-03-30 - 2008-04-05,12
2008-04-06 - 2008-04-12,13
2008-04-13 - 2008-04-19,13
2008-04-20 - 2008-04-26,12
2008-04-27 - 2008-05-03,14
2008-05-04 - 2008-05-10,12
2008-05-11 - 2008-05-17,13
2008-05-18 - 2008-05-24,12
2008-05-25 - 2008-05-31,13
2008-06-01 - 2008-06-07,15
2008-06-08 - 2008-06-14,15
2008-06-15 - 2008-06-21,16
2008-06-22 - 2008-06-28,17
2008-06-29 - 2008-07-05,14
2008-07-06 - 2008-07-12,14
2008-07-13 - 2008-07-19,15
2008-07-20 - 2008-07-26,17
2008-07-27 - 2008-08-02,19
2008-08-03 - 2008-08-09,17
2008-08-10 - 2008-08-16,17
2008-08-17 - 2008-08-23,16
2008-08-24 - 2008-08-30,18
2008-08-31 - 2008-09-06,19
2008-09-07 - 2008-09-13,22
2008-09-14 - 2008-09-20,19
2008-09-21 - 2008-09-27,20
2008-09-28 - 2008-10-04,24
2008-10-05 - 2008-10-11,27
2008-10-12 - 2008-10-18,25
2008-10-19 - 2008-10-25,24
2008-10-26 - 2008-11-01,24
2008-11-02 - 2008-11-08,22
2008-11-09 - 2008-11-15,27
2008-11-16 - 2008-11-22,28
2008-11-23 - 2008-11-29,32
2008-11-30 - 2008-12-06,43
2008-12-07 - 2008-12-13,60
2008-12-14 - 2008-12-20,89
2008-12-21 - 2008-12-27,86
2008-12-28 - 2009-01-03,74
2009-01-04 - 2009-01-10,71
2009-01-11 - 2009-01-17,74
2009-01-18 - 2009-01-24,86
2009-01-25 - 2009-01-31,82
2009-02-01 - 2009-02-07,80
2009-02-08 - 2009-02-14,79
2009-02-15 - 2009-02-21,78
2009-02-22 - 2009-02-28,98
2009-03-01 - 2009-03-07,99
2009-03-08 - 2009-03-14,97
2009-03-15 - 2009-03-21,97
2009-03-22 - 2009-03-28,80
2009-03-29 - 2009-04-04,64
2009-04-05 - 2009-04-11,70
2009-04-12 - 2009-04-18,86
2009-04-19 - 2009-04-25,78
2009-04-26 - 2009-05-02,80
2009-05-03 - 2009-05-09,70
2009-05-10 - 2009-05-16,63
2009-05-17 - 2009-05-23,67
2009-05-24 - 2009-05-30,59
2009-05-31 - 2009-06-06,68
2009-06-07 - 2009-06-13,50
2009-06-14 - 2009-06-20,52
2009-06-21 - 2009-06-27,47
2009-06-28 - 2009-07-04,100
2009-07-05 - 2009-07-11,44
2009-07-12 - 2009-07-18,40
2009-07-19 - 2009-07-25,40
2009-07-26 - 2009-08-01,38
2009-08-02 - 2009-08-08,33
2009-08-09 - 2009-08-15,33
2009-08-16 - 2009-08-22,37
2009-08-23 - 2009-08-29,36
2009-08-30 - 2009-09-05,36
2009-09-06 - 2009-09-12,32
2009-09-13 - 2009-09-19,31
2009-09-20 - 2009-09-26,30
2009-09-27 - 2009-10-03,29
2009-10-04 - 2009-10-10,32
2009-10-11 - 2009-10-17,33
2009-10-18 - 2009-10-24,29
2009-10-25 - 2009-10-31,25
2009-11-01 - 2009-11-07,29
2009-11-08 - 2009-11-14,30
2009-11-15 - 2009-11-21,25
2009-11-22 - 2009-11-28,27
2009-11-29 - 2009-12-05,27
2009-12-06 - 2009-12-12,30
2009-12-13 - 2009-12-19,26
2009-12-20 - 2009-12-26,29
2009-12-27 - 2010-01-02,28
2010-01-03 - 2010-01-09,27
2010-01-10 - 2010-01-16,27
2010-01-17 - 2010-01-23,27
2010-01-24 - 2010-01-30,28
2010-01-31 - 2010-02-06,41
2010-02-07 - 2010-02-13,33
2010-02-14 - 2010-02-20,29
2010-02-21 - 2010-02-27,24
2010-02-28 - 2010-03-06,27
2010-03-07 - 2010-03-13,27
2010-03-14 - 2010-03-20,25
2010-03-21 - 2010-03-27,29
2010-03-28 - 2010-04-03,30
2010-04-04 - 2010-04-10,32
2010-04-11 - 2010-04-17,34
2010-04-18 - 2010-04-24,36
2010-04-25 - 2010-05-01,41
2010-05-02 - 2010-05-08,41
2010-05-09 - 2010-05-15,43
2010-05-16 - 2010-05-22,41
2010-05-23 - 2010-05-29,41
2010-05-30 - 2010-06-05,36
2010-06-06 - 2010-06-12,31
2010-06-13 - 2010-06-19,30
2010-06-20 - 2010-06-26,29
2010-06-27 - 2010-07-03,26
2010-07-04 - 2010-07-10,22
2010-07-11 - 2010-07-17,25
2010-07-18 - 2010-07-24,23
2010-07-25 - 2010-07-31,23
2010-08-01 - 2010-08-07,22
2010-08-08 - 2010-08-14,22
2010-08-15 - 2010-08-21,23
2010-08-22 - 2010-08-28,23
2010-08-29 - 2010-09-04,19
2010-09-05 - 2010-09-11,20
2010-09-12 - 2010-09-18,19
2010-09-19 - 2010-09-25,19
2010-09-26 - 2010-10-02,19
2010-10-03 - 2010-10-09,22
2010-10-10 - 2010-10-16,22
2010-10-17 - 2010-10-23,22
2010-10-24 - 2010-10-30,27
2010-10-31 - 2010-11-06,28
2010-11-07 - 2010-11-13,31
2010-11-14 - 2010-11-20,30
2010-11-21 - 2010-11-27,29
2010-11-28 - 2010-12-04,30
2010-12-05 - 2010-12-11,38
2010-12-12 - 2010-12-18,58
2010-12-19 - 2010-12-25,62
2010-12-26 - 2011-01-01,64
2011-01-02 - 2011-01-08,66
2011-01-09 - 2011-01-15,61
2011-01-16 - 2011-01-22,60
2011-01-23 - 2011-01-29,63
2011-01-30 - 2011-02-05,59
2011-02-06 - 2011-02-12,53
2011-02-13 - 2011-02-19,53
2011-02-20 - 2011-02-26,51
2011-02-27 - 2011-03-05,49
2011-03-06 - 2011-03-12,43
2011-03-13 - 2011-03-19,43
2011-03-20 - 2011-03-26,40
2011-03-27 - 2011-04-02,40
2011-04-03 - 2011-04-09,36
2011-04-10 - 2011-04-16,38
2011-04-17 - 2011-04-23,37
2011-04-24 - 2011-04-30,34
2011-05-01 - 2011-05-07,33
2011-05-08 - 2011-05-14,35
2011-05-15 - 2011-05-21,34
2011-05-22 - 2011-05-28,34
2011-05-29 - 2011-06-04,34
2011-06-05 - 2011-06-11,33
2011-06-12 - 2011-06-18,33
2011-06-19 - 2011-06-25,34
2011-06-26 - 2011-07-02,30
2011-07-03 - 2011-07-09,31
2011-07-10 - 2011-07-16,30
2011-07-17 - 2011-07-23,27
2011-07-24 - 2011-07-30,26
2011-07-31 - 2011-08-06,28
2011-08-07 - 2011-08-13,25
2011-08-14 - 2011-08-20,27
2011-08-21 - 2011-08-27,25
2011-08-28 - 2011-09-03,24
2011-09-04 - 2011-09-10,25
2011-09-11 - 2011-09-17,24
2011-09-18 - 2011-09-24,24
2011-09-25 - 2011-10-01,25
2011-10-02 - 2011-10-08,24
2011-10-09 - 2011-10-15,22
2011-10-16 - 2011-10-22,22
2011-10-23 - 2011-10-29,21
2011-10-30 - 2011-11-05,21
2011-11-06 - 2011-11-12,20
2011-11-13 - 2011-11-19,19
2011-11-20 - 2011-11-26,19
2011-11-27 - 2011-12-03,18
2011-12-04 - 2011-12-10,18
2011-12-11 - 2011-12-17,19
2011-12-18 - 2011-12-24,19
2011-12-25 - 2011-12-31,19
2012-01-01 - 2012-01-07,17
2012-01-08 - 2012-01-14,18
2012-01-15 - 2012-01-21,18
2012-01-22 - 2012-01-28,20
2012-01-29 - 2012-02-04,19
2012-02-05 - 2012-02-11,18
2012-02-12 - 2012-02-18,18
2012-02-19 - 2012-02-25,17
2012-02-26 - 2012-03-03,17
2012-03-04 - 2012-03-10,18
2012-03-11 - 2012-03-17,17
2012-03-18 - 2012-03-24,18
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,15
2012-04-08 - 2012-04-14,16
2012-04-15 - 2012-04-21,15
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,15
2012-05-06 - 2012-05-12,16
2012-05-13 - 2012-05-19,16
2012-05-20 - 2012-05-26,14
2012-05-27 - 2012-06-02,15
2012-06-03 - 2012-06-09,15
2012-06-10 - 2012-06-16,15
2012-06-17 - 2012-06-23,14
