YouTube Search interest: chris young
United States; Jan 2008 - Jul 2015

Interest over time
Week,chris young
2008-01-06 - 2008-01-12,6
2008-01-13 - 2008-01-19,7
2008-01-20 - 2008-01-26,7
2008-01-27 - 2008-02-02,8
2008-02-03 - 2008-02-09,7
2008-02-10 - 2008-02-16,7
2008-02-17 - 2008-02-23,7
2008-02-24 - 2008-03-01,9
2008-03-02 - 2008-03-08,7
2008-03-09 - 2008-03-15,8
2008-03-16 - 2008-03-22,6
2008-03-23 - 2008-03-29,6
2008-03-30 - 2008-04-05,9
2008-04-06 - 2008-04-12,7
2008-04-13 - 2008-04-19,6
2008-04-20 - 2008-04-26,7
2008-04-27 - 2008-05-03,7
2008-05-04 - 2008-05-10,8
2008-05-11 - 2008-05-17,6
2008-05-18 - 2008-05-24,23
2008-05-25 - 2008-05-31,10
2008-06-01 - 2008-06-07,9
2008-06-08 - 2008-06-14,12
2008-06-15 - 2008-06-21,11
2008-06-22 - 2008-06-28,13
2008-06-29 - 2008-07-05,10
2008-07-06 - 2008-07-12,12
2008-07-13 - 2008-07-19,13
2008-07-20 - 2008-07-26,12
2008-07-27 - 2008-08-02,13
2008-08-03 - 2008-08-09,11
2008-08-10 - 2008-08-16,10
2008-08-17 - 2008-08-23,12
2008-08-24 - 2008-08-30,10
2008-08-31 - 2008-09-06,12
2008-09-07 - 2008-09-13,12
2008-09-14 - 2008-09-20,9
2008-09-21 - 2008-09-27,11
2008-09-28 - 2008-10-04,11
2008-10-05 - 2008-10-11,11
2008-10-12 - 2008-10-18,10
2008-10-19 - 2008-10-25,9
2008-10-26 - 2008-11-01,9
2008-11-02 - 2008-11-08,11
2008-11-09 - 2008-11-15,10
2008-11-16 - 2008-11-22,10
2008-11-23 - 2008-11-29,11
2008-11-30 - 2008-12-06,10
2008-12-07 - 2008-12-13,9
2008-12-14 - 2008-12-20,8
2008-12-21 - 2008-12-27,8
2008-12-28 - 2009-01-03,9
2009-01-04 - 2009-01-10,8
2009-01-11 - 2009-01-17,9
2009-01-18 - 2009-01-24,8
2009-01-25 - 2009-01-31,8
2009-02-01 - 2009-02-07,8
2009-02-08 - 2009-02-14,12
2009-02-15 - 2009-02-21,9
2009-02-22 - 2009-02-28,9
2009-03-01 - 2009-03-07,8
2009-03-08 - 2009-03-14,10
2009-03-15 - 2009-03-21,8
2009-03-22 - 2009-03-28,7
2009-03-29 - 2009-04-04,6
2009-04-05 - 2009-04-11,7
2009-04-12 - 2009-04-18,7
2009-04-19 - 2009-04-25,6
2009-04-26 - 2009-05-02,6
2009-05-03 - 2009-05-09,8
2009-05-10 - 2009-05-16,8
2009-05-17 - 2009-05-23,8
2009-05-24 - 2009-05-30,7
2009-05-31 - 2009-06-06,8
2009-06-07 - 2009-06-13,7
2009-06-14 - 2009-06-20,8
2009-06-21 - 2009-06-27,8
2009-06-28 - 2009-07-04,8
2009-07-05 - 2009-07-11,7
2009-07-12 - 2009-07-18,8
2009-07-19 - 2009-07-25,10
2009-07-26 - 2009-08-01,11
2009-08-02 - 2009-08-08,12
2009-08-09 - 2009-08-15,10
2009-08-16 - 2009-08-22,13
2009-08-23 - 2009-08-29,13
2009-08-30 - 2009-09-05,16
2009-09-06 - 2009-09-12,15
2009-09-13 - 2009-09-19,15
2009-09-20 - 2009-09-26,17
2009-09-27 - 2009-10-03,18
2009-10-04 - 2009-10-10,17
2009-10-11 - 2009-10-17,19
2009-10-18 - 2009-10-24,20
2009-10-25 - 2009-10-31,19
2009-11-01 - 2009-11-07,20
2009-11-08 - 2009-11-14,21
2009-11-15 - 2009-11-21,20
2009-11-22 - 2009-11-28,18
2009-11-29 - 2009-12-05,20
2009-12-06 - 2009-12-12,21
2009-12-13 - 2009-12-19,25
2009-12-20 - 2009-12-26,26
2009-12-27 - 2010-01-02,22
2010-01-03 - 2010-01-09,24
2010-01-10 - 2010-01-16,23
2010-01-17 - 2010-01-23,22
2010-01-24 - 2010-01-30,21
2010-01-31 - 2010-02-06,22
2010-02-07 - 2010-02-13,20
2010-02-14 - 2010-02-20,22
2010-02-21 - 2010-02-27,19
2010-02-28 - 2010-03-06,21
2010-03-07 - 2010-03-13,22
2010-03-14 - 2010-03-20,20
2010-03-21 - 2010-03-27,23
2010-03-28 - 2010-04-03,23
2010-04-04 - 2010-04-10,22
2010-04-11 - 2010-04-17,23
2010-04-18 - 2010-04-24,26
2010-04-25 - 2010-05-01,22
2010-05-02 - 2010-05-08,22
2010-05-09 - 2010-05-15,22
2010-05-16 - 2010-05-22,22
2010-05-23 - 2010-05-29,23
2010-05-30 - 2010-06-05,23
2010-06-06 - 2010-06-12,20
2010-06-13 - 2010-06-19,18
2010-06-20 - 2010-06-26,19
2010-06-27 - 2010-07-03,23
2010-07-04 - 2010-07-10,20
2010-07-11 - 2010-07-17,20
2010-07-18 - 2010-07-24,19
2010-07-25 - 2010-07-31,22
2010-08-01 - 2010-08-07,20
2010-08-08 - 2010-08-14,23
2010-08-15 - 2010-08-21,21
2010-08-22 - 2010-08-28,21
2010-08-29 - 2010-09-04,21
2010-09-05 - 2010-09-11,21
2010-09-12 - 2010-09-18,23
2010-09-19 - 2010-09-25,20
2010-09-26 - 2010-10-02,20
2010-10-03 - 2010-10-09,22
2010-10-10 - 2010-10-16,21
2010-10-17 - 2010-10-23,24
2010-10-24 - 2010-10-30,22
2010-10-31 - 2010-11-06,23
2010-11-07 - 2010-11-13,24
2010-11-14 - 2010-11-20,27
2010-11-21 - 2010-11-27,25
2010-11-28 - 2010-12-04,26
2010-12-05 - 2010-12-11,26
2010-12-12 - 2010-12-18,25
2010-12-19 - 2010-12-25,26
2010-12-26 - 2011-01-01,22
2011-01-02 - 2011-01-08,31
2011-01-09 - 2011-01-15,30
2011-01-16 - 2011-01-22,31
2011-01-23 - 2011-01-29,32
2011-01-30 - 2011-02-05,32
2011-02-06 - 2011-02-12,33
2011-02-13 - 2011-02-19,37
2011-02-20 - 2011-02-26,36
2011-02-27 - 2011-03-05,39
2011-03-06 - 2011-03-12,45
2011-03-13 - 2011-03-19,47
2011-03-20 - 2011-03-26,58
2011-03-27 - 2011-04-02,68
2011-04-03 - 2011-04-09,79
2011-04-10 - 2011-04-16,73
2011-04-17 - 2011-04-23,76
2011-04-24 - 2011-04-30,82
2011-05-01 - 2011-05-07,91
2011-05-08 - 2011-05-14,100
2011-05-15 - 2011-05-21,95
2011-05-22 - 2011-05-28,89
2011-05-29 - 2011-06-04,85
2011-06-05 - 2011-06-11,83
2011-06-12 - 2011-06-18,80
2011-06-19 - 2011-06-25,80
2011-06-26 - 2011-07-02,74
2011-07-03 - 2011-07-09,76
2011-07-10 - 2011-07-16,78
2011-07-17 - 2011-07-23,79
2011-07-24 - 2011-07-30,76
2011-07-31 - 2011-08-06,75
2011-08-07 - 2011-08-13,68
2011-08-14 - 2011-08-20,68
2011-08-21 - 2011-08-27,60
2011-08-28 - 2011-09-03,54
2011-09-04 - 2011-09-10,51
2011-09-11 - 2011-09-17,49
2011-09-18 - 2011-09-24,58
2011-09-25 - 2011-10-01,52
2011-10-02 - 2011-10-08,53
2011-10-09 - 2011-10-15,54
2011-10-16 - 2011-10-22,56
2011-10-23 - 2011-10-29,52
2011-10-30 - 2011-11-05,59
2011-11-06 - 2011-11-12,60
2011-11-13 - 2011-11-19,58
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,59
2011-12-04 - 2011-12-10,61
2011-12-11 - 2011-12-17,66
2011-12-18 - 2011-12-24,68
2011-12-25 - 2011-12-31,65
2012-01-01 - 2012-01-07,59
2012-01-08 - 2012-01-14,57
2012-01-15 - 2012-01-21,59
2012-01-22 - 2012-01-28,57
2012-01-29 - 2012-02-04,59
2012-02-05 - 2012-02-11,59
2012-02-12 - 2012-02-18,58
2012-02-19 - 2012-02-25,60
2012-02-26 - 2012-03-03,55
2012-03-04 - 2012-03-10,56
2012-03-11 - 2012-03-17,69
2012-03-18 - 2012-03-24,74
2012-03-25 - 2012-03-31,79
2012-04-01 - 2012-04-07,66
2012-04-08 - 2012-04-14,63
2012-04-15 - 2012-04-21,63
2012-04-22 - 2012-04-28,59
2012-04-29 - 2012-05-05,58
2012-05-06 - 2012-05-12,57
2012-05-13 - 2012-05-19,62
2012-05-20 - 2012-05-26,61
2012-05-27 - 2012-06-02,55
2012-06-03 - 2012-06-09,56
2012-06-10 - 2012-06-16,54
2012-06-17 - 2012-06-23,48
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,46
2012-07-08 - 2012-07-14,44
2012-07-15 - 2012-07-21,45
2012-07-22 - 2012-07-28,43
2012-07-29 - 2012-08-04,40
2012-08-05 - 2012-08-11,39
2012-08-12 - 2012-08-18,42
2012-08-19 - 2012-08-25,42
2012-08-26 - 2012-09-01,38
2012-09-02 - 2012-09-08,34
2012-09-09 - 2012-09-15,34
2012-09-16 - 2012-09-22,33
2012-09-23 - 2012-09-29,33
2012-09-30 - 2012-10-06,33
2012-10-07 - 2012-10-13,31
2012-10-14 - 2012-10-20,31
2012-10-21 - 2012-10-27,30
2012-10-28 - 2012-11-03,28
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,31
2012-11-18 - 2012-11-24,27
2012-11-25 - 2012-12-01,27
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,26
2012-12-16 - 2012-12-22,27
2012-12-23 - 2012-12-29,25
2012-12-30 - 2013-01-05,25
2013-01-06 - 2013-01-12,23
2013-01-13 - 2013-01-19,26
2013-01-20 - 2013-01-26,23
2013-01-27 - 2013-02-02,25
2013-02-03 - 2013-02-09,24
2013-02-10 - 2013-02-16,26
2013-02-17 - 2013-02-23,23
2013-02-24 - 2013-03-02,24
2013-03-03 - 2013-03-09,22
2013-03-10 - 2013-03-16,23
2013-03-17 - 2013-03-23,22
2013-03-24 - 2013-03-30,21
2013-03-31 - 2013-04-06,26
2013-04-07 - 2013-04-13,25
2013-04-14 - 2013-04-20,22
2013-04-21 - 2013-04-27,22
2013-04-28 - 2013-05-04,23
2013-05-05 - 2013-05-11,24
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,19
2013-05-26 - 2013-06-01,21
2013-06-02 - 2013-06-08,23
2013-06-09 - 2013-06-15,23
2013-06-16 - 2013-06-22,20
2013-06-23 - 2013-06-29,24
2013-06-30 - 2013-07-06,26
2013-07-07 - 2013-07-13,26
2013-07-14 - 2013-07-20,24
2013-07-21 - 2013-07-27,25
2013-07-28 - 2013-08-03,25
2013-08-04 - 2013-08-10,25
2013-08-11 - 2013-08-17,26
2013-08-18 - 2013-08-24,26
2013-08-25 - 2013-08-31,23
2013-09-01 - 2013-09-07,26
2013-09-08 - 2013-09-14,26
2013-09-15 - 2013-09-21,31
2013-09-22 - 2013-09-28,28
2013-09-29 - 2013-10-05,30
2013-10-06 - 2013-10-12,28
2013-10-13 - 2013-10-19,28
2013-10-20 - 2013-10-26,27
2013-10-27 - 2013-11-02,28
2013-11-03 - 2013-11-09,25
2013-11-10 - 2013-11-16,25
2013-11-17 - 2013-11-23,26
2013-11-24 - 2013-11-30,23
2013-12-01 - 2013-12-07,23
2013-12-08 - 2013-12-14,20
2013-12-15 - 2013-12-21,22
2013-12-22 - 2013-12-28,20
2013-12-29 - 2014-01-04,18
2014-01-05 - 2014-01-11,20
2014-01-12 - 2014-01-18,23
2014-01-19 - 2014-01-25,19
2014-01-26 - 2014-02-01,20
2014-02-02 - 2014-02-08,20
2014-02-09 - 2014-02-15,18
2014-02-16 - 2014-02-22,21
2014-02-23 - 2014-03-01,20
2014-03-02 - 2014-03-08,22
2014-03-09 - 2014-03-15,21
2014-03-16 - 2014-03-22,22
2014-03-23 - 2014-03-29,24
2014-03-30 - 2014-04-05,27
2014-04-06 - 2014-04-12,27
2014-04-13 - 2014-04-19,25
2014-04-20 - 2014-04-26,23
2014-04-27 - 2014-05-03,27
2014-05-04 - 2014-05-10,25
2014-05-11 - 2014-05-17,26
2014-05-18 - 2014-05-24,27
2014-05-25 - 2014-05-31,25
2014-06-01 - 2014-06-07,23
2014-06-08 - 2014-06-14,23
2014-06-15 - 2014-06-21,22
2014-06-22 - 2014-06-28,23
2014-06-29 - 2014-07-05,25
2014-07-06 - 2014-07-12,23
2014-07-13 - 2014-07-19,24
2014-07-20 - 2014-07-26,25
2014-07-27 - 2014-08-02,23
2014-08-03 - 2014-08-09,21
2014-08-10 - 2014-08-16,22
2014-08-17 - 2014-08-23,20
2014-08-24 - 2014-08-30,21
2014-08-31 - 2014-09-06,18
2014-09-07 - 2014-09-13,21
2014-09-14 - 2014-09-20,24
2014-09-21 - 2014-09-27,21
2014-09-28 - 2014-10-04,22
2014-10-05 - 2014-10-11,22
2014-10-12 - 2014-10-18,22
2014-10-19 - 2014-10-25,21
2014-10-26 - 2014-11-01,22
2014-11-02 - 2014-11-08,23
2014-11-09 - 2014-11-15,21
2014-11-16 - 2014-11-22,23
2014-11-23 - 2014-11-29,20
2014-11-30 - 2014-12-06,20
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,20
2014-12-21 - 2014-12-27,16
2014-12-28 - 2015-01-03,19
2015-01-04 - 2015-01-10,21
2015-01-11 - 2015-01-17,19
2015-01-18 - 2015-01-24,19
2015-01-25 - 2015-01-31,18
2015-02-01 - 2015-02-07,21
2015-02-08 - 2015-02-14,19
2015-02-15 - 2015-02-21,22
2015-02-22 - 2015-02-28,19
2015-03-01 - 2015-03-07,20
2015-03-08 - 2015-03-14,18
2015-03-15 - 2015-03-21,20
2015-03-22 - 2015-03-28,21
2015-03-29 - 2015-04-04,19
2015-04-05 - 2015-04-11,20
2015-04-12 - 2015-04-18,21
2015-04-19 - 2015-04-25,19
2015-04-26 - 2015-05-02,19
2015-05-03 - 2015-05-09,19
2015-05-10 - 2015-05-16,21
2015-05-17 - 2015-05-23,20
2015-05-24 - 2015-05-30,17
2015-05-31 - 2015-06-06,17
2015-06-07 - 2015-06-13,17
2015-06-14 - 2015-06-20,16
2015-06-21 - 2015-06-27,16
2015-06-28 - 2015-07-04,17
2015-07-05 - 2015-07-11,13
2015-07-12 - 2015-07-18,16
2015-07-19 - 2015-07-25,15
2015-07-26 - 2015-08-01,16


Top sub-regions for chris young
Sub-region,chris young
West Virginia,100
Kentucky,95
South Carolina,79
Alabama,75
Tennessee,75
Mississippi,74
North Carolina,71
Iowa,70
South Dakota,68
Ohio,67
Louisiana,67
North Dakota,66
Indiana,66
Arkansas,65
Oklahoma,62
Nebraska,60
Wisconsin,60
Georgia,59
Kansas,59
Montana,59
Delaware,58
Missouri,57
Pennsylvania,55
Michigan,54
New Mexico,53
Texas,52
Maine,51
Wyoming,50
Minnesota,49
Vermont,47
Idaho,46
Florida,45
Illinois,43
Maryland,40
New Hampshire,39
Arizona,39
Colorado,38
Rhode Island,36
Connecticut,34
Utah,34
New York,33
Virginia,32
Massachusetts,32
Washington,31
New Jersey,31
Oregon,30
Nevada,29
Hawaii,29
Alaska,28
District of Columbia,28
California,26


Top metros for chris young
Metro,chris young
Florence-Myrtle Beach SC,100
Lafayette LA,100
Lexington KY,90
Charleston-Huntington WV,90
Shreveport LA,84
Chattanooga TN,83
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,80
Tri-Cities TN-VA,79
Louisville KY,74
Tyler-Longview(Lufkin & Nacogdoches) TX,73
Nashville TN,70
Greenville-New Bern-Washington NC,69
Greenville-Spartanburg SC-Asheville NC-Anderson SC,68
Knoxville TN,67
Flint-Saginaw-Bay City MI,67
Lincoln & Hastings-Kearney NE,66
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,65
Tallahassee FL-Thomasville GA,65
Greensboro-High Point-Winston Salem NC,64
Birmingham AL,64
Dayton OH,63
Champaign & Springfield-Decatur IL,63
Wichita-Hutchinson KS,63
Waco-Temple-Bryan TX,62
Sioux Falls(Mitchell) SD,62
Memphis TN,62
Cincinnati OH,61
Charlotte NC,61
Jackson MS,60
Springfield MO,60
South Bend-Elkhart IN,58
Grand Rapids-Kalamazoo-Battle Creek MI,58
Tulsa OK,57
Johnstown-Altoona PA,57
Des Moines-Ames IA,57
Toledo OH,57
Raleigh-Durham (Fayetteville) NC,57
Wilkes Barre-Scranton PA,56
Columbia SC,56
Little Rock-Pine Bluff AR,55
Columbus OH,55
Savannah GA,54
Indianapolis IN,54
Baton Rouge LA,53
Cleveland-Akron (Canton) OH,53
San Antonio TX,53
Mobile AL-Pensacola (Ft. Walton Beach) FL,52
Kansas City MO,52
Jacksonville FL,51
Burlington VT-Plattsburgh NY,50
Roanoke-Lynchburg VA,50
Milwaukee WI,49
Norfolk-Portsmouth-Newport News VA,49
Tampa-St. Petersburg (Sarasota) FL,48
Oklahoma City OK,47
Harrisburg-Lancaster-Lebanon-York PA,47
Atlanta GA,46
Pittsburgh PA,46
Albuquerque-Santa Fe NM,45
Albany-Schenectady-Troy NY,45
St. Louis MO,45
Richmond-Petersburg VA,45
Philadelphia PA,44
New Orleans LA,44
Omaha NE,44
Portland-Auburn ME,43
Buffalo NY,43
Houston TX,43
Detroit MI,41
Dallas-Ft. Worth TX,39
