id,type,title,short_title,score,url,time_tbd,date_tbd,datetime_local,datetime_utc,created_at,query_performer,num_performers,performer_ids,performer_slugs,venue_id,venue_slug,listing_count,average_price,lowest_price_good_deals,lowest_price,highest_price
2555941,concert,Nicki Minaj with Meek Mill and Dej Loaf and Tinashe,Nicki Minaj with Meek Mill and Dej Loaf and Tinashe,0.6998,https://seatgeek.com/nicki-minaj-with-meek-mill-and-dej-loaf-and-tinashe-tickets/toronto-molson-canadian-amphitheatre-2015-07-28-7-pm/concert/2555941/,False,False,2015-07-28T19:00:00,2015-07-28T23:00:00,2015-03-18T00:00:00,292932,4,"[2533, 11565, 181545, 292932]","[2533, 11565, 181545, 292932]",138,molson-canadian-amphitheatre,387,177.0,20.0,20.0,5371.0
2685147,concert,Rae Sremmurd with Dej Loaf,Rae Sremmurd with Dej Loaf,0.5196,https://seatgeek.com/rae-sremmurd-with-dej-loaf-tickets/council-bluffs-iowa-mid-america-center-2015-08-10-8-pm/concert/2685147/,False,False,2015-08-10T20:00:00,2015-08-11T01:00:00,2015-07-11T00:00:00,292932,2,"[289069, 292932]","[289069, 292932]",229,mid-america-center,9,86.0,,75.0,498.0
2514595,concert,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,0.6718,https://seatgeek.com/country-megaticket-rascal-flatts-with-raelynn-and-scotty-mccreery-tickets/burgettstown-pennsylvania-first-niagara-pavilion-2015-07-24-7-30-pm/concert/2514595/,False,False,2015-07-24T19:30:00,2015-07-24T23:30:00,2015-02-14T00:00:00,61260,4,"[1498, 4286, 10439, 61260]","[1498, 4286, 10439, 61260]",3704,first-niagara-pavilion,176,91.0,81.0,40.0,737.0
2492407,concert,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,0.6881,https://seatgeek.com/country-megaticket-rascal-flatts-with-raelynn-and-scotty-mccreery-tickets/charlotte-north-carolina-pnc-music-pavilion-2015-07-25-7-30-pm/concert/2492407/,False,False,2015-07-25T19:30:00,2015-07-25T23:30:00,2015-01-25T00:00:00,61260,4,"[1498, 4286, 10439, 61260]","[1498, 4286, 10439, 61260]",62,pnc-music-pavilion,354,72.0,39.0,39.0,2120.0
2492309,concert,Rascal Flatts with Scotty McCreery and RaeLynn,Rascal Flatts with Scotty McCreery and RaeLynn,0.64674,https://seatgeek.com/rascal-flatts-with-scotty-mccreery-and-raelynn-tickets/raleigh-north-carolina-walnut-creek-amphitheatre-2015-07-26-7-30-pm/concert/2492309/,False,False,2015-07-26T19:30:00,2015-07-26T23:30:00,2015-01-25T00:00:00,61260,3,"[1498, 10439, 61260]","[1498, 10439, 61260]",61,walnut-creek-amphitheatre,276,91.0,32.0,32.0,642.0
2495412,concert,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,0.70682,https://seatgeek.com/country-megaticket-rascal-flatts-with-raelynn-and-scotty-mccreery-tickets/holmdel-new-jersey-pnc-bank-arts-center-2015-07-31-7-30-pm/concert/2495412/,False,False,2015-07-31T19:30:00,2015-07-31T23:30:00,2015-01-28T00:00:00,61260,4,"[1498, 4286, 10439, 61260]","[1498, 4286, 10439, 61260]",151,pnc-bank-arts-center,570,101.0,40.0,40.0,1093.0
2495361,concert,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,0.70118,https://seatgeek.com/country-megaticket-rascal-flatts-with-raelynn-and-scotty-mccreery-tickets/camden-new-jersey-susquehanna-bank-center-2015-08-01-7-30-pm/concert/2495361/,False,False,2015-08-01T19:30:00,2015-08-01T23:30:00,2015-01-28T00:00:00,61260,4,"[1498, 4286, 10439, 61260]","[1498, 4286, 10439, 61260]",79,susquehanna-bank-center,473,81.0,37.0,37.0,752.0
2495345,concert,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,Country Megaticket: Rascal Flatts with RaeLynn and Scotty McCreery,0.71111,https://seatgeek.com/country-megaticket-rascal-flatts-with-raelynn-and-scotty-mccreery-tickets/mansfield-massachusetts-xfinity-center-2015-08-02-7-30-pm/concert/2495345/,False,False,2015-08-02T19:30:00,2015-08-02T23:30:00,2015-01-28T00:00:00,61260,4,"[1498, 4286, 10439, 61260]","[1498, 4286, 10439, 61260]",60,xfinity-center,599,120.0,69.0,57.0,639.0
2427815,concert,Grand Ole Opry with Mark Wills and Pam Tillis and The Gatlin Brothers and RaeLynn,Grand Ole Opry with Mark Wills and Pam Tillis and The Gatlin Brothers and RaeLynn,0.60834,https://seatgeek.com/grand-ole-opry-with-mark-wills-and-pam-tillis-and-the-gatlin-brothers-and-raelynn-tickets/nashville-tennessee-grand-ole-opry-house-2015-08-07-7-pm/concert/2427815/,False,False,2015-08-07T19:00:00,2015-08-08T00:00:00,2014-12-06T00:00:00,61260,7,"[812, 1386, 4184, 8848, 8924, 18373, 61260]","[812, 1386, 4184, 8848, 8924, 18373, 61260]",4706,grand-ole-opry-house,174,121.0,80.0,77.0,608.0
2588182,concert,Chris Young with Craig Wayne Boyd and RaeLynn,Chris Young with Craig Wayne Boyd and RaeLynn,0.56085,https://seatgeek.com/chris-young-with-craig-wayne-boyd-and-raelynn-tickets/west-allis-wisconsin-wisconsin-state-fair-park-2015-08-08-7-pm/concert/2588182/,False,False,2015-08-08T19:00:00,2015-08-09T00:00:00,2015-04-12T00:00:00,61260,3,"[4281, 61260, 115067]","[4281, 61260, 115067]",308,wisconsin-state-fair-park,37,212.35,82,82,529
