id,name,country,city,state,extended_address,url,display_location,score,postal_code,address,timezone,slug,event_count,lat,lon
71,Bethel Woods Center For The Arts,US,Bethel,NY,"Bethel, NY 12720",https://seatgeek.com/venues/bethel-woods-center-for-the-arts/tickets/,"Bethel, NY",0.70684,12720,200 Hurd Road,America/New_York,bethel-woods-center-for-the-arts,26,41.7006,-74.8821
168,Darien Lake Performing Arts Center,US,Darien Center,NY,"Darien Center, NY 14040",https://seatgeek.com/venues/darien-lake-performing-arts-center/tickets/,"Darien Center, NY",0.73395,14040,9993 Alleghany Road,America/New_York,darien-lake-performing-arts-center,20,42.9321,-78.3908
61,Walnut Creek Amphitheatre,US,Raleigh,NC,"Raleigh, NC 27610",https://seatgeek.com/venues/walnut-creek-amphitheatre/tickets/,"Raleigh, NC",0.73789,27610,3801 Rock Quarry Road,America/New_York,walnut-creek-amphitheatre,15,35.7456,-78.584
8298,Grant Park,US,Chicago,IL,"Chicago, IL 60601",https://seatgeek.com/venues/grant-park-1/tickets/,"Chicago, IL",0.88328,60601,541 N. Fairbanks,America/Chicago,grant-park-1,5,41.8923,-87.6198
53174,Voormalig Floriade Terrein,Netherlands,Haarlemmermeer,,"Haarlemmermeer, Netherlands",https://seatgeek.com/venues/voormalig-floriade-terrein-1/tickets/,"Haarlemmermeer, Netherlands",0.0,2130 AD,Mystery Land Festival,Europe/Amsterdam,voormalig-floriade-terrein-1,1,52.3,4.7
3179,Randalls Island,US,New York,NY,"New York, NY 10035",https://seatgeek.com/venues/randalls-island/tickets/,"New York, NY",0.7621,10035,1 Randalls Island Park,America/New_York,randalls-island,8,40.7932,-73.9213
945,San Manuel Amphitheater,US,San Bernardino,CA,"San Bernardino, CA 92407",https://seatgeek.com/venues/san-manuel-amphitheater/tickets/,"San Bernardino, CA",0.71786,92407,2575 Glen Helen Parkway,America/Los_Angeles,san-manuel-amphitheater,12,34.2104,-117.408
49367,"Light Nightclub, Mandalay Bay",US,Las Vegas,NV,"Las Vegas, NV 89119",https://seatgeek.com/venues/light-nightclub-mandalay-bay/tickets/,"Las Vegas, NV",0.41912,89119,3950 Las Vegas Blvd.,America/Los_Angeles,light-nightclub-mandalay-bay,33,36.0908,-115.175
2537,New Orleans City Park,US,New Orleans,LA,"New Orleans, LA 70124",https://seatgeek.com/venues/new-orleans-city-park/tickets/,"New Orleans, LA",0.6798,70124,1751 Gentilly Blvd.,America/Chicago,new-orleans-city-park,5,29.9843,-90.0767
809,Great Jones County Fair,US,Monticello,IA,"Monticello, IA 52310",https://seatgeek.com/venues/great-jones-county-fair/tickets/,"Monticello, IA",0.65585,52310,700 North Maple Street,America/Chicago,great-jones-county-fair,9,42.2455,-91.1897
