id	type	title	short_title	score	url	time_tbd	date_tbd	datetime_local	datetime_utc	created_at	query_performer	num_performers	performer_ids	performer_slugs	venue_id	venue_slug	listing_count	average_price	lowest_price_good_deals	lowest_price	highest_price
2381018	music_festival	Forecastle Festival (Friday Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	Forecastle Festival (Friday Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	0.55414	https://seatgeek.com/forecastle-festival-friday-pass-with-modest-mouse-cold-war-kids-my-morning-jacket-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-17-11-am/music-festival/2381018/	False	False	2015-07-17T11:00:00	2015-07-17T15:00:00	2014-10-22T00:00:00	1739	44	[488, 771, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4276, 4521, 6055, 9461, 14250, 15135, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20576, 21166, 22298, 25187, 26020, 26654, 28193, 33139, 34131, 61894, 82869, 109266, 121297, 133456, 152080, 201123, 230242, 272181, 276657, 284183]	[488, 771, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4276, 4521, 6055, 9461, 14250, 15135, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20576, 21166, 22298, 25187, 26020, 26654, 28193, 33139, 34131, 61894, 82869, 109266, 121297, 133456, 152080, 201123, 230242, 272181, 276657, 284183]	8489	louisville-waterfront-park-1	5	201.0		189.0	214.0
2381019	music_festival	Forecastle Festival (3 Day Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	Forecastle Festival (3 Day Pass) with Modest Mouse, Cold War Kids, My Morning Jacket	0.55761	https://seatgeek.com/forecastle-festival-3-day-pass-with-modest-mouse-cold-war-kids-my-morning-jacket-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-17-1-29-pm/music-festival/2381019/	False	False	2015-07-17T13:29:00	2015-07-17T17:29:00	2014-10-22T00:00:00	1739	60	[488, 771, 932, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4211, 4276, 4521, 6055, 6955, 9461, 14250, 14964, 15135, 15176, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20497, 20576, 21166, 22298, 23751, 25187, 26020, 26654, 28193, 31311, 33139, 34131, 35278, 61894, 82869, 100741, 109266, 111894, 121297, 133456, 136993, 152080, 201123, 230242, 265324, 272181, 276657, 284183, 287518, 287571, 290129]	[488, 771, 932, 1272, 1307, 1378, 1458, 1739, 2011, 4198, 4211, 4276, 4521, 6055, 6955, 9461, 14250, 14964, 15135, 15176, 16163, 16315, 16447, 16943, 17171, 17545, 17575, 18493, 19718, 20497, 20576, 21166, 22298, 23751, 25187, 26020, 26654, 28193, 31311, 33139, 34131, 35278, 61894, 82869, 100741, 109266, 111894, 121297, 133456, 136993, 152080, 201123, 230242, 265324, 272181, 276657, 284183, 287518, 287571, 290129]	8489	louisville-waterfront-park-1	4	397.5		307.0	819.0
2381015	music_festival	Forecastle Festival (Sunday Pass) with Modest Mouse, The Tallest Man On Earth, Portugal. The Man	Forecastle Festival (Sunday Pass) with Modest Mouse, The Tallest Man On Earth, Portugal. The Man	0.55622	https://seatgeek.com/forecastle-festival-sunday-pass-with-modest-mouse-the-tallest-man-on-earth-portugal-the-man-tickets/louisville-kentucky-louisville-waterfront-park-1-2015-07-19-11-am/music-festival/2381015/	False	False	2015-07-19T11:00:00	2015-07-19T15:00:00	2014-10-22T00:00:00	1739	18	[1272, 1378, 1458, 1739, 2011, 4521, 14250, 16315, 17171, 17575, 21166, 22298, 26020, 35278, 61894, 133456, 265324, 287571]	[1272, 1378, 1458, 1739, 2011, 4521, 14250, 16315, 17171, 17575, 21166, 22298, 26020, 35278, 61894, 133456, 265324, 287571]	8489	louisville-waterfront-park-1	5	154.0		142.0	168.0
2610473	concert	The Tallest Man On Earth with Hiss Golden Messenger	The Tallest Man On Earth with Hiss Golden Messenger	0.53267	https://seatgeek.com/the-tallest-man-on-earth-with-hiss-golden-messenger-tickets/royal-oak-michigan-royal-oak-music-theatre-2015-07-20-7-30-pm/concert/2610473/	False	False	2015-07-20T19:30:00	2015-07-20T23:30:00	2015-05-13T00:00:00	1739	2	[1739, 140552]	[1739, 140552]	204	royal-oak-music-theatre	16	219.4	198	198	232
2617863	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.5227	https://seatgeek.com/the-tallest-man-on-earth-tickets/buffalo-new-york-babeville-2015-07-22-8-pm/concert/2617863/	False	False	2015-07-22T20:00:00	2015-07-23T00:00:00	2015-05-22T00:00:00	1739	1	[1739]	[1739]	2730	babeville	10	185.0		52.0	469.0
2468649	music_festival	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (3 Day Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.64329	https://seatgeek.com/newport-folk-festival-3-day-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-3-30-am/music-festival/2468649/	True	False	2015-07-24T03:30:00	2015-07-24T07:30:00	2015-01-08T00:00:00	1739	41	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	[107, 271, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 9678, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 60958, 61894, 100741, 106527, 140552, 157711, 247693, 280345, 302237]	2293	fort-adams-state-park	13	432.0		396.0	488.0
2451870	music_festival	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	Newport Folk Festival (Friday Pass) with Iron & Wine, Sufjan Stevens, The Decemberists	0.65017	https://seatgeek.com/newport-folk-festival-friday-pass-with-iron-wine-sufjan-stevens-the-decemberists-tickets/newport-rhode-island-fort-adams-state-park-2015-07-24-11-am/music-festival/2451870/	False	False	2015-07-24T11:00:00	2015-07-24T15:00:00	2014-12-15T00:00:00	1739	41	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	[107, 363, 399, 574, 725, 890, 920, 1739, 4302, 4359, 4521, 4729, 4784, 5059, 6282, 6322, 7673, 8736, 11637, 12071, 15135, 16315, 18437, 18682, 19357, 22320, 23743, 25192, 34398, 40342, 61894, 75585, 75868, 106527, 140552, 157711, 202036, 205459, 247693, 280345, 302237]	2293	fort-adams-state-park	57	129.0		105.0	433.0
2611547	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.53185	https://seatgeek.com/the-tallest-man-on-earth-tickets/richmond-virginia-the-national-2015-07-25-8-pm/concert/2611547/	False	False	2015-07-25T20:00:00	2015-07-26T00:00:00	2015-05-14T00:00:00	1739	1	[1739]	[1739]	357	the-national	18	139.22		55	487
2610543	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.54724	https://seatgeek.com/the-tallest-man-on-earth-tickets/munhall-pennsylvania-carnegie-library-music-hall-2015-07-26-8-pm/concert/2610543/	False	False	2015-07-26T20:00:00	2015-07-27T00:00:00	2015-05-13T00:00:00	1739	1	[1739]	[1739]	1180	carnegie-library-music-hall	17	207.0		79.0	562.0
2611576	concert	The Tallest Man On Earth	The Tallest Man On Earth	0.54708	https://seatgeek.com/the-tallest-man-on-earth-tickets/saint-louis-missouri-the-pageant-2015-07-29-8-pm/concert/2611576/	False	False	2015-07-29T20:00:00	2015-07-30T01:00:00	2015-05-14T00:00:00	1739	1	[1739]	[1739]	440	the-pageant	63	58	34	34	267
