,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3513,22754,Katy Perry,Katy Perry,,Teenage Dream,Teenage Dream,227,0,2010,9,h,33,29,14,2,1,8/7/2010,9/18/2010 0:00,42,0.01863354,0,3,Teenage Dream,4,11/28/2010,Teenage Dream,1659,2289,1.379746835,630,0,1,katy_perry,62,60,58,66,68,72,71,84,80,1.8,20,TRUE
3514,22754,Katy Perry,Katy Perry,,Teenage Dream,Teenage Dream,227,0,2010,9,h,33,29,14,2,1,8/7/2010,9/18/2010 0:00,42,0.01863354,0,3,Teenage Dream,-1.857142857,11/28/2010,Teenage Dream,1659,2289,1.379746835,630,0,0,katy_perry,62,60,58,66,68,72,71,84,80,1.8,20,TRUE
3517,36104,Taio Cruz,Taio Cruz,Featuring Ludacris,Rokstarr (Bonus Track Version),Break Your Heart,185,0,2010,12,h,29,26,16,1,1,3/13/2010,3/20/2010 0:00,7,0.02484472,0,3,Break Your Heart,-7.428571429,3/14/2010,Break Your Heart,9058,30861,3.407043497,21803,0,0,taio_cruz,5,8,10,19,25,32,33,32,34,5.1,53,TRUE
3521,22904,Ke$ha,Ke$ha,,Single,We R Who We R,204,0,2010,16,h,20,19,14,1,1,11/13/2010,11/13/2010 0:00,0,0.033126294,0,2,We R Who We R,0.571428571,11/14/2010,We R Who We R,10738,14837,1.381728441,4099,1,1,ke$ha,37,47,44,70,74,73,89,76,71,9.7,1,TRUE
3527,19141,Iyaz,Iyaz,,Replay (EP),Replay,181,0,2010,21,h,34,27,14,1,2,9/5/2009,1/9/2010 0:00,126,0.043478261,0,3,Replay,-2.285714286,9/8/2013,Replay,26344,34805,1.321173702,8461,0,1,iyaz,3,3,4,5,6,6,9,13,20,0.8,96,TRUE
3528,19141,Iyaz,Iyaz,,Replay (EP),Replay,181,0,2010,21,h,34,27,14,1,2,9/5/2009,1/9/2010 0:00,126,0.043478261,0,3,Replay,-0.142857143,9/8/2013,Replay,26344,34805,1.321173702,8461,0,1,iyaz,3,3,4,5,6,6,9,13,20,0.8,96,FALSE
3537,12899,Enrique Iglesias,Enrique Iglesias,Featuring Pitbull,s,I Like It,231,0,2010,29,h,38,31,13,3,4,5/29/2010,8/28/2010 0:00,91,0.060041408,0,3,I Like It,-1,5/30/2010,I Like It,26827,36995,1.379021135,10168,1,1,enrique_iglesias,16,19,20,24,26,28,37,41,47,2.5,89,FALSE
3539,37927,Travie McCoy,Travie McCoy,Featuring Bruno Mars,s,Billionaire,211,1,2010,31,h,27,22,9,2,4,4/17/2010,6/26/2010 0:00,70,0.064182195,0,3,Billionaire,-3,4/18/2010,Billionaire,8,2348,293.5,2340,0,0,travie_mccoy,7,14,25,34,29,28,26,29,44,6.4,92,TRUE
3545,22509,Justin Bieber,Justin Bieber,Featuring Ludacris,s,Baby,216,0,2010,37,h,20,18,5,1,5,2/6/2010,2/6/2010 0:00,0,0.076604555,0,2,Baby,2.857142857,2/7/2010,Baby,139944,339901,2.42883582,199957,1,1,justin_bieber,26,24,27,28,31,33,40,54,55,1.4,5,FALSE
3546,27070,Mike Posner,Mike Posner,Featuring Big Sean,Cooler Than Me - EP,Cooler Than Me,227,0,2010,38,h,29,25,11,4,6,5/15/2010,7/17/2010 0:00,63,0.078674948,0,3,Cooler Than Me,-3,5/16/2010,Cooler Than Me,1157,1811,1.56525497,654,0,1,mike_posner,13,15,17,23,26,29,35,41,41,3.4,85,TRUE
3556,23641,La Roux,La Roux,,Bulletproof - EP,Bulletproof,205,0,2010,47,h,27,19,2,1,8,3/20/2010,6/12/2010 0:00,84,0.097308489,0,3,Bulletproof,-1.714285714,3/21/2010,Bulletproof,21744,26829,1.233857616,5085,1,1,la_roux,37,49,44,43,47,50,54,53,70,1.4,92,TRUE
3558,16200,Glee Cast,Glee Cast,,"Glee: The Music, Vol. 4",Teenage Dream,220,0,2010,49,h,3,2,1,1,8,11/27/2010,11/27/2010 0:00,0,0.101449275,0,0,Teenage Dream,4,11/28/2010,Teenage Dream,1659,2289,1.379746835,630,0,0,glee_cast,46,45,61,92,93,91,96,80,63,14.1,8,FALSE
