,id,artist,artist_standardized,featured,album,track,time,explicit,year,yearly_rank,source,ch,x40,x10,pk,high,date_entered,date_peaked,latency_to_peak,yearly_rank_percentile,yearly_rank_categorical,ch_categorical,song_x,slope_list,date,song_y,before,after,percent_change,raw_change,breakthrough_10year,breakthrough_5year,artist_underscore,b4,b3,b2,b1,a0,a1,a2,a3,a4,youtube_slope,x1st_week,train
3676,39789,Yolanda Be Cool,Yolanda Be Cool,& Dcup,s,We No Speak Americano,269,0,2010,145,h,20,6,0,1,29,10/2/2010,11/6/2010 0:00,35,0.300207039,1,2,We No Speak Americano,-0.714285714,10/3/2010,We No Speak Americano,16693,13987,0.837896124,-2706,1,1,yolanda_be_cool,49,46,44,59,57,61,82,100,81,2.9,83,TRUE
3679,539,Adam Lambert,Adam Lambert,,For Your Entertainment (Deluxe Version),If I Had You,228,0,2010,148,h,20,7,0,1,30,7/10/2010,10/2/2010 0:00,84,0.306418219,1,2,If I Had You,-1.285714286,7/11/2010,If I Had You,47641,11039,0.231712181,-36602,0,0,adam_lambert,7,9,10,10,10,11,10,13,13,0.7,94,TRUE
3682,9606,David Guetta,David Guetta,& Chris Willis Featuring Fergie & LMFAO,One Love (Deluxe Edition),Gettin' Over You,187,0,2010,150,h,20,4,0,1,31,5/15/2010,8/7/2010 0:00,84,0.310559006,1,2,Gettin' Over You,-1,5/16/2010,Gettin' Over You,39107,34863,0.891477229,-4244,0,0,david_guetta,44,44,42,44,44,49,55,51,51,-3.51E-17,95,TRUE
3683,20042,Jay Sean,Jay Sean,Featuring Nicki Minaj,s,2012 (It Ain't The End),222,0,2010,151,h,14,4,0,1,31,8/21/2010,10/23/2010 0:00,63,0.3126294,1,1,2012 (It Ain't The End),2.428571429,8/22/2010,2012 (It Ain't The End),22184,40847,1.841282005,18663,1,1,jay_sean,20,22,25,26,29,28,35,40,35,2.2,50,TRUE
3684,16216,Glee Cast,Glee Cast,Featuring Idina Menzel,"Glee - The Music, Vol. 3 - Showstoppers",I Dreamed A Dream,188,0,2010,152,h,2,1,0,1,31,6/5/2010,6/5/2010 0:00,0,0.314699793,1,0,I Dreamed A Dream,0.714285714,1/13/2013,I Dreamed A Dream,153089,209324,1.367335341,56235,1,1,glee_cast,68,82,79,95,75,94,82,95,84,2.7,31,TRUE
3685,16216,Glee Cast,Glee Cast,Featuring Idina Menzel,"Glee - The Music, Vol. 3 - Showstoppers",I Dreamed A Dream,188,0,2010,152,h,2,1,0,1,31,6/5/2010,6/5/2010 0:00,0,0.314699793,1,0,I Dreamed A Dream,9.285714286,1/13/2013,I Dreamed A Dream,153089,209324,1.367335341,56235,1,1,glee_cast,68,82,79,95,75,94,82,95,84,2.7,31,FALSE
3688,39878,Zac Brown Band,Zac Brown Band,Featuring Alan Jackson,You Get What You Give,As She's Walking Away,224,0,2010,155,h,20,6,0,1,32,8/28/2010,11/27/2010 0:00,91,0.320910973,1,2,As She's Walking Away,3.142857143,8/29/2010,As She's Walking Away,10587,14419,1.361953339,3832,0,1,zac_brown_band,41,41,45,39,39,35,37,35,45,-0.6,77,FALSE
3689,19142,Iyaz,Iyaz,,s,Solo,194,0,2010,156,h,18,5,0,1,32,2/27/2010,5/8/2010 0:00,70,0.322981366,1,2,Solo,3.857142857,2/28/2010,Solo,26325,33613,1.276847104,7288,0,0,iyaz,68,69,77,77,75,72,70,74,75,2.2,43,TRUE
3697,21232,Joe Nichols,Joe Nichols,,Old Things New,Gimmie That Girl,185,0,2010,162,h,20,2,0,2,34,3/13/2010,5/8/2010 0:00,56,0.335403727,1,2,Gimmie That Girl,-2,3/14/2010,Gimmie That Girl,1904,2086,1.095588235,182,0,1,joe_nichols,40,36,45,48,47,47,62,66,68,2.6,98,FALSE
3702,37906,Train,Train,,"Save Me, San Fransico (Bonus Track Version)",If It's Love,239,0,2010,167,h,20,1,0,1,34,6/26/2010,9/25/2010 0:00,91,0.345755694,1,2,If It's Love,-1.857142857,6/27/2010,If It's Love,15233,9232,0.606052649,-6001,0,1,train,78,70,71,66,66,66,68,67,66,-2.8,90,TRUE
3703,11282,Dr. Dre,Dr. Dre,Featuring Snoop Dogg & Akon,s,Kush,235,0,2010,168,h,17,1,0,1,34,12/4/2010,12/11/2010 0:00,7,0.347826087,1,2,Kush,-2.142857143,12/5/2010,Kush,56135,81316,1.448579318,25181,0,0,dr._dre,18,23,53,47,46,53,95,56,53,8,49,TRUE
3704,21505,John Mayer,John Mayer,,Battle Studies (Deluxe Version),Half Of My Heart,250,0,2010,169,h,16,5,0,1,35,6/26/2010,8/28/2010 0:00,63,0.34989648,1,2,Half Of My Heart,-1.857142857,6/27/2010,Half Of My Heart,39938,28231,0.70687065,-11707,0,1,john_mayer,39,39,40,41,42,43,43,47,49,0.8,25,TRUE
3705,21505,John Mayer,John Mayer,,Battle Studies (Deluxe Version),Half Of My Heart,250,0,2010,169,h,16,5,0,1,35,6/26/2010,8/28/2010 0:00,63,0.34989648,1,2,Half Of My Heart,-1.857142857,6/27/2010,Half Of My Heart,39938,28231,0.70687065,-11707,0,1,john_mayer,39,39,40,41,42,43,43,47,49,0.8,88,TRUE
3707,39805,Young Jeezy,Young Jeezy,Featuring Plies,s,Lose My Mind,244,1,2010,171,h,15,1,0,1,35,5/22/2010,5/22/2010 0:00,0,0.354037267,1,1,Lose My Mind,1.285714286,5/23/2010,Lose My Mind,19284,30763,1.595260319,11479,1,1,young_jeezy,49,64,71,71,68,72,70,64,65,4.5,35,TRUE
3709,16220,Glee Cast,Glee Cast,Featuring Jonathan Groff & Lea Michele,"Glee - The Music, Vol. 3 - Showstoppers",Hello,209,0,2010,173,h,1,1,0,1,35,5/1/2010,5/1/2010 0:00,0,0.358178054,1,0,Hello,0,4/24/2011,Hello,9549,10919,1.14347052,1370,1,1,glee_cast,21,47,56,88,69,68,82,79,95,13.7,35,TRUE
3710,16220,Glee Cast,Glee Cast,Featuring Jonathan Groff & Lea Michele,"Glee - The Music, Vol. 3 - Showstoppers",Hello,209,0,2010,173,h,1,1,0,1,35,5/1/2010,5/1/2010 0:00,0,0.358178054,1,0,Hello,-1.714285714,4/24/2011,Hello,9549,10919,1.14347052,1370,0,1,glee_cast,21,47,56,88,69,68,82,79,95,13.7,35,FALSE
3716,25430,Luke Bryan,Luke Bryan,,Doin' My Thing,Rain Is A Good Thing,176,0,2010,179,h,20,3,0,1,37,4/10/2010,7/31/2010 0:00,112,0.370600414,1,2,Rain Is A Good Thing,-1.714285714,4/11/2010,Rain Is A Good Thing,3730,3586,0.961394102,-144,0,1,luke_bryan,15,15,15,14,16,16,22,20,19,0.1,91,FALSE
3718,9354,Darius Rucker,Darius Rucker,,s,Come Back Song,234,0,2010,181,h,20,1,0,1,37,7/31/2010,10/30/2010 0:00,91,0.374741201,1,2,Come Back Song,2.571428571,8/1/2010,Come Back Song,3494,7952,2.275901546,4458,1,1,darius_rucker,13,13,16,18,18,20,18,19,23,1.5,67,TRUE
3719,5037,Blake Shelton,Blake Shelton,,s,All About Tonight,205,0,2010,182,h,19,1,0,1,37,7/3/2010,8/28/2010 0:00,56,0.376811594,1,2,All About Tonight,-0.142857143,7/4/2010,All About Tonight,5495,4234,0.770518653,-1261,1,1,blake_shelton,11,12,13,11,12,12,13,13,12,0.1,98,FALSE
3720,35179,Spose,Spose,,s,I'm Awesome,249,1,2010,183,h,9,1,0,1,37,4/3/2010,4/24/2010 0:00,21,0.378881988,1,1,I'm Awesome,-1,4/4/2010,I'm Awesome,54,6797,125.8703704,6743,0,1,spose,11,28,47,56,78,92,100,88,81,16.2,54,TRUE
3721,23371,Kings Of Leon,Kings Of Leon,,s,Radioactive,207,0,2010,184,h,5,1,0,1,37,10/2/2010,10/2/2010 0:00,0,0.380952381,1,1,Radioactive,0.714285714,10/3/2010,Radioactive,50467,68344,1.354231478,17877,1,1,kings_of_leon,30,37,42,38,36,36,37,50,54,1.3,37,FALSE
3722,23371,Kings Of Leon,Kings Of Leon,,s,Radioactive,207,0,2010,184,h,5,1,0,1,37,10/2/2010,10/2/2010 0:00,0,0.380952381,1,1,Radioactive,0.714285714,8/19/2012,Radioactive,13357,21322,1.596316538,7965,0,1,kings_of_leon,30,37,42,38,36,36,37,50,54,1.3,37,TRUE
3723,23371,Kings Of Leon,Kings Of Leon,,s,Radioactive,207,0,2010,184,h,5,1,0,1,37,10/2/2010,10/2/2010 0:00,0,0.380952381,1,1,Radioactive,8.285714286,10/3/2010,Radioactive,50467,68344,1.354231478,17877,0,0,kings_of_leon,30,37,42,38,36,36,37,50,54,1.3,37,TRUE
3724,23371,Kings Of Leon,Kings Of Leon,,s,Radioactive,207,0,2010,184,h,5,1,0,1,37,10/2/2010,10/2/2010 0:00,0,0.380952381,1,1,Radioactive,8.285714286,8/19/2012,Radioactive,13357,21322,1.596316538,7965,1,1,kings_of_leon,30,37,42,38,36,36,37,50,54,1.3,37,TRUE
3732,19970,Jason Aldean,Jason Aldean,,My Kinda Party,My Kinda Party,288,0,2010,192,h,20,1,0,1,39,9/11/2010,12/25/2010 0:00,105,0.397515528,1,2,My Kinda Party,1.571428571,9/12/2010,My Kinda Party,7191,6859,0.953831178,-332,1,1,jason_aldean,14,15,16,18,19,20,20,21,23,1.3,54,FALSE
3737,16227,Glee Cast,Glee Cast,,"Glee: The Music, Vol. 4",Just The Way You Are,216,0,2010,197,h,1,1,0,1,40,12/11/2010,12/11/2010 0:00,0,0.407867495,2,0,Just The Way You Are,-1,8/8/2010,Just The Way You Are,39524,93933,2.376606619,54409,0,0,glee_cast,61,92,93,91,96,80,63,40,44,6.9,40,TRUE
3739,4120,Billy Currington,Billy Currington,,s,Pretty Good At Drinkin' Beer,178,0,2010,199,h,20,0,0,1,41,6/19/2010,9/18/2010 0:00,91,0.412008282,2,2,Pretty Good At Drinkin' Beer,-0.428571429,6/20/2010,Pretty Good At Drinkin' Beer,3082,3034,0.984425698,-48,1,1,billy_currington,25,26,30,32,31,31,34,37,38,1.8,83,TRUE
3765,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,-5,2/7/2010,Hallelujah,24606,62962,2.558806795,38356,1,1,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3766,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,-5,12/1/2013,Hallelujah,1,8,8,7,1,1,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3767,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,4.571428571,2/7/2010,Hallelujah,24606,62962,2.558806795,38356,1,1,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3768,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,4.571428571,12/1/2013,Hallelujah,1,8,8,7,0,0,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3769,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,7,2/7/2010,Hallelujah,24606,62962,2.558806795,38356,0,0,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3770,23964,Lee DeWyze,Lee DeWyze,,s,Hallelujah,219,0,2010,218,h,2,0,0,1,44,6/12/2010,6/12/2010 0:00,0,0.451345756,2,0,Hallelujah,7,12/1/2013,Hallelujah,1,8,8,7,0,0,lee_dewyze,28,94,100,40,21,13,12,10,10,-6.8,44,TRUE
3772,23961,Lee Brice,Lee Brice,,Love Like Crazy - EP,Love Like Crazy,217,0,2010,220,h,20,0,0,1,45,5/22/2010,7/31/2010 0:00,70,0.455486542,2,2,Love Like Crazy,-0.714285714,5/23/2010,Love Like Crazy,902,1072,1.188470067,170,0,0,lee_brice,14,16,16,17,19,20,19,24,31,1.1,97,FALSE
3774,32956,Roscoe Dash,Roscoe Dash,Featuring Soulja Boy Tell'em,,All The Way Turnt Up,295,0,2010,222,h,12,0,0,1,46,2/13/2010,3/20/2010 0:00,35,0.459627329,2,1,All The Way Turnt Up,-1.142857143,2/14/2010,All The Way Turnt Up,832,1414,1.699519231,582,1,1,roscoe_dash,8,10,10,10,13,18,26,26,34,1,100,TRUE
3775,15575,General Larry Platt,General Larry Platt,,EP,Pants On The Ground,210,0,2010,223,h,3,0,0,1,46,2/27/2010,2/27/2010 0:00,0,0.461697723,2,0,Pants On The Ground,2,2/28/2010,Pants On The Ground,9840,430,0.043699187,-9410,0,0,general_larry_platt,28,30,15,27,15,15,0,0,0,-2.9,46,TRUE
3776,32704,Rodney Atkins,Rodney Atkins,,s,Farmer's Daughter,210,0,2010,224,h,21,0,0,1,47,7/3/2010,11/6/2010 0:00,126,0.463768116,2,3,Farmer's Daughter,0.285714286,7/4/2010,Farmer's Daughter,1551,1652,1.065119278,101,0,0,rodney_atkins,24,17,18,22,26,29,29,29,28,0.9,96,TRUE
3780,8466,Colbie Caillat,Colbie Caillat,,Breakthrough (Deluxe Version),I Never Told You,233,0,2010,228,h,20,0,0,1,48,4/10/2010,7/24/2010 0:00,105,0.472049689,2,2,I Never Told You,-0.285714286,4/11/2010,I Never Told You,12950,12037,0.929498069,-913,1,1,colbie_caillat,56,60,59,59,57,70,72,74,76,0.1,99,TRUE
3784,24941,Lloyd Banks,Lloyd Banks,Featuring Juelz Santana,s,"Beamer, Benz, Or Bentley",207,1,2010,232,h,16,0,0,1,49,2/27/2010,5/15/2010 0:00,77,0.480331263,2,2,"Beamer, Benz, Or Bentley",2.142857143,2/28/2010,"Beamer, Benz, Or Bentley",10638,17822,1.675314909,7184,1,1,lloyd_banks,30,39,58,54,60,58,62,85,86,7.5,76,FALSE
3786,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,-2.857142857,12/1/2013,Up All Night,732,806,1.101092896,74,0,1,drake,50,53,53,55,55,51,48,46,42,1.2,49,TRUE
3787,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,-2.857142857,7/31/2011,Up All Night,48202,65939,1.367972283,17737,0,0,drake,50,53,53,55,55,51,48,46,42,1.2,49,TRUE
3788,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,5.857142857,12/1/2013,Up All Night,732,806,1.101092896,74,0,0,drake,50,53,53,55,55,51,48,46,42,1.2,49,TRUE
3789,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,5.857142857,7/31/2011,Up All Night,48202,65939,1.367972283,17737,1,1,drake,50,53,53,55,55,51,48,46,42,1.2,49,FALSE
3790,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,0.142857143,12/1/2013,Up All Night,732,806,1.101092896,74,0,1,drake,50,53,53,55,55,51,48,46,42,1.2,49,TRUE
3791,11349,Drake,Drake,Featuring Nicki Minaj,Thank Me Later,Up All Night,234,1,2010,234,h,2,0,0,1,49,7/3/2010,7/3/2010 0:00,0,0.48447205,2,0,Up All Night,0.142857143,7/31/2011,Up All Night,48202,65939,1.367972283,17737,1,1,drake,50,53,53,55,55,51,48,46,42,1.2,49,TRUE
3799,2434,Auburn,Auburn,Featuring Iyaz,s,La La La,192,0,2010,242,h,13,0,0,1,51,7/31/2010,8/14/2010 0:00,14,0.501035197,2,1,La La La,-2.285714286,3/9/2014,La La La,6015,7232,1.202327515,1217,1,1,auburn,11,14,17,20,22,24,27,26,27,2.8,74,FALSE
3800,2434,Auburn,Auburn,Featuring Iyaz,s,La La La,192,0,2010,242,h,13,0,0,1,51,7/31/2010,8/14/2010 0:00,14,0.501035197,2,1,La La La,-1.857142857,3/9/2014,La La La,6015,7232,1.202327515,1217,1,1,auburn,11,14,17,20,22,24,27,26,27,2.8,74,TRUE
3808,8281,Clay Walker,Clay Walker,,s,She Won't Be Lonely Long,207,0,2010,249,h,18,0,0,1,53,4/17/2010,7/3/2010 0:00,77,0.51552795,2,2,She Won't Be Lonely Long,-0.857142857,4/18/2010,She Won't Be Lonely Long,2315,2161,0.933477322,-154,0,1,clay_walker,48,56,49,55,57,67,71,67,69,1.7,99,TRUE
3810,16910,Gucci Mane,Gucci Mane,,The State vs. Radric Davis (Deluxe Version),Lemonade,245,0,2010,251,h,12,0,0,1,53,2/20/2010,4/10/2010 0:00,49,0.519668737,2,1,Lemonade,-1.714285714,2/21/2010,Lemonade,63016,58140,0.922622826,-4876,0,1,gucci_mane,73,72,70,66,65,62,66,62,84,-2.2,93,TRUE
3817,27281,Miranda Cosgrove,Miranda Cosgrove,,s,Kissin U,198,0,2010,258,h,15,0,0,1,54,4/24/2010,5/15/2010 0:00,21,0.534161491,2,1,Kissin U,0.5,4/25/2010,Kissin U,51607,69710,1.350785746,18103,0,1,miranda_cosgrove,42,40,50,47,57,86,63,46,41,3.7,87,TRUE
3827,11746,Easton Corbin,Easton Corbin,,Easton Corbin,Roll With It,207,0,2010,268,h,19,0,0,1,55,7/31/2010,10/30/2010 0:00,91,0.554865424,2,2,Roll With It,-0.142857143,8/1/2010,Roll With It,1860,3422,1.839784946,1562,0,0,easton_corbin,37,41,41,49,42,48,51,49,51,1.8,98,FALSE
3828,26856,Michael Buble,Michael Buble,,s,Hollywood,253,0,2010,269,h,2,0,0,1,55,9/25/2010,9/25/2010 0:00,0,0.556935818,2,0,Hollywood,0.714285714,9/26/2010,Hollywood,3682,4083,1.108908202,401,0,0,michael_buble,28,29,33,31,30,39,33,34,33,0.6,55,TRUE
3832,39820,Young Money,Young Money,,We Are Young Money,Roger That,209,1,2010,272,h,11,0,0,1,56,4/10/2010,5/15/2010 0:00,35,0.563146998,2,1,Roger That,-0.857142857,4/11/2010,Roger That,15835,15341,0.968803284,-494,0,1,young_money,90,94,96,92,88,78,73,67,66,-0.6,86,TRUE
3853,24768,Little Big Town,Little Big Town,,s,Little White Church,186,0,2010,291,h,20,0,0,1,59,6/19/2010,9/11/2010 0:00,84,0.602484472,3,2,Little White Church,-1,6/20/2010,Little White Church,1991,3083,1.548468106,1092,0,1,little_big_town,10,9,13,11,14,13,15,13,16,1,94,FALSE
3854,22280,Josh Turner,Josh Turner,,Haywire (Deluxe Edition),All Over Me,199,0,2010,292,h,18,0,0,1,59,7/17/2010,10/23/2010 0:00,98,0.604554865,3,2,All Over Me,-0.857142857,7/18/2010,All Over Me,2172,3159,1.45441989,987,0,1,josh_turner,28,28,30,30,32,30,30,32,30,1,97,FALSE
3858,22960,Keith Urban,Keith Urban,,,I'm In,273,0,2010,296,h,15,0,0,1,60,6/19/2010,9/4/2010 0:00,77,0.612836439,3,1,I'm In,-1.285714286,6/20/2010,I'm In,12553,10724,0.854297777,-1829,1,1,keith_urban,46,44,47,54,47,53,46,44,44,1.2,94,TRUE
3859,22960,Keith Urban,Keith Urban,,,I'm In,273,0,2010,296,h,15,0,0,1,60,6/19/2010,9/4/2010 0:00,77,0.612836439,3,1,I'm In,-1.285714286,6/20/2010,I'm In,12553,10724,0.854297777,-1829,1,1,keith_urban,46,44,47,54,47,53,46,44,44,1.2,91,TRUE
3860,20120,Jazmine Sullivan,Jazmine Sullivan,,s,Holding You Down (Goin In Circles),217,0,2010,297,h,12,0,0,1,60,9/11/2010,11/6/2010 0:00,56,0.614906832,3,1,Holding You Down (Goin In Circles),-1.428571429,9/12/2010,Holding You Down (Goin In Circles),6906,10907,1.579351289,4001,1,1,jazmine_sullivan,43,42,45,74,67,66,64,66,63,8,98,TRUE
3866,30717,Pitbull,Pitbull,,Armando (Deluxe Version),Bon Bon,215,0,2010,303,h,5,0,0,1,61,11/20/2010,11/20/2010 0:00,0,0.627329193,3,1,Bon Bon,3.428571429,11/21/2010,Bon Bon,8265,7404,0.895825771,-861,0,1,pitbull,43,42,46,49,46,45,41,42,41,1.3,61,TRUE
3870,38914,Waka Flocka Flame,Waka Flocka Flame,,s,O Let's Do It,281,1,2010,307,h,11,0,0,1,62,2/27/2010,4/3/2010 0:00,35,0.635610766,3,1,O Let's Do It,0,2/28/2010,O Let's Do It,43357,34866,0.804160804,-8491,0,0,waka_flocka_flame,55,50,43,52,53,65,54,56,60,-0.2,95,FALSE
3871,24485,Lil Jon,Lil Jon,Featuring 3OH!3,Crunk Rock,Hey,215,1,2010,308,h,2,0,0,1,62,6/26/2010,7/3/2010 0:00,7,0.637681159,3,0,Hey,-1.142857143,6/27/2010,Hey,17278,14710,0.851371687,-2568,0,0,lil_jon,80,81,96,87,90,92,91,89,88,2.6,70,FALSE
3873,15824,George Strait,George Strait,,Twang,The Breath You Take,215,0,2010,310,h,20,0,0,1,63,9/18/2010,11/27/2010 0:00,70,0.641821946,3,2,The Breath You Take,-0.571428571,9/19/2010,The Breath You Take,13085,14453,1.104547191,1368,0,0,george_strait,40,45,45,49,43,50,44,44,47,1,95,TRUE
3874,23571,Kris Allen,Kris Allen,,s,Let It Be,189,0,2010,311,h,2,0,0,1,63,3/13/2010,3/13/2010 0:00,0,0.64389234,3,0,Let It Be,1,3/14/2010,Let It Be,31050,25808,0.831175523,-5242,0,0,kris_allen,7,6,9,9,7,6,5,6,4,0.3,63,TRUE
3875,23571,Kris Allen,Kris Allen,,s,Let It Be,189,0,2010,311,h,2,0,0,1,63,3/13/2010,3/13/2010 0:00,0,0.64389234,3,0,Let It Be,1,2/14/2010,Let It Be,15250,22817,1.496196721,7567,1,1,kris_allen,7,6,9,9,7,6,5,6,4,0.3,63,TRUE
3876,23571,Kris Allen,Kris Allen,,s,Let It Be,189,0,2010,311,h,2,0,0,1,63,3/13/2010,3/13/2010 0:00,0,0.64389234,3,0,Let It Be,1,12/30/2012,Let It Be,1879,1441,0.766897286,-438,1,1,kris_allen,7,6,9,9,7,6,5,6,4,0.3,63,TRUE
3890,12965,Eric Church,Eric Church,,Carolina,Hell On The Heart,164,0,2010,324,h,12,0,0,1,67,3/20/2010,5/15/2010 0:00,56,0.670807453,3,1,Hell On The Heart,-2.142857143,3/21/2010,Hell On The Heart,2309,2500,1.082719792,191,0,1,eric_church,15,17,19,21,18,23,20,19,22,1,100,FALSE
3892,38307,V V Brown,V V Brown,,Traveling Like The Light,Shark In The Water,184,0,2010,326,h,6,0,0,1,67,6/19/2010,7/10/2010 0:00,21,0.67494824,3,1,Shark In The Water,-2,6/20/2010,Shark In The Water,257,244,0.949416342,-13,0,1,v_v_brown,47,80,77,100,98,95,75,64,55,12.2,97,TRUE
3897,35352,Steel Magnolia,Steel Magnolia,,Valentine's Day (OST),Keep On Lovin' You,182,0,2010,330,h,15,0,0,2,68,3/20/2010,5/29/2010 0:00,70,0.683229814,3,1,Keep On Lovin' You,-1.571428571,3/21/2010,Keep On Lovin' You,1177,1223,1.039082413,46,0,0,steel_magnolia,49,54,45,54,43,47,44,55,36,-1.2,99,TRUE
3900,28242,New Boyz,New Boyz,Featuring Iyaz,s,Break My Bank,177,1,2010,332,h,11,0,0,1,68,7/31/2010,9/18/2010 0:00,49,0.6873706,3,1,Break My Bank,1.142857143,8/1/2010,Break My Bank,6962,14422,2.071531169,7460,0,1,new_boyz,46,55,48,50,51,47,46,48,46,0.5,71,FALSE
3901,22530,Justin Moore,Justin Moore,,Justin Moore (Bonus Track Version),Backwoods,157,0,2010,333,h,13,0,0,1,69,3/13/2010,5/15/2010 0:00,63,0.689440994,3,1,Backwoods,-0.571428571,3/14/2010,Backwoods,608,507,0.833881579,-101,0,1,justin_moore,40,36,36,40,41,43,38,37,43,0.6,100,TRUE
3923,16636,Godsmack,Godsmack,,s,Cryin' Like A Bitch,202,0,2010,354,h,3,0,0,1,74,3/20/2010,3/20/2010 0:00,0,0.732919255,3,0,Cryin' Like A Bitch,2.428571429,3/21/2010,Cryin' Like A Bitch,16433,16724,1.01770827,291,1,1,godsmack,58,62,64,62,63,61,63,60,66,1,74,FALSE
3924,32315,Ricky Martin,Ricky Martin,Featuring Natalia Jimenez,s,Lo Mejor De Mi Vida Eres Tu/The Best Thing About Me Is You,216,0,2010,355,h,2,0,0,1,74,11/20/2010,11/20/2010 0:00,0,0.734989648,3,0,Lo Mejor De Mi Vida Eres Tu/The Best Thing About Me Is You,0.285714286,11/21/2010,Lo Mejor De Mi Vida Eres Tu/The Best Thing About Me Is You,22016,32529,1.477516352,10513,0,0,ricky_martin,22,24,56,46,35,30,31,29,27,4.8,74,TRUE
3939,5448,Bobby Brackins,Bobby Brackins,Featuring Ray J,s,143,206,1,2010,367,h,11,0,0,1,76,7/3/2010,8/28/2010 0:00,56,0.759834369,3,1,143,1.142857143,7/4/2010,143,654,34,0.051987768,-620,0,1,bobby_brackins,60,68,78,96,100,90,86,70,87,10.8,91,TRUE
3940,39133,WE the Kings,WE the Kings,Featuring Demi Lovato,Smile Kid,We'll Be A Dream,233,0,2010,368,h,6,0,0,1,76,7/17/2010,7/31/2010 0:00,14,0.761904762,3,1,We'll Be A Dream,-2,7/18/2010,We'll Be A Dream,5027,8971,1.784563358,3944,0,1,we_the_kings,52,56,51,53,53,56,58,49,51,-0.1,95,FALSE
3949,17246,Gyptian,Gyptian,,s,Hold You (Hold Yuh),233,0,2010,375,h,15,0,0,2,77,6/5/2010,7/24/2010 0:00,49,0.776397516,3,1,Hold You (Hold Yuh),0.142857143,6/6/2010,Hold You (Hold Yuh),2735,3942,1.441316271,1207,1,1,gyptian,83,85,98,100,94,96,97,93,92,3.7,96,TRUE
3958,36853,Three 6 Mafia,Three 6 Mafia,Vs. Tiesto With Sean Kingston & Flo Rida,s,Feel It,240,1,2010,384,h,2,0,0,1,78,3/20/2010,3/20/2010 0:00,0,0.795031056,3,0,Feel It,2.142857143,3/21/2010,Feel It,16246,17107,1.052997661,861,0,0,three_6_mafia,57,64,66,58,68,63,53,50,55,1.6,78,TRUE
3964,39779,Yo Gotti,Yo Gotti,Featuring Lil Wayne,,"Women Lie, Men Lie",216,1,2010,390,h,7,0,0,1,81,3/13/2010,3/27/2010 0:00,14,0.807453416,4,1,"Women Lie, Men Lie",-0.714285714,3/14/2010,"Women Lie, Men Lie",12044,12669,1.051893059,625,0,0,yo_gotti,47,43,51,53,55,56,55,55,55,2.6,93,TRUE
3971,22590,K'Naan,K'Naan,,Troubadour,Wavin' Flag,212,0,2010,397,h,6,0,0,1,82,6/26/2010,7/3/2010 0:00,7,0.82194617,4,1,Wavin' Flag,-1,6/27/2010,Wavin' Flag,44550,51740,1.161391695,7190,1,1,k'naan,45,46,84,100,71,60,67,61,34,10.6,99,TRUE
3972,22590,K'Naan,K'Naan,,Troubadour,Wavin' Flag,212,0,2010,397,h,6,0,0,1,82,6/26/2010,7/3/2010 0:00,7,0.82194617,4,1,Wavin' Flag,-1,6/27/2010,Wavin' Flag,44550,51740,1.161391695,7190,1,1,k'naan,45,46,84,100,71,60,67,61,34,10.6,89,FALSE
