artist_name,artist_name_clean,artist_name_underscore,artist_name_query,artist_name_dash
Empire Cast,Empire Cast,empire_cast,empire+cast,empire-cast
Florence + The Machine,Florence + The Machine,florence_+_the_machine,florence+++the+machine,florence-+-the-machine
Wiz Khalifa,Wiz Khalifa,wiz_khalifa,wiz+khalifa,wiz-khalifa
Zedd,Zedd,zedd,zedd,zedd
Kid Rock,Kid Rock,kid_rock,kid+rock,kid-rock
Tori Kelly,Tori Kelly,tori_kelly,tori+kelly,tori-kelly
A Thousand Horses,A Thousand Horses,a_thousand_horses,a+thousand+horses,a-thousand-horses
Keith Urban,Keith Urban,keith_urban,keith+urban,keith-urban
Silento,Silento,silento,silento,silento
Carly Rae Jepsen,Carly Rae Jepsen,carly_rae_jepsen,carly+rae+jepsen,carly-rae-jepsen
Billy Currington,Billy Currington,billy_currington,billy+currington,billy-currington
Cashmere Cat,Cashmere Cat,cashmere_cat,cashmere+cat,cashmere-cat
Eric Paslay,Eric Paslay,eric_paslay,eric+paslay,eric-paslay
Meek Mill,Meek Mill,meek_mill,meek+mill,meek-mill
Skrillex,Skrillex,skrillex,skrillex,skrillex
Mumford & Sons,Mumford & Sons,mumford_&_sons,mumford+&+sons,mumford-&-sons
Jason DeRulo,Jason DeRulo,jason_derulo,jason+derulo,jason-derulo
LunchMoney Lewis,LunchMoney Lewis,lunchmoney_lewis,lunchmoney+lewis,lunchmoney-lewis
Echosmith,Echosmith,echosmith,echosmith,echosmith
Carrie Underwood,Carrie Underwood,carrie_underwood,carrie+underwood,carrie-underwood
