"Kid Ink, Tyga, Wale, YG &amp; Rich Homie Quan ",Kid Ink,Tyga,Wale,YG ,Rich Homie Quan ,Ride Out,,70,84,97,,,,,,,,,,,
Billy Currington ,Billy Currington ,,,,,Dont It,72,65,60,54,48,44,48,52,50,49,66,66,72,83,87
Echosmith ,Echosmith ,,,,,Bright,88,76,70,60,57,50,45,50,42,40,43,45,51,59,60
Nicki Minaj Featuring Beyonce ,Nicki Minaj ,Beyonce ,,,,Feeling Myself,85,80,95,,100,,,39,,,,,,,
DJ Snake &amp; AlunaGeorge ,DJ Snake ,AlunaGeorge ,,,,You Know You Like It,83,67,55,39,26,22,18,18,15,14,13,18,19,23,25
O.T. Genasis ,O.T. Genasis ,,,,,CoCo,79,,,,,,,,,,,,,,
Taylor Swift ,Taylor Swift ,,,,,Shake It Off,26,27,32,33,34,35,34,34,39,38,39,40,39,46,50
Nick Fradiani ,Nick Fradiani ,,,,,Beautiful Life,,,,,,,93,,,,,,,,
T-Wayne ,T-Wayne ,,,,,Nasty Freestyle,,,43,17,9,11,9,10,10,13,18,23,25,30,36
Vance Joy ,Vance Joy ,,,,,Riptide,40,38,42,50,,,,,,,,,,,
Janet ,Janet ,,,,,No Sleeep,,,,,,,,,,,,,67,,
Prince Royce Featuring Jennifer Lopez &amp; Pitbull ,Prince Royce ,Jennifer Lopez ,Pitbull ,,,Back It Up,,,,,,,,,,,92,,,,
Zedd Featuring Selena Gomez ,Zedd ,Selena Gomez ,,,,I Want You To Know,27,29,30,34,46,63,72,69,85,93,95,,,,
Kendrick Lamar ,Kendrick Lamar ,,,,,King Kunta,61,58,68,66,72,80,83,90,98,,,,,,
David Guetta Featuring Nicki Minaj &amp; Afrojack ,David Guetta ,Nicki Minaj ,Afrojack ,,,Hey Mama,56,44,27,19,14,13,11,8,8,8,9,8,10,9,10
Hilary Duff ,Hilary Duff ,,,,,Sparks,,,,,,,,,,,,93,,,
Sam Smith ,Sam Smith ,,,,,Lay Me Down,20,20,20,21,23,28,38,56,63,72,75,77,,,
Nicki Minaj Featuring Drake &amp; Lil Wayne ,Nicki Minaj ,Drake ,Lil Wayne ,,,Truffle Butter,18,18,22,27,32,37,46,55,60,65,,,,,
"Nicki Minaj Featuring Drake, Lil Wayne &amp; Chris Brown ",Nicki Minaj ,Drake,Lil Wayne ,Chris Brown ,,Only,38,41,48,,,,,,,,,,,,
Eric Church ,Eric Church ,,,,,Like A Wrecking Ball,96,93,86,88,78,77,79,75,73,64,53,53,54,54,52
Rachel Platten ,Rachel Platten ,,,,,Fight Song,,,80,71,50,53,28,30,36,25,19,13,14,10,8
Taylor Swift ,Taylor Swift ,,,,,Blank Space,17,19,23,24,25,26,29,32,35,37,42,42,45,50,
Tim McGraw With Catherine Dunn ,Tim McGraw ,Catherine Dunn ,,,,Diamond Rings And Old Barstools,93,90,85,80,76,75,82,85,68,68,64,56,55,74,83
Ellie Goulding ,Ellie Goulding ,,,,,Love Me Like You Do,3,7,6,6,7,7,8,11,13,17,22,24,26,28,33
Ne-Yo Featuring Juicy J ,Ne-Yo ,Juicy J ,,,,She Knows,55,,,,,,,,,,,,,,
Natalie La Rose Featuring Jeremih ,Natalie La Rose ,Jeremih ,,,,Somebody,11,11,10,11,12,12,16,19,23,28,31,37,42,44,49
Drake ,Drake ,,,,,Know Yourself,59,53,57,61,62,68,75,79,82,80,80,86,87,94,
Beyonce ,Beyonce ,,,,,7_11,49,,,,,,,,,,,,,,
Major Lazer X DJ Snake Featuring M0 ,Major Lazer X DJ Snake ,M0 ,,,,Lean On,,100,87,72,59,52,36,33,24,22,20,17,13,18,17
Keith Urban Featuring Eric Church ,Keith Urban ,Eric Church ,,,,Raise Em Up,71,68,62,57,56,56,65,84,99,,,,,,
"DJ Khaled Featuring Chris Brown, Lil Wayne &amp; Big Sean ",DJ Khaled ,Chris Brown,Lil Wayne ,Big Sean ,,How Many Times,,,,,,,74,89,81,77,74,68,75,80,81
Keith Urban ,Keith Urban ,,,,,"John Cougar, John Deere, John 3:16",,,,,,,,,,,86,85,76,73,65
Sawyer Fredericks ,Sawyer Fredericks ,,,,,Imagine,,,98,,,,,,,,,,,,
Nick Jonas ,Nick Jonas ,,,,,Jealous,44,48,49,,,,,,,,,,,,
Sam Smith ,Sam Smith ,,,,,Im Not The Only One,29,32,37,38,41,42,50,,,,,,,,
Kid Ink Featuring DeJ Loaf ,Kid Ink ,DeJ Loaf ,,,,Be Real,,,96,85,68,64,58,57,51,45,44,43,43,43,45
Sam Smith ,Sam Smith ,,,,,Stay With Me,42,49,50,,,,,,,,,,,,
