artist_name	id
1956 Original Soundtrack	98550058
Larry Keel	98693689
New York Voices	98956576
Hooray for Earth	99089696
El Goodo	99161092
Callers	99308285
Leopold & His Fiction	99344356
Alash Ensemble	99356570
Dear and the Headlights	99398585
Storyhill	99419375
Ed Reed	99456966
Watcha Clan	99482374
Erin McCarley	99766067
Hod O'Brien	99805685
Umalali	99877920
Faces on Film	100013093
Julia Douglass	100067846
Abe Vigoda	100207241
Larry Sparks	100242361
Tony Furtado	100282718
Amy Ray	100287725
Madeline	100289738
John Lilly	100332036
Peasant	100335892
Abigail Washburn & The Sparrow Quartet	100411574
Gliss	100433084
Colossal Yes	100521186
Kathy Mattea	100630919
Jbm	100645454
Casiotone for the Painfully Alone	100676141
The Asteroids Galaxy Tour	100785046
Laura Barrett	100828081
Balmorhea	100862718
I Was a King	100920484
Marcio Local	101055020
Olivier Slabiak	101057119
Schwervon!	101098019
Caroline Weeks	101143287
Marissa Nadler	101373524
Trentalange	101414862
Pree	101617810
Venice Is Sinking	101865633
Qqq	102189221
The Love Language	102340736
Twi the Humble Feather	102429609
Loxsly	102504681
Roger Boykin	102513249
Project Jenny, Project Jan	102564450
The Lee Boys	102708286
DM Stith	103131754
Kelleigh McKenzie	103206859
Greater California	103287469
Grayson Capps	103365814
Findlay Brown	103400540
Reagan Boggs	103400694
Dick Hyman	103450890
Andy Friedman & the Other Failures	103458668
The Peekers	103467576
The Mugs	103563998
Melissa Walker	104181902
Angus & Julia Stone	104308799
Roger Kellaway	104431504
Grady Tate	104700013
Shawn Camp	104848290
Alecia Nugent	104902996
Sherrie Maricle	105000768
The Biscuit Burners	105050872
Samantha Crain	105246569
Backyard Tire Fire	105587125
The Deep Vibration	105637432
Kevin Devine	105818156
Daryl Sherman	105952483
The Dixie Bee-Liners	106091046
Rocco Deluca	106595065
Yarn	106684418
Meaghan Smith	106728889
The Lovell Sisters	106881323
Los Amigos Invisibles	111730883
Matt Kanelos	111809742
Jeremy Siskind	111892089
Pela	112287184
Among the Oak & Ash	112924921
Acoustic Strawbs	113088438
Dave Alvin & the Guilty Women	113133159
Anita Joshua	113502678
Dafnis Prieto	113538295
The Noisettes	113625863
Jason Isbell & the 400 Unit	113940902
Poco	114088191
The Proclaimers	114218658
