show_id,artist,artist_id,title,show,storyDate,pubDate,lastModifiedDate,link
141076955,Madonna,15402600,Madonna At The Super Bowl: 7 Songs We Hope She Plays,The Record,2011-10-05 16:30:00,2012-11-08 21:22:00,2012-11-08 21:22:27,http://www.npr.org/sections/therecord/2011/10/05/141076955/madonna-at-the-super-bowl-7-songs-we-hope-she-plays?ft=nprml&f=15402600
129588405,Madonna,15402600,"Icons, Inspirations, Women In Music — And You",The Record,2010-09-02 15:15:00,2013-07-31 16:22:00,2013-07-31 16:22:53,http://www.npr.org/sections/therecord/2010/09/01/129588405/?ft=nprml&f=15402600
98605340,Madonna,15402600,A Wintry Mix Without The Mistletoe,Music Articles,2008-12-22 19:40:00,2012-12-12 16:59:00,2012-12-12 16:59:41,http://www.npr.org/templates/story/story.php?storyId=98605340&ft=nprml&f=15402600
90468212,Madonna,15402600,"Two Divas, Both Alike in Mononyms",Music Articles,2008-05-15 14:48:00,2012-12-12 16:42:00,2012-12-12 16:42:41,http://www.npr.org/templates/story/story.php?storyId=90468212&ft=nprml&f=15402600
90025168,Madonna,15402600,"Madonna, Santogold Make Dance Records",Music Articles,2008-04-29 11:00:00,2012-12-12 16:41:00,2012-12-12 16:41:17,http://www.npr.org/templates/story/story.php?storyId=90025168&ft=nprml&f=15402600
89948317,Madonna,15402600,Madonna Indulges with 'Hard Candy',Music Articles,2008-04-25 18:49:00,2012-12-12 16:41:00,2012-12-12 16:41:07,http://www.npr.org/templates/story/story.php?storyId=89948317&ft=nprml&f=15402600
417426717,Kendrick Lamar,166009689,NPR Music's 25 Favorite Albums Of 2015 (So Far),Music Articles,2015-06-29 10:03:00,2015-07-15 13:46:00,2015-07-15 13:46:36,http://www.npr.org/2015/06/29/417426717/npr-musics-25-favorite-albums-of-2015-so-far?ft=nprml&f=166009689
123572506,The Fray,15669215,The Fray: Piano-Pop For Medical Dramas,World Cafe,2010-02-11 19:50:00,2010-02-11 21:43:00,2011-03-04 16:08:27,http://www.npr.org/templates/story/story.php?storyId=123572506&ft=nprml&f=15669215
5055712,The Fray,15669215,"The Fray, a Mile Above It All in Denver",World Cafe,2006-12-04 05:00:00,2012-12-12 15:43:00,2012-12-12 15:43:50,http://www.npr.org/templates/story/story.php?storyId=5055712&ft=nprml&f=15669215
371914975,John Legend,15838633,Top 10 Top 40 For 2014,The Record,2014-12-22 13:03:00,2014-12-30 17:17:00,2014-12-30 15:02:29,http://www.npr.org/sections/therecord/2014/12/22/371914975/top-10-top-40-for-2014?ft=nprml&f=15838633
346394576,John Legend,15838633,Song Premiere: Barbra Streisand And John Legend Together,All Songs Considered,2014-09-08 15:30:00,2014-10-29 16:11:00,2014-10-29 16:11:36,http://www.npr.org/sections/allsongs/2014/09/08/346394576/song-premiere-barbra-streisand-and-john-legend-together?ft=nprml&f=15838633
345294360,John Legend,15838633,KCRW Presents: John Legend,Favorite Sessions,2014-09-04 17:26:00,2014-09-04 17:26:00,2014-09-04 17:26:18,http://www.npr.org/event/music/345294360/kcrw-presents-john-legend?ft=nprml&f=15838633
245218626,John Legend,15838633,John Legend: Tiny Desk Concert,Tiny Desk,2013-11-16 13:00:00,2013-12-23 19:28:00,2013-12-23 19:28:43,http://www.npr.org/event/music/245218626/john-legend-tiny-desk-concert?ft=nprml&f=15838633
