artist,AB,ACT,AK,AL,AR,AZ,Australia,BC,CA,CO,CT,Canada,Concert,DC,DE,FL,Festival,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MB,MD,ME,MI,MN,MO,MS,MT,NB,NC,ND,NE,NH,NJ,NL,NM,NS,NSW,NT,NV,NY,OH,OK,ON,OR,PA,QC,QLD,RI,SA,SC,SD,SK,TAS,TN,TX,US,UT,VA,VIC,VT,WA,WI,WV,WY,headline,total
Romeo Santos,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,1.0,2.0,1.0,144.0,4.0,0.0,11.0,5.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.0,149
Sick Puppies,2.0,0.0,7.0,5.0,1.0,3.0,0.0,1.0,23.0,8.0,3.0,10.0,346.0,2.0,4.0,20.0,45.0,6.0,0.0,8.0,5.0,16.0,11.0,2.0,6.0,5.0,9.0,0.0,4.0,3.0,15.0,4.0,11.0,1.0,4.0,0.0,9.0,5.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,6.0,17.0,12.0,7.0,4.0,5.0,10.0,2.0,0.0,3.0,0.0,1.0,5.0,1.0,0.0,3.0,22.0,341.0,4.0,5.0,0.0,4.0,10.0,9.0,1.0,3.0,233.0,391
Naughty Boy,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,36
Luke Bryan,5.0,0.0,0.0,22.0,6.0,5.0,0.0,4.0,25.0,6.0,0.0,21.0,527.0,7.0,1.0,40.0,64.0,29.0,0.0,6.0,5.0,25.0,14.0,8.0,12.0,10.0,9.0,2.0,5.0,2.0,10.0,13.0,23.0,4.0,0.0,0.0,20.0,6.0,3.0,5.0,6.0,0.0,4.0,0.0,0.0,0.0,3.0,25.0,27.0,11.0,7.0,3.0,19.0,0.0,0.0,8.0,0.0,8.0,7.0,3.0,0.0,31.0,33.0,559.0,4.0,13.0,0.0,1.0,9.0,18.0,3.0,5.0,341.0,591
John Legend,2.0,0.0,0.0,2.0,0.0,4.0,19.0,2.0,46.0,6.0,4.0,13.0,331.0,8.0,1.0,18.0,34.0,4.0,0.0,0.0,0.0,7.0,4.0,0.0,2.0,4.0,7.0,1.0,5.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,7.0,0.0,11.0,24.0,5.0,0.0,6.0,2.0,15.0,1.0,3.0,2.0,2.0,2.0,0.0,1.0,0.0,5.0,14.0,244.0,2.0,3.0,6.0,0.0,6.0,3.0,1.0,0.0,260.0,365
J. Cole,6.0,0.0,0.0,2.0,0.0,6.0,1.0,7.0,35.0,6.0,3.0,31.0,393.0,8.0,2.0,19.0,34.0,9.0,0.0,1.0,2.0,11.0,3.0,3.0,1.0,6.0,14.0,2.0,4.0,3.0,9.0,3.0,8.0,0.0,0.0,0.0,13.0,0.0,3.0,2.0,8.0,0.0,3.0,0.0,0.0,0.0,10.0,26.0,8.0,1.0,10.0,2.0,14.0,3.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,20.0,294.0,1.0,9.0,1.0,0.0,5.0,2.0,0.0,0.0,274.0,427
Orianthi,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,0.0,1.0,5.0,81.0,1.0,0.0,0.0,8.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,2.0,0.0,1.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,66.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,33.0,89
Arctic Monkeys,7.0,0.0,0.0,1.0,0.0,3.0,15.0,5.0,27.0,6.0,0.0,23.0,277.0,2.0,1.0,9.0,87.0,3.0,0.0,0.0,1.0,6.0,3.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,10.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,7.0,9.0,3.0,4.0,3.0,7.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,4.0,14.0,166.0,3.0,2.0,4.0,0.0,10.0,6.0,0.0,0.0,262.0,364
Baauer,3.0,2.0,0.0,1.0,1.0,4.0,15.0,6.0,21.0,5.0,0.0,19.0,194.0,5.0,0.0,15.0,74.0,4.0,0.0,2.0,1.0,5.0,4.0,1.0,1.0,2.0,6.0,1.0,0.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,31.0,11.0,2.0,1.0,8.0,4.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,14.0,173.0,0.0,1.0,3.0,1.0,10.0,3.0,0.0,0.0,125.0,268
Christina Perri,2.0,0.0,0.0,1.0,1.0,5.0,1.0,4.0,32.0,6.0,4.0,17.0,231.0,2.0,1.0,6.0,12.0,4.0,0.0,2.0,0.0,11.0,5.0,2.0,4.0,2.0,8.0,0.0,3.0,0.0,6.0,4.0,5.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,10.0,7.0,1.0,7.0,1.0,12.0,3.0,0.0,4.0,0.0,0.0,2.0,1.0,0.0,5.0,13.0,193.0,3.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,121.0,243
Enrique Iglesias,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,20.0,1.0,1.0,9.0,219.0,5.0,0.0,15.0,4.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,7.0,11.0,0.0,0.0,5.0,0.0,5.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,125.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,173.0,223
Sheryl Crow,3.0,0.0,0.0,3.0,1.0,2.0,0.0,2.0,41.0,6.0,3.0,9.0,286.0,7.0,1.0,15.0,31.0,4.0,0.0,2.0,1.0,16.0,5.0,2.0,1.0,2.0,5.0,0.0,3.0,1.0,10.0,6.0,3.0,0.0,0.0,0.0,9.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,8.0,12.0,12.0,3.0,2.0,4.0,11.0,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,20.0,15.0,276.0,4.0,6.0,0.0,0.0,5.0,9.0,1.0,2.0,206.0,317
John Mayer,2.0,0.0,0.0,3.0,0.0,3.0,12.0,1.0,44.0,5.0,1.0,11.0,247.0,4.0,0.0,9.0,21.0,4.0,0.0,0.0,0.0,9.0,2.0,2.0,2.0,3.0,5.0,1.0,3.0,0.0,5.0,2.0,3.0,0.0,1.0,0.0,5.0,1.0,2.0,1.0,4.0,0.0,1.0,0.0,4.0,0.0,2.0,14.0,6.0,3.0,5.0,1.0,10.0,1.0,2.0,3.0,1.0,3.0,0.0,1.0,0.0,5.0,8.0,191.0,1.0,4.0,4.0,0.0,5.0,3.0,0.0,0.0,243.0,268
Young Jeezy,2.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0,15.0,4.0,3.0,13.0,219.0,6.0,0.0,15.0,4.0,3.0,0.0,1.0,3.0,7.0,4.0,0.0,0.0,4.0,3.0,1.0,2.0,0.0,13.0,2.0,6.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,4.0,10.0,15.0,1.0,6.0,1.0,8.0,2.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,5.0,15.0,196.0,1.0,12.0,0.0,0.0,3.0,3.0,0.0,0.0,139.0,223
Spose,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,1.0,84.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,17.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,40.0,90
Steve Holy,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,1.0,0.0,28.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,37.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,19.0,37
Shinedown,6.0,0.0,1.0,9.0,4.0,3.0,6.0,4.0,5.0,7.0,1.0,32.0,320.0,5.0,2.0,20.0,97.0,6.0,1.0,4.0,6.0,14.0,7.0,3.0,4.0,7.0,7.0,3.0,5.0,3.0,18.0,7.0,14.0,1.0,2.0,1.0,14.0,5.0,3.0,3.0,7.0,2.0,1.0,1.0,2.0,0.0,5.0,17.0,13.0,8.0,8.0,2.0,18.0,3.0,0.0,7.0,1.0,3.0,3.0,4.0,0.0,9.0,20.0,339.0,2.0,6.0,2.0,1.0,10.0,13.0,2.0,2.0,261.0,417
Lloyd Banks,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,2.0,1.0,44.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.0,47
Rascal Flatts,2.0,0.0,0.0,6.0,1.0,5.0,3.0,0.0,24.0,5.0,0.0,21.0,387.0,9.0,2.0,20.0,37.0,10.0,0.0,2.0,2.0,12.0,11.0,5.0,8.0,4.0,9.0,1.0,5.0,1.0,10.0,5.0,12.0,0.0,1.0,0.0,14.0,2.0,4.0,2.0,5.0,0.0,7.0,0.0,1.0,0.0,21.0,14.0,25.0,7.0,16.0,1.0,17.0,0.0,1.0,9.0,0.0,1.0,6.0,2.0,0.0,38.0,21.0,392.0,2.0,8.0,1.0,0.0,4.0,8.0,4.0,3.0,352.0,424
One Direction,1.0,0.0,0.0,0.0,0.0,2.0,39.0,2.0,19.0,1.0,1.0,12.0,351.0,4.0,0.0,7.0,7.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,6.0,7.0,1.0,1.0,7.0,0.0,5.0,1.0,7.0,7.0,4.0,0.0,0.0,0.0,0.0,3.0,8.0,109.0,1.0,0.0,13.0,0.0,5.0,0.0,0.0,0.0,328.0,358
Jimmy Fallon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,18.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,18
B.o.B,2.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,32.0,1.0,0.0,9.0,217.0,6.0,2.0,14.0,24.0,12.0,0.0,1.0,0.0,9.0,4.0,2.0,1.0,1.0,6.0,0.0,3.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,3.0,3.0,0.0,2.0,0.0,2.0,0.0,3.0,17.0,6.0,0.0,5.0,1.0,10.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,11.0,186.0,1.0,3.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,241
Flo Rida,4.0,1.0,1.0,0.0,0.0,2.0,18.0,4.0,8.0,0.0,0.0,16.0,148.0,4.0,1.0,21.0,21.0,4.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,6.0,0.0,7.0,5.0,1.0,0.0,3.0,0.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,91.0,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,107.0,169
Big & Rich,3.0,0.0,0.0,3.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,10.0,36.0,1.0,0.0,2.0,17.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,42.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,1.0,33.0,53
Fabolous,1.0,1.0,0.0,0.0,0.0,1.0,12.0,0.0,6.0,3.0,3.0,6.0,162.0,3.0,0.0,11.0,5.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,10.0,36.0,2.0,0.0,3.0,2.0,7.0,1.0,4.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,128.0,2.0,2.0,2.0,0.0,5.0,1.0,0.0,0.0,103.0,167
New Hollow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17
