artist,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York_x,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington_x,West Virginia,Wisconsin,Wyoming,Abilene-Sweetwater TX,Albany GA,Albany-Schenectady-Troy NY,Albuquerque-Santa Fe NM,Alexandria LA,Alpena MI,Amarillo TX,Anchorage AK,Atlanta GA,Augusta GA,Austin TX,Bakersfield CA,Baltimore MD,Bangor ME,Baton Rouge LA,Beaumont-Port Arthur TX,Bend OR,Billings MT,Biloxi-Gulfport MS,Binghamton NY,Birmingham AL,Bluefield-Beckley-Oak Hill WV,Boise ID,Boston MA-Manchester NH,Bowling Green KY,Buffalo NY,Burlington VT-Plattsburgh NY,Butte-Bozeman MT,Casper-Riverton WY,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,Champaign & Springfield-Decatur IL,Charleston SC,Charleston-Huntington WV,Charlotte NC,Charlottesville VA,Chattanooga TN,Cheyenne WY-Scottsbluff NE,Chicago IL,Chico-Redding CA,Cincinnati OH,Clarksburg-Weston WV,Cleveland-Akron (Canton) OH,Colorado Springs-Pueblo CO,Columbia SC,Columbia-Jefferson City MO,Columbus GA,Columbus OH,Columbus-Tupelo-West Point MS,Corpus Christi TX,Dallas-Ft. Worth TX,Davenport IA-Rock Island-Moline IL,Dayton OH,Denver CO,Des Moines-Ames IA,Detroit MI,Dothan AL,Duluth MN-Superior WI,El Paso TX,Elmira NY,Erie PA,Eugene OR,Eureka CA,Evansville IN,Fairbanks AK,Fargo-Valley City ND,Flint-Saginaw-Bay City MI,Florence-Myrtle Beach SC,Fresno-Visalia CA,Ft. Myers-Naples FL,Ft. Smith-Fayetteville-Springdale-Rogers AR,Ft. Wayne IN,Gainesville FL,Glendive MT,Grand Junction-Montrose CO,Grand Rapids-Kalamazoo-Battle Creek MI,Great Falls MT,Green Bay-Appleton WI,Greensboro-High Point-Winston Salem NC,Greenville-New Bern-Washington NC,Greenville-Spartanburg SC-Asheville NC-Anderson SC,Greenwood-Greenville MS,Harlingen-Weslaco-Brownsville-McAllen TX,Harrisburg-Lancaster-Lebanon-York PA,Harrisonburg VA,Hartford & New Haven CT,Hattiesburg-Laurel MS,Helena MT,Honolulu HI,Houston TX,Huntsville-Decatur (Florence) AL,Idaho Falls-Pocatello ID,Indianapolis IN,Jackson MS,Jackson TN,Jacksonville FL,Johnstown-Altoona PA,Jonesboro AR,Joplin MO-Pittsburg KS,Juneau AK,Kansas City MO,Knoxville TN,La Crosse-Eau Claire WI,Lafayette IN,Lafayette LA,Lake Charles LA,Lansing MI,Laredo TX,Las Vegas NV,Lexington KY,Lima OH,Lincoln & Hastings-Kearney NE,Little Rock-Pine Bluff AR,Los Angeles CA,Louisville KY,Lubbock TX,Macon GA,Madison WI,Mankato MN,Marquette MI,Medford-Klamath Falls OR,Memphis TN,Meridian MS,Miami-Ft. Lauderdale FL,Milwaukee WI,Minneapolis-St. Paul MN,Minot-Bismarck-Dickinson(Williston) ND,Missoula MT,Mobile AL-Pensacola (Ft. Walton Beach) FL,Monroe LA-El Dorado AR,Monterey-Salinas CA,Montgomery (Selma) AL,Nashville TN,New Orleans LA,New York NY,Norfolk-Portsmouth-Newport News VA,North Platte NE,Odessa-Midland TX,Oklahoma City OK,Omaha NE,Orlando-Daytona Beach-Melbourne FL,Ottumwa IA-Kirksville MO,Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,Palm Springs CA,Panama City FL,Parkersburg WV,Peoria-Bloomington IL,Philadelphia PA,Phoenix AZ,Pittsburgh PA,Portland OR,Portland-Auburn ME,Presque Isle ME,Providence RI-New Bedford MA,Quincy IL-Hannibal MO-Keokuk IA,Raleigh-Durham (Fayetteville) NC,Rapid City SD,Reno NV,Richmond-Petersburg VA,Roanoke-Lynchburg VA,Rochester MN-Mason City IA-Austin MN,Rochester NY,Rockford IL,Sacramento-Stockton-Modesto CA,Salisbury MD,Salt Lake City UT,San Angelo TX,San Antonio TX,San Diego CA,San Francisco-Oakland-San Jose CA,Santa Barbara-Santa Maria-San Luis Obispo CA,Savannah GA,Seattle-Tacoma WA,Sherman TX-Ada OK,Shreveport LA,Sioux City IA,Sioux Falls(Mitchell) SD,South Bend-Elkhart IN,Spokane WA,Springfield MO,Springfield-Holyoke MA,St. Joseph MO,St. Louis MO,Syracuse NY,Tallahassee FL-Thomasville GA,Tampa-St. Petersburg (Sarasota) FL,Terre Haute IN,Toledo OH,Topeka KS,Traverse City-Cadillac MI,Tri-Cities TN-VA,Tucson (Sierra Vista) AZ,Tulsa OK,Twin Falls ID,Tyler-Longview(Lufkin & Nacogdoches) TX,Utica NY,Victoria TX,Waco-Temple-Bryan TX,Washington DC (Hagerstown MD),Watertown NY,Wausau-Rhinelander WI,West Palm Beach-Ft. Pierce FL,Wheeling WV-Steubenville OH,Wichita Falls TX & Lawton OK,Wichita-Hutchinson KS,Wilkes Barre-Scranton PA,Wilmington NC,Yakima-Pasco-Richland-Kennewick WA,Youngstown OH,Yuma AZ-El Centro CA,Zanesville OH,Akron,Albany,Albuquerque,Ashburn,Atlanta,Auburn,Augusta,Austin,Bakersfield,Baltimore,Baton Rouge,Birmingham,Boise,Boston,Bridgeport,Brockton,Buffalo,Burlington,Cambridge,Charlotte,Chattanooga,Chicago,Chula Vista,Cincinnati,Cleveland,College Station,Colorado Springs,Columbia,Columbus,Compton,Concord,Conway,Corpus Christi,Dallas,Dalton,Dearing,Delray Beach,Denver,Detroit,Durham,El Paso,Elizabeth,Elmhurst,Fayetteville,Fort Worth,Fresno,Greensboro,Hartford,Herndon,Hialeah,Hicksville,Homestead,Honolulu,Houston,Huntsville,Indianapolis,Irvine,Jackson,Jackson,Jacksonville,Jersey City,Kansas City,Knoxville,Lancaster,Las Vegas,Leeds,Lexington,Lincoln,Little Rock,Littleton,London,Long Beach,Los Angeles,Louisville,Lubbock,Macon,Madison,McAllen,Memphis,Miami,Milpitas,Milwaukee,Minneapolis,Mobile,Modesto,Montgomery,Moreno Valley,Nashville,New Orleans,New York_y,Newark,Norfolk,Oakland,Oklahoma City,Omaha,Orlando,Paterson,Peachtree City,Pembroke Pines,Philadelphia,Phoenix,Pittsburgh,Pleasanton,Plymouth Meeting,Portland,Providence,Raleigh,Reston,Richardson,Richmond,Riverside,Rochester,Rocky Mount,Sacramento,Saint Paul,Salt Lake City,San Antonio,San Bernardino,San Diego,San Francisco,San Jose,Santa Ana,Santa Clara,Savannah,Seattle,Sheridan,Spokane,St. Louis,State College,Sterling,Stockbridge,Stockton,Syracuse,Tallahassee,Tampa,Tempe,Toledo,Tucson,Tulsa,Victorville,Virginia Beach,Washington_y,Yonkers
Dan + Shay,70,80,81,76,98,86,90,73,79,77,76,77,79,86,88,86,92,80,70,90,79,98,84,89,69,85,88,85,81,91,85,73,91,79,82,88,78,100,94,89,71,81,83,82,78,89,81,90,82,89,80,0,0,87,77,0,0,0,81,73,0,82,64,76,0,64,0,0,0,0,0,64,0,62,96,0,88,80,0,0,77,90,0,77,75,0,75,0,82,0,78,0,83,77,66,0,0,81,0,0,77,71,77,87,77,89,0,0,64,0,0,100,0,0,0,81,72,0,67,66,84,71,0,0,0,80,0,82,70,62,82,0,68,84,0,84,0,0,78,78,73,0,92,64,0,73,79,0,0,0,76,72,95,0,0,0,91,0,69,68,0,86,74,84,74,0,0,84,0,0,0,71,0,65,90,89,0,0,74,0,79,0,80,72,84,69,0,0,71,80,72,0,83,0,0,0,87,85,83,92,96,94,0,87,0,72,0,81,72,82,0,83,0,83,0,80,0,62,81,94,78,64,88,0,61,0,82,75,80,73,82,0,85,89,74,76,0,79,0,0,82,71,88,0,0,0,0,61,79,0,0,75,0,0,82,88,0,0,0,0,0,,,,,,,,58.0,,,,,,61.0,,,,,,,,58.0,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,,,61.0,,,,,,,64.0,,,,,,,,,,59.0,,,,,64.0,,,,,,,,,,,,,,60.0,64.0,74.0,,100.0,,65.0,,,,,,,,,,,,,,,,,57.0,
New Boyz,74,66,99,78,93,82,84,74,77,86,87,100,81,67,76,76,73,81,99,59,74,83,86,78,81,86,62,89,90,68,72,94,73,92,78,82,83,65,85,97,86,91,67,72,73,59,62,79,69,81,74,0,0,53,62,0,0,0,0,52,0,35,100,50,0,60,0,0,0,0,0,49,0,63,55,0,45,0,0,0,52,50,0,52,58,0,54,0,42,0,44,0,60,63,57,0,0,49,0,0,45,0,49,52,51,59,0,0,53,0,0,0,0,0,0,0,58,0,87,56,0,0,0,0,0,56,0,59,51,0,64,0,44,49,0,61,0,0,65,38,0,0,43,64,0,50,0,0,0,0,53,0,0,0,0,0,0,0,55,47,0,0,49,59,65,0,0,48,0,0,0,48,0,43,51,50,0,0,55,0,0,0,37,63,51,49,0,0,52,62,55,0,0,0,0,0,0,59,66,43,42,41,0,59,0,58,0,68,53,48,0,56,0,77,0,53,0,51,60,38,47,0,53,0,0,0,0,0,45,0,51,0,49,51,0,56,0,49,0,0,0,69,50,0,0,0,0,0,42,0,0,66,0,0,61,50,0,0,0,0,0,,,,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.0,,,70.0,,,,,,,,81.0,,,,,,,,77.0,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,84.0,,,,,,,77.0,75.0,,,,,84.0,,,,,70.0,,,,,,,,,72.0,,,,100.0,,,70.0,,,,,,,,
Adam Levine,56,0,76,60,74,70,79,76,43,72,62,92,82,76,87,100,75,77,62,85,71,83,82,86,55,72,87,74,66,76,79,75,86,72,100,80,72,66,87,86,69,81,80,67,95,73,45,76,82,84,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,62,0,0,93,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,87,0,100,0,0,0,0,0,0,0,0,92,0,0,0,0,0,81,0,0,0,0,0,0,87,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,60.0,,,,,,78.0,,,,,,,,60.0,,,,,,,,,,,,,,,,63.0,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,68.0,,,,,,,,74.0,,,,,,,,,,,,,,,,,98.0,,,,,,,,,,75.0,67.0,,,,,,,,,,,,,,,,75.0,,77.0,76.0,100.0,,,,67.0,,,,,,,,,,,,,,,,,,
Chris Brown,81,36,61,68,62,48,71,80,71,81,89,65,37,69,69,53,53,64,91,38,86,64,72,54,100,65,31,51,56,42,76,52,86,87,40,76,57,37,75,70,86,45,67,70,40,37,59,51,49,60,37,47,75,42,36,65,0,46,28,59,65,32,53,57,25,71,63,0,26,60,45,58,40,28,46,39,42,28,0,0,36,40,55,32,58,34,40,33,47,34,46,35,55,36,70,39,63,48,63,44,50,41,49,34,35,56,49,28,42,40,41,26,0,45,0,32,40,77,52,45,35,53,44,0,34,45,0,36,60,63,43,100,39,47,42,50,76,0,46,54,45,25,51,72,50,53,31,54,41,0,44,33,28,34,56,59,46,38,45,40,44,35,55,51,49,44,61,33,34,28,27,76,79,59,58,39,28,17,48,66,36,75,40,61,63,67,0,47,45,36,52,0,48,41,39,0,44,61,46,41,27,30,0,55,40,66,35,34,61,45,33,46,52,44,60,30,39,44,38,32,35,61,35,42,65,36,33,46,30,30,45,50,47,45,64,49,43,52,37,29,36,44,34,0,43,48,0,44,44,38,29,50,33,43,41,44,47,39,52,42,0,,,,,73.0,,,,,89.0,,,,,,,,,,72.0,,66.0,,,,,,,67.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,68.0,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,72.0,,,,,64.0,,,,95.0,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,67.0,
Katy Perry,67,69,89,73,81,85,72,69,56,75,70,72,92,78,88,94,83,81,67,75,69,72,83,83,67,86,88,85,79,74,75,84,75,73,91,88,81,66,84,71,72,100,71,82,99,66,64,72,79,87,91,69,50,59,65,0,0,73,52,51,47,49,69,51,56,42,54,60,65,61,59,44,62,69,56,59,56,58,62,0,63,52,51,65,55,53,54,66,59,63,63,58,63,61,46,61,51,56,47,59,58,74,72,69,62,60,49,60,71,63,70,54,59,61,0,69,65,56,67,57,54,64,45,0,64,61,100,68,51,52,53,0,67,60,49,51,53,0,56,55,54,72,61,41,54,51,65,61,60,0,61,52,61,50,52,54,58,72,55,59,72,67,58,64,59,59,46,61,67,63,56,46,0,55,60,66,74,71,49,50,56,48,53,49,56,48,0,70,59,60,51,0,56,64,47,0,58,58,64,62,49,56,0,56,63,54,80,66,46,52,71,51,67,56,51,77,56,62,58,44,62,49,56,61,56,81,75,65,60,65,54,0,60,51,40,53,57,61,65,69,57,63,56,83,56,57,0,54,47,70,63,48,68,57,70,65,49,66,63,65,0,,,,,,,,,,,,,,,,,,,,,,75.0,,,,,,,82.0,,,,,74.0,,,,96.0,,,,,,,,100.0,,,,,,,,86.0,,,,,,,,,,,88.0,,,,,,,,93.0,,,,,,,,,,79.0,,,,,,,83.0,,,,,,,,,,,97.0,,,,,,,,,,,,,,,,92.0,,80.0,78.0,,,,,75.0,,,,,,,,,,,,,,,,,,
Cali Swag District,0,0,73,0,83,65,0,0,0,66,94,0,0,56,64,0,0,80,100,0,90,58,77,65,0,64,0,0,0,0,50,0,61,99,0,74,0,0,65,0,86,0,76,57,0,0,60,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,
Toby Keith,53,38,38,58,19,47,39,43,25,35,41,18,69,43,74,92,67,83,38,80,32,38,60,63,45,66,73,75,28,56,27,53,28,53,99,73,68,35,61,37,56,100,58,40,50,69,31,36,97,78,76,0,0,59,39,0,0,0,0,30,0,25,0,31,0,0,0,0,0,0,0,40,0,54,31,0,54,52,0,0,72,65,0,75,40,0,47,0,28,0,55,0,58,50,39,0,0,49,0,0,27,80,68,37,68,31,0,0,0,0,0,0,0,0,0,84,66,0,0,0,0,59,0,0,0,51,0,64,40,0,52,0,0,51,0,36,0,0,0,26,50,0,54,0,0,35,76,0,0,0,49,55,87,0,0,0,0,0,16,63,0,70,49,12,57,0,0,50,0,0,0,33,0,15,44,52,0,0,42,0,0,0,43,26,14,33,0,0,58,57,30,0,63,0,0,0,0,30,32,61,25,72,0,32,0,34,0,0,30,48,0,41,0,21,0,45,0,34,18,8,0,0,25,0,0,0,80,54,54,69,38,0,44,58,0,34,0,60,0,0,68,29,47,0,0,0,0,46,19,0,100,26,0,0,65,76,0,0,77,0,0,,,,,53.0,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,55.0,,,,72.0,,,,,,,,,,,,,,,,54.0,,95.0,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,63.0,93.0,,,,,,,,,,,,,,86.0,68.0,,,,,,,,47.0,,,82.0,,,,,,,,,,,,,,48.0,
Demi Lovato,65,56,88,67,98,73,93,76,62,96,77,86,75,83,78,80,72,72,74,75,73,84,87,76,66,76,60,78,87,77,99,71,100,75,63,86,72,59,92,88,69,82,67,91,83,60,77,70,67,82,60,0,0,73,71,0,0,0,52,69,59,60,100,71,0,63,0,0,0,0,73,60,0,71,77,0,71,62,0,0,70,61,63,59,71,54,64,0,78,73,69,0,83,70,56,0,0,65,0,73,78,77,70,63,66,79,0,0,91,0,0,57,0,60,0,66,68,69,88,80,62,73,59,0,0,75,0,76,64,60,63,0,89,80,0,85,0,0,81,79,61,0,65,64,0,71,68,0,0,0,64,58,65,0,65,0,55,0,87,62,0,68,59,97,70,0,55,67,0,0,0,50,0,90,78,70,0,0,61,0,61,63,62,72,96,63,0,0,56,78,85,0,70,94,0,0,71,86,81,66,59,71,0,89,0,58,0,69,59,58,78,70,87,82,0,80,0,81,75,71,63,53,62,0,62,82,83,67,68,63,76,0,66,66,53,86,0,77,62,0,56,74,59,0,64,0,0,66,74,0,76,70,0,0,62,80,0,71,77,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,81.0,,,88.0,,,,,,,,94.0,,,,,,,,100.0,,,,,,,91.0,71.0,,,,,,,,,92.0,,,,,,84.0,,,,79.0,88.0,,,,,,,,89.0,,,,,,,,83.0,,80.0,,,,,,,,,,,,,,,,74.0,,,,,,,,
Gotye,56,68,79,53,76,91,69,68,36,71,56,65,87,72,83,83,67,69,49,82,61,73,76,77,39,66,100,68,65,82,62,93,70,63,89,71,66,70,74,72,62,83,64,67,100,72,38,74,68,82,71,0,0,68,84,0,0,0,0,53,0,74,0,53,0,0,0,0,0,0,0,53,0,96,69,0,67,75,0,0,76,75,0,75,62,0,0,0,69,0,63,0,67,82,0,0,0,72,0,0,54,0,75,86,64,68,0,0,95,0,0,92,0,0,0,0,71,0,71,0,0,0,0,0,0,85,0,78,54,0,50,0,0,68,0,66,0,0,67,62,0,0,75,0,0,59,0,0,0,0,65,75,0,0,0,0,0,0,52,64,0,0,0,81,52,0,0,74,0,0,0,0,0,66,79,72,0,0,63,0,0,0,61,44,64,71,0,0,52,57,60,0,0,0,0,0,0,65,69,75,66,73,0,74,0,59,0,88,56,0,0,73,0,64,0,100,0,64,69,42,96,0,65,0,0,0,0,0,76,0,76,0,58,67,0,60,0,66,0,0,0,81,68,0,0,0,0,59,33,0,0,55,0,0,77,78,0,0,0,0,0,,,95.0,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,79.0,,,,,,,,64.0,,,,,,,,,,62.0,,,,,,,67.0,,,,,,,,,,,63.0,,,,81.0,,,,,,,,,,,100.0,73.0,,72.0,,68.0,,,,,,,,,,,,,,,,,88.0,,,,,
Lee DeWyze,43,0,42,61,38,57,66,0,64,43,48,0,77,100,68,69,54,67,57,83,42,71,59,66,0,79,0,0,34,70,58,0,56,49,0,66,44,44,63,0,52,0,54,50,63,0,54,51,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,,,,46.0,26.0,,,,,,,,,23.0,,,,,,,,37.0,,,,,,,26.0,,,,,26.0,,,,,,,,,100.0,,,,,,40.0,,,,,,,28.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,35.0,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,26.0,
Big Time Rush,70,36,77,67,79,61,85,76,52,80,78,83,52,85,85,77,75,76,67,65,76,75,89,86,73,70,46,75,89,65,100,62,97,78,58,90,70,44,93,76,74,73,69,87,59,60,54,54,78,77,58,0,0,71,55,0,0,0,0,66,0,47,0,62,0,0,0,0,0,0,0,65,0,0,66,0,87,0,0,0,0,0,0,0,73,0,0,0,78,0,59,0,78,0,0,0,0,78,0,0,67,0,67,52,0,79,0,0,0,0,0,0,0,0,0,0,0,0,85,81,0,0,0,0,0,89,0,0,62,0,61,0,100,88,0,77,0,0,80,79,0,0,67,0,0,52,0,0,0,0,66,0,0,0,0,0,0,0,76,62,0,0,0,80,64,0,0,0,0,0,0,72,0,68,64,74,0,0,0,0,0,0,54,54,89,53,0,0,52,64,64,0,0,0,0,0,0,80,64,69,41,0,0,77,0,63,0,0,52,0,0,57,0,71,0,56,0,69,65,49,0,0,46,0,0,0,0,0,0,0,0,0,55,0,0,67,0,73,0,0,0,62,0,0,0,0,0,0,53,0,0,76,0,0,76,97,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,61.0,,,,,55.0,,,,,,,,,,,,,,,,,,,,67.0,,,,,,,,,,,85.0,,,,,,,,61.0,,,,,100.0,,53.0,,,62.0,,,,,,,71.0,,,,,,,,,,66.0,64.0,,,,,,,,,,,,,,,,62.0,,56.0,,58.0,,,,,,,,,,,,,,,,,,,,,,
Dr. Dre,56,0,93,54,100,82,64,0,67,54,64,70,80,67,70,72,77,61,53,81,51,67,71,70,58,74,0,61,79,68,56,89,63,62,0,67,71,67,64,85,62,0,55,67,64,0,54,78,56,73,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,60,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,46,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,,,,,,,,60.0,,,,,,,,49.0,,,91.0,,,,,,,,57.0,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,,,,48.0,,,,55.0,,,,,58.0,,,,,70.0,63.0,,,,,55.0,,,60.0,,,,,,,,,,,,,,49.0,
Bella Thorne,98,0,93,89,75,75,77,82,35,100,93,79,91,83,94,93,76,90,94,55,86,68,88,74,95,71,0,84,90,64,84,79,87,90,0,94,76,52,81,83,100,0,87,97,72,0,45,60,92,75,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,82,0,0,0,0,0,0,71,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,62.0,,,,,,,,,,,,77.0,,55.0,,,,,,,,,,,,72.0,,,,65.0,,,,,,,,,,,,,,,,84.0,,74.0,,,,,,,,,85.0,,,,,,,,62.0,,,,,,,57.0,,,,,,,,,,83.0,,,,,,,,,,62.0,73.0,,,,,,,,,,,,,,,,100.0,,,,74.0,,,,,,,,,,,,,,,,,,,,,,
Icona Pop,48,0,76,45,63,71,94,0,49,62,53,77,86,80,78,100,64,60,43,90,76,92,79,81,37,63,98,75,61,94,87,69,90,58,90,77,50,64,91,85,59,78,54,57,86,85,39,69,53,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,58.0,,,,,,75.0,,,,,,,,55.0,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,64.0,,100.0,,,62.0,,,,,,,,,,,,60.0,,66.0,,69.0,,,,54.0,,,,,,,,,,,,,,,,,50.0,
