track_id,artist,artist_id,track,track_id,peak,span,span_peak,span10,span40,week_entered,week_peaked
39279,Whitney Houston,3490.0,How Will I Know,39279,49,1,1,0,0,2012-03-04 00:00:00,2012-03-04 00:00:00
36255,Taylor Swift,7850.0,Last Kiss,36255,71,1,1,0,0,2010-11-14 00:00:00,2010-11-14 00:00:00
7840,Chief Keef,8208.0,Love Sosa,7840,56,14,1,0,0,2012-12-30 00:00:00,2013-01-13 00:00:00
16269,Glee Cast,8043.0,Tell Me Something Good,16269,87,1,1,0,0,2010-06-20 00:00:00,2010-06-20 00:00:00
4942,Birdman,7835.0,Fire Flame,4942,64,10,1,0,0,2010-12-19 00:00:00,2011-01-09 00:00:00
3859,Beyonce,1963.0,Mine,3859,82,2,1,0,0,2014-01-05 00:00:00,2014-01-12 00:00:00
2434,Auburn,8106.0,La La La,2434,51,13,1,0,0,2010-08-01 00:00:00,2010-08-15 00:00:00
2599,B.o.B,8065.0,So Good,2599,11,18,1,0,10,2012-03-11 00:00:00,2012-03-11 00:00:00
36841,Thompson Square,8148.0,I Got You,36841,68,18,1,0,0,2011-09-04 00:00:00,2011-12-18 00:00:00
36992,Tim McGraw,4257.0,Diamond Rings And Old Barstools,36992,98,1,1,0,0,,
29170,Paramore,7907.0,The Only Exception,29170,24,20,2,0,10,2010-06-13 00:00:00,2010-08-29 00:00:00
23108,Kenny Chesney,6686.0,Til It's Gone,23108,60,14,1,0,0,2014-11-16 00:00:00,2015-02-01 00:00:00
16107,Glee Cast,8043.0,Cough Syrup,16107,65,1,1,0,0,2012-03-11 00:00:00,2012-03-11 00:00:00
25429,Luke Bryan,7913.0,Drunk On You,25429,16,24,4,0,19,2011-08-28 00:00:00,2012-06-17 00:00:00
31160,Pusha T,8249.0,New God Flow,31160,89,1,1,0,0,2012-08-12 00:00:00,2012-08-12 00:00:00
5032,Blake Shelton,7303.0,Honey Bee,5032,13,20,1,0,17,2011-04-24 00:00:00,2011-04-24 00:00:00
16221,Glee Cast,8043.0,I Want To Hold Your Hand,16221,36,1,1,0,1,2010-10-24 00:00:00,2010-10-24 00:00:00
